organism,family,exact_annotation_found,related_annotation_found,final_category,confidence,top_matching_term,database_source,search_level,top_accession,top_gene_symbol,top_protein_name,level_a_hit_count,level_b_hit_count,example_query
Ambystoma mexicanum,connexin,yes,no,annotated_family_member_found,high,GJC2,ncbi_gene,A,138569237,GJC2,gap junction protein gamma 2,3,0,"connexin[All Fields] AND ""Ambystoma mexicanum""[Organism]"
Anomaloglossus baeobatrachus,connexin,yes,no,annotated_family_member_found,high,GJA1,ncbi_gene,A,142296402,GJA1,gap junction protein alpha 1,4,0,"connexin[All Fields] AND ""Anomaloglossus baeobatrachus""[Organism]"
Aquarana catesbeiana,connexin,yes,no,annotated_family_member_found,high,GJB2,ncbi_gene,A,141127211,GJB2,gap junction protein beta 2,4,0,"GJB*[Gene Symbol] AND ""Aquarana catesbeiana""[Organism]"
Ascaphus truei,connexin,yes,no,annotated_family_member_found,high,GJA10,ncbi_gene,A,142493422,GJA10,gap junction protein alpha 10,6,0,"GJA*[Gene Symbol] AND ""Ascaphus truei""[Organism]"
Bombina bombina,connexin,yes,no,annotated_family_member_found,high,GJA1,ncbi_gene,A,128656692,GJA1,gap junction protein alpha 1,5,0,"GJA*[Gene Symbol] AND ""Bombina bombina""[Organism]"
Anas platyrhynchos,connexin,yes,no,annotated_family_member_found,high,GJA1,uniprot,A,U3HYR1,GJA1,Gap junction protein,20,0,"organism_name:""Anas platyrhynchos"" AND gene:GJA*"
Butorides sundevalli,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Cecropis daurica,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Dumetella carolinensis,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Emberiza tahapisi,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthopagrus latus,connexin,yes,no,annotated_family_member_found,high,gjb8,ncbi_gene,A,119026449,gjb8,gap junction protein beta 8,5,0,"connexin[All Fields] AND ""Acanthopagrus latus""[Organism]"
Arapaima gigas,connexin,yes,no,annotated_family_member_found,high,GJA10,uniprot,A,A0ACF8EAZ1,GJA10,Gap junction alpha-10 protein-like,12,0,"organism_name:""Arapaima gigas"" AND gene:GJA*"
Bajacalifornia burragei,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hemibarbus labeo,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hucho bleekeri,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Mus musculus domesticus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Ovis aries,connexin,yes,no,annotated_family_member_found,high,GJA1,ncbi_gene,A,101122284,GJA1,gap junction protein alpha 1,29,0,"connexin[All Fields] AND ""Ovis aries""[Organism]"
Sus scrofa,connexin,yes,no,annotated_family_member_found,high,GJA1,uniprot,A,Q29101,GJA1,Gap junction alpha-1 protein,28,0,"organism_name:""Sus scrofa"" AND protein_name:connexin"
Alexandromys fortis,connexin,yes,no,annotated_family_member_found,high,Gja1,ncbi_gene,A,126499060,Gja1,gap junction protein alpha 1,11,0,"GJA*[Gene Symbol] AND ""Alexandromys fortis""[Organism]"
Antrozous pallidus,connexin,no,yes,related_or_family_like_entry_found,medium,gap junction,ncbi_protein,B,KAN7648070.1,gap,gap junction beta-3 protein [Antrozous pallidus],0,0,"""gap junction""[Title] AND ""Antrozous pallidus""[Organism]"
Aldabrachelys gigantea,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Apalone spinifera,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Caretta caretta,connexin,yes,no,annotated_family_member_found,high,GJA10,ncbi_gene,A,125634892,GJA10,gap junction protein alpha 10,3,0,"GJA*[Gene Symbol] AND ""Caretta caretta""[Organism]"
Carettochelys insculpta,connexin,yes,no,annotated_family_member_found,high,GJA10,ncbi_gene,A,142010707,GJA10,gap junction protein alpha 10,1,0,"GJA*[Gene Symbol] AND ""Carettochelys insculpta""[Organism]"
Chelonia mydas,connexin,yes,no,annotated_family_member_found,high,GJA1,ncbi_gene,A,102944472,GJA1,gap junction protein alpha 1,10,0,"GJA*[Gene Symbol] AND ""Chelonia mydas""[Organism]"
