organism,innexin_category,innexin_term,connexin_category,connexin_term,pannexin_category,pannexin_term
Abra alba,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Abra segmentum,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Acanthascus dawsoni,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Acanthocardia echinata,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Acanthochitona discrepans,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Agelas clathrodes,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Agelas conifera,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Agelas oroides,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Agelas tubulata,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Beroe forskalii,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Beroe ovata,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Dryodora glandiformis,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Macoma balthica,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Mertensia ovum,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Trichoplax sp. H2,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
