organism,innexin_category,innexin_term,connexin_category,connexin_term,pannexin_category,pannexin_term
Antygomonas paulae,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Chordodes formosanus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Echinoderes svetlanae,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Gordius robustus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Halicryptus spinulosus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Lepidodermella squamata,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Macrodasys sp.,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Meiopriapulus fijiensis,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Parachordodes pustulosus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Paragordius varius,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Pycnophyes kielensis,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Rotaria macrura,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Seison annulatus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Seison nebaliae,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Thaumastoderma heideri,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
