organism,innexin_category,innexin_term,connexin_category,connexin_term,pannexin_category,pannexin_term
Acropora millepora,no_related_entry_found,,no_related_entry_found,,annotated_family_member_found,pannexin
Artemia franciscana,annotated_family_member_found,innexin,related_or_family_like_entry_found,Innexin family member shaking B,related_or_family_like_entry_found,Innexin family member shaking B
Bolinopsis microptera,annotated_family_member_found,innexin,related_or_family_like_entry_found,innexin inx2-like,related_or_family_like_entry_found,innexin inx2-like
Crassostrea virginica,annotated_family_member_found,innexin,related_or_family_like_entry_found,gamma-tubulin complex component 6-like,related_or_family_like_entry_found,gamma-tubulin complex component 6-like
Dimorphilus gyrociliatus,annotated_family_member_found,innexin,no_related_entry_found,,no_related_entry_found,
Hormiphora californensis,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Mizuhopecten yessoensis,annotated_family_member_found,innexin,related_or_family_like_entry_found,WW domain-binding protein 4-like,related_or_family_like_entry_found,WW domain-binding protein 4-like
Octopus bimaculoides,annotated_family_member_found,innexin,related_or_family_like_entry_found,innexin unc-9,related_or_family_like_entry_found,innexin unc-9
Owenia fusiformis,annotated_family_member_found,innexin,annotated_family_member_found,connexin,no_related_entry_found,
Peripatoides novaezealandiae,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Peripatus solorzanoi,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Philodina roseola,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Pleurobrachia bachei,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Rotaria sordida,annotated_family_member_found,innexin,no_related_entry_found,,no_related_entry_found,
Scolanthus callimorphus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Streblospio benedicti,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Stylissa carteri,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Thulinius sp. DVL-2010,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Tigriopus californicus,annotated_family_member_found,innexin,related_or_family_like_entry_found,innexin inx2-like,related_or_family_like_entry_found,innexin inx2-like
Triops cancriformis,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Tubiluchus corallicola,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Xestospongia testudinaria,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
