organism,innexin_category,innexin_term,connexin_category,connexin_term,pannexin_category,pannexin_term
Acartia tonsa,annotated_family_member_found,innexin,related_or_family_like_entry_found,innexin 2,related_or_family_like_entry_found,innexin 2
Acropora austera,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Acropora cervicornis,no_related_entry_found,,no_related_entry_found,,annotated_family_member_found,pannexin
Acropora cf. manni,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Acropora glauca,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Acropora hyacinthus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Adineta ricciae,annotated_family_member_found,innexin,no_related_entry_found,,no_related_entry_found,
Adineta steineri,annotated_family_member_found,innexin,no_related_entry_found,,no_related_entry_found,
Aegaeobuthus cyprius,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Aelurillus cypriotus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Agelena orientalis,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Amaurobius ferox,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Bathyporeia elegans,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Brachionus calyciflorus,annotated_family_member_found,innexin,no_related_entry_found,,no_related_entry_found,
Brachionus koreanus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Brachionus manjavacas,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Eriophyidae sp.,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Hypsibius exemplaris,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Lanice conchilega,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Liocarcinus depurator,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Nephtys caeca,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Nephtys hombergii,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Nephtys longosetosa,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Ophelia borealis,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Paramacrobiotus metropolitanus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Processa modica,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Thia scutellata,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
