organism,connexin_category,connexin_term
Acanthopagrus latus,annotated_family_member_found,gjb8
Aldabrachelys gigantea,no_related_entry_found,
Alexandromys fortis,annotated_family_member_found,Gja1
Ambystoma mexicanum,annotated_family_member_found,GJC2
Anas platyrhynchos,annotated_family_member_found,GJA1
Anomaloglossus baeobatrachus,annotated_family_member_found,GJA1
Antrozous pallidus,related_or_family_like_entry_found,gap junction
Apalone spinifera,no_related_entry_found,
Aquarana catesbeiana,annotated_family_member_found,GJB2
Arapaima gigas,annotated_family_member_found,GJA10
Ascaphus truei,annotated_family_member_found,GJA10
Bajacalifornia burragei,no_related_entry_found,
Bombina bombina,annotated_family_member_found,GJA1
Butorides sundevalli,no_related_entry_found,
Caretta caretta,annotated_family_member_found,GJA10
Carettochelys insculpta,annotated_family_member_found,GJA10
Cecropis daurica,no_related_entry_found,
Chelonia mydas,annotated_family_member_found,GJA1
Dumetella carolinensis,no_related_entry_found,
Emberiza tahapisi,no_related_entry_found,
Hemibarbus labeo,no_related_entry_found,
Hucho bleekeri,no_related_entry_found,
Mus musculus domesticus,no_related_entry_found,
Ovis aries,annotated_family_member_found,GJA1
Sus scrofa,annotated_family_member_found,GJA1
