organism,innexin_category,innexin_term,connexin_category,connexin_term,pannexin_category,pannexin_term
Abra alba,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Abra segmentum,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Acanthascus dawsoni,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Acanthocardia echinata,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Acanthochitona discrepans,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Acartia tonsa,annotated_family_member_found,innexin,related_or_family_like_entry_found,innexin 2,related_or_family_like_entry_found,innexin 2
Acropora austera,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Acropora cervicornis,no_related_entry_found,,no_related_entry_found,,annotated_family_member_found,pannexin
Acropora cf. manni,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Acropora glauca,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Acropora hyacinthus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Acropora millepora,no_related_entry_found,,no_related_entry_found,,annotated_family_member_found,pannexin
Adineta ricciae,annotated_family_member_found,innexin,no_related_entry_found,,no_related_entry_found,
Adineta steineri,annotated_family_member_found,innexin,no_related_entry_found,,no_related_entry_found,
Adineta vaga,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Aegaeobuthus cyprius,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Aelurillus cypriotus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Agelas clathrodes,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Agelas conifera,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Agelas oroides,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Agelas tubulata,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Agelena orientalis,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Amaurobius ferox,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Amphimedon queenslandica,annotated_family_member_found,innexin,related_or_family_like_entry_found,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4-like",related_or_family_like_entry_found,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4-like"
Antygomonas paulae,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Aplysia californica,annotated_family_member_found,innexin,related_or_family_like_entry_found,innexin unc-9,annotated_family_member_found,pannexin
Artemia franciscana,annotated_family_member_found,innexin,related_or_family_like_entry_found,Innexin family member shaking B,related_or_family_like_entry_found,Innexin family member shaking B
Bathyporeia elegans,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Beroe forskalii,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Beroe ovata,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Bolinopsis microptera,annotated_family_member_found,innexin,related_or_family_like_entry_found,innexin inx2-like,related_or_family_like_entry_found,innexin inx2-like
Brachionus calyciflorus,annotated_family_member_found,innexin,no_related_entry_found,,no_related_entry_found,
Brachionus koreanus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Brachionus manjavacas,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Capitella teleta,annotated_family_member_found,innexin,no_related_entry_found,,no_related_entry_found,
Chordodes formosanus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Crassostrea virginica,annotated_family_member_found,innexin,related_or_family_like_entry_found,gamma-tubulin complex component 6-like,related_or_family_like_entry_found,gamma-tubulin complex component 6-like
Daphnia magna,annotated_family_member_found,innexin,related_or_family_like_entry_found,Innexin family member shaking B,related_or_family_like_entry_found,Innexin family member shaking B
Daphnia pulex,annotated_family_member_found,innexin,related_or_family_like_entry_found,Innexin family member shaking B,related_or_family_like_entry_found,Innexin family member shaking B
Dimorphilus gyrociliatus,annotated_family_member_found,innexin,no_related_entry_found,,no_related_entry_found,
Dryodora glandiformis,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Echinoderes svetlanae,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Ephydatia muelleri,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Epiperipatus broadwayi,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Eriocheir sinensis,annotated_family_member_found,innexin,related_or_family_like_entry_found,innexin inx2-like,related_or_family_like_entry_found,innexin inx2-like
Eriophyidae sp.,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Euperipatoides rowelli,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Exaiptasia diaphana,related_or_family_like_entry_found,A-kinase anchor protein 9,related_or_family_like_entry_found,A-kinase anchor protein 9,annotated_family_member_found,pannexin
Gordius robustus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Halicryptus spinulosus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Helobdella robusta,annotated_family_member_found,innexin,no_related_entry_found,,no_related_entry_found,
Hoilungia hongkongensis,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Hormiphora californensis,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Hydra vulgaris,annotated_family_member_found,innexin,related_or_family_like_entry_found,innexin inx1-like,related_or_family_like_entry_found,innexin inx1-like
Hymenolepis microstoma,annotated_family_member_found,innexin,no_related_entry_found,,no_related_entry_found,
Hypsibius dujardini,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Hypsibius exemplaris,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Ixodes scapularis,annotated_family_member_found,innexin,related_or_family_like_entry_found,innexin inx2,related_or_family_like_entry_found,innexin inx2
Lanice conchilega,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Lepidodermella squamata,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Limulus polyphemus,annotated_family_member_found,innexin,related_or_family_like_entry_found,DEAH-box helicase 16 lethal (2) 37Cb,related_or_family_like_entry_found,DEAH-box helicase 16 lethal (2) 37Cb
Liocarcinus depurator,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Lottia gigantea,annotated_family_member_found,innexin,related_or_family_like_entry_found,hypothetical protein,related_or_family_like_entry_found,hypothetical protein
Macoma balthica,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Macrodasys sp.,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Meiopriapulus fijiensis,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Mertensia ovum,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Mizuhopecten yessoensis,annotated_family_member_found,innexin,related_or_family_like_entry_found,WW domain-binding protein 4-like,related_or_family_like_entry_found,WW domain-binding protein 4-like
Mnemiopsis leidyi,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Nematostella vectensis,annotated_family_member_found,innexin,no_related_entry_found,,annotated_family_member_found,pannexin
Nephtys caeca,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Nephtys hombergii,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Nephtys longosetosa,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Octopus bimaculoides,annotated_family_member_found,innexin,related_or_family_like_entry_found,innexin unc-9,related_or_family_like_entry_found,innexin unc-9
Ophelia borealis,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Owenia fusiformis,annotated_family_member_found,innexin,annotated_family_member_found,connexin,no_related_entry_found,
Parachordodes pustulosus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Paragordius varius,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Paramacrobiotus metropolitanus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Parasteatoda tepidariorum,annotated_family_member_found,innexin,related_or_family_like_entry_found,GIGYF family protein Gyf,related_or_family_like_entry_found,GIGYF family protein Gyf
Peripatoides novaezealandiae,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Peripatus solorzanoi,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Philodina roseola,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Pleurobrachia bachei,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Pomacea canaliculata,annotated_family_member_found,innexin,related_or_family_like_entry_found,negative elongation factor E-like,related_or_family_like_entry_found,negative elongation factor E-like
Priapulus caudatus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Processa modica,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Pycnophyes kielensis,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Ramazzottius varieornatus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Rotaria macrura,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Rotaria sordida,annotated_family_member_found,innexin,no_related_entry_found,,no_related_entry_found,
Scolanthus callimorphus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Seison annulatus,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Seison nebaliae,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Streblospio benedicti,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Stylissa carteri,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Tetranychus urticae,annotated_family_member_found,innexin,related_or_family_like_entry_found,coiled-coil domain-containing protein 174,related_or_family_like_entry_found,coiled-coil domain-containing protein 174
Thaumastoderma heideri,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Thia scutellata,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Thulinius sp. DVL-2010,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Tigriopus californicus,annotated_family_member_found,innexin,related_or_family_like_entry_found,innexin inx2-like,related_or_family_like_entry_found,innexin inx2-like
Trichoplax adhaerens,related_or_family_like_entry_found,expressed hypothetical protein,related_or_family_like_entry_found,expressed hypothetical protein,related_or_family_like_entry_found,expressed hypothetical protein
Trichoplax sp. H2,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
Triops cancriformis,no_related_entry_found,,no_related_entry_found,,no_related_entry_found,
