family,organism,reviewed_only,assembly_name,assembly_accession,assembly_level,refseq_category,ftp_source,gff3_url,downloaded_gff_gz,downloaded_gff3,status,error
innexin,Aedes aegypti,true,AaegL5.0,GCF_002204515.2,Chromosome,reference genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/515/GCF_002204515.2_AaegL5.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/515/GCF_002204515.2_AaegL5.0/GCF_002204515.2_AaegL5.0_genomic.gff.gz,project/data/annotations/innexin/Aedes_aegypti/GCF_002204515.2_AaegL5.0_genomic.gff.gz,project/data/annotations/innexin/Aedes_aegypti/GCF_002204515.2_AaegL5.0_genomic.gff,downloaded,
innexin,Anopheles gambiae,true,idAnoGambNW_F1_1,GCF_943734735.2,Chromosome,reference genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/735/GCF_943734735.2_idAnoGambNW_F1_1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/735/GCF_943734735.2_idAnoGambNW_F1_1/GCF_943734735.2_idAnoGambNW_F1_1_genomic.gff.gz,project/data/annotations/innexin/Anopheles_gambiae/GCF_943734735.2_idAnoGambNW_F1_1_genomic.gff.gz,project/data/annotations/innexin/Anopheles_gambiae/GCF_943734735.2_idAnoGambNW_F1_1_genomic.gff,downloaded,
innexin,Caenorhabditis briggsae,true,CB4,GCF_000004555.2,Chromosome,reference genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/555/GCF_000004555.2_CB4,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/555/GCF_000004555.2_CB4/GCF_000004555.2_CB4_genomic.gff.gz,project/data/annotations/innexin/Caenorhabditis_briggsae/GCF_000004555.2_CB4_genomic.gff.gz,project/data/annotations/innexin/Caenorhabditis_briggsae/GCF_000004555.2_CB4_genomic.gff,downloaded,
innexin,Caenorhabditis elegans,true,WBcel235,GCF_000002985.6,Complete Genome,reference genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235/GCF_000002985.6_WBcel235_genomic.gff.gz,project/data/annotations/innexin/Caenorhabditis_elegans/GCF_000002985.6_WBcel235_genomic.gff.gz,project/data/annotations/innexin/Caenorhabditis_elegans/GCF_000002985.6_WBcel235_genomic.gff,downloaded,
innexin,Drosophila melanogaster,true,Release 6 plus ISO1 MT,GCF_000001215.4,Chromosome,reference genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.gff.gz,project/data/annotations/innexin/Drosophila_melanogaster/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.gff.gz,project/data/annotations/innexin/Drosophila_melanogaster/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.gff,downloaded,
innexin,Schistocerca americana,true,iqSchAmer2.1,GCF_021461395.2,Chromosome,reference genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/461/395/GCF_021461395.2_iqSchAmer2.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/461/395/GCF_021461395.2_iqSchAmer2.1/GCF_021461395.2_iqSchAmer2.1_genomic.gff.gz,project/data/annotations/innexin/Schistocerca_americana/GCF_021461395.2_iqSchAmer2.1_genomic.gff.gz,project/data/annotations/innexin/Schistocerca_americana/GCF_021461395.2_iqSchAmer2.1_genomic.gff,downloaded,
connexin,Bos taurus,true,ARS-UCD2.0,GCF_002263795.3,Chromosome,reference genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/263/795/GCF_002263795.3_ARS-UCD2.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/263/795/GCF_002263795.3_ARS-UCD2.0/GCF_002263795.3_ARS-UCD2.0_genomic.gff.gz,project/data/annotations/connexin/Bos_taurus/GCF_002263795.3_ARS-UCD2.0_genomic.gff.gz,project/data/annotations/connexin/Bos_taurus/GCF_002263795.3_ARS-UCD2.0_genomic.gff,downloaded,
connexin,Canis lupus familiaris,true,UU_Cfam_GSD_1.0,GCF_011100685.1,Chromosome,reference genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/685/GCF_011100685.1_UU_Cfam_GSD_1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/685/GCF_011100685.1_UU_Cfam_GSD_1.0/GCF_011100685.1_UU_Cfam_GSD_1.0_genomic.gff.gz,project/data/annotations/connexin/Canis_lupus_familiaris/GCF_011100685.1_UU_Cfam_GSD_1.0_genomic.gff.gz,project/data/annotations/connexin/Canis_lupus_familiaris/GCF_011100685.1_UU_Cfam_GSD_1.0_genomic.gff,downloaded,
connexin,Chlorocebus sabaeus,true,mChlSab1.0.hap1,GCF_047675955.1,Chromosome,reference genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/047/675/955/GCF_047675955.1_mChlSab1.0.hap1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/047/675/955/GCF_047675955.1_mChlSab1.0.hap1/GCF_047675955.1_mChlSab1.0.hap1_genomic.gff.gz,project/data/annotations/connexin/Chlorocebus_sabaeus/GCF_047675955.1_mChlSab1.0.hap1_genomic.gff.gz,project/data/annotations/connexin/Chlorocebus_sabaeus/GCF_047675955.1_mChlSab1.0.hap1_genomic.gff,downloaded,
connexin,Cricetulus griseus,true,CriGri-PICRH-1.0,GCF_003668045.3,Chromosome,reference genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/668/045/GCF_003668045.3_CriGri-PICRH-1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/668/045/GCF_003668045.3_CriGri-PICRH-1.0/GCF_003668045.3_CriGri-PICRH-1.0_genomic.gff.gz,project/data/annotations/connexin/Cricetulus_griseus/GCF_003668045.3_CriGri-PICRH-1.0_genomic.gff.gz,project/data/annotations/connexin/Cricetulus_griseus/GCF_003668045.3_CriGri-PICRH-1.0_genomic.gff,downloaded,
