Scleropages jardinii
Triplophysa stolickai
Abudefduf saxatilis
Acanthurus chirurgus
Acanthurus tractus
Eleutherodactylus marnockii
Epidalea calamita
Fejervarya limnocharis
Gastrophryne carolinensis
Ichthyophis bannanicus
Hydrolagus colliei
Leucoraja naevus
Malacoraja senta
Okamejei kenojei
Potamotrygon marinae
Eospalax fontanierii cansus
Eospalax rufescens
Equus grevyi
Marmota vancouverensis
Mops condylurus
Euprepiophis mandarinus
Liasis olivaceus olivaceus
Luscinia svecica
Mabuya desiradae
Marmaronetta angustirostris
