clade,organism,connexin_category,connexin_term
Reptiles,Aldabrachelys gigantea,no_related_entry_found,
Mammals,Antrozous pallidus,related_or_family_like_entry_found,gap junction
Reptiles,Apalone spinifera,no_related_entry_found,
Fishes,Bajacalifornia burragei,no_related_entry_found,
Birds,Butorides sundevalli,no_related_entry_found,
Birds,Cecropis daurica,no_related_entry_found,
Birds,Dumetella carolinensis,no_related_entry_found,
Birds,Emberiza tahapisi,no_related_entry_found,
Fishes,Hemibarbus labeo,no_related_entry_found,
Fishes,Hucho bleekeri,no_related_entry_found,
Mammals,Mus musculus domesticus,no_related_entry_found,
