Acropora millepora
Adineta vaga
Amphimedon queenslandica
Antygomonas paulae
Aplysia californica
Artemia franciscana
Bolinopsis microptera
Capitella teleta
Chordodes formosanus
Crassostrea virginica
Daphnia magna
Daphnia pulex
Dimorphilus gyrociliatus
Echinoderes svetlanae
Ephydatia muelleri
Epiperipatus broadwayi
Eriocheir sinensis
Euperipatoides rowelli
Gordius robustus
Halicryptus spinulosus
Helobdella robusta
Hormiphora californensis
Hydra vulgaris
Hypsibius dujardini
Ixodes scapularis
Lepidodermella squamata
Limulus polyphemus
Lottia gigantea
Macrodasys sp.
Meiopriapulus fijiensis
Mizuhopecten yessoensis
Nematostella vectensis
Octopus bimaculoides
Owenia fusiformis
Parachordodes pustulosus
Paragordius varius
Parasteatoda tepidariorum
Peripatoides novaezealandiae
Peripatus solorzanoi
Philodina roseola
Pleurobrachia bachei
Pomacea canaliculata
Priapulus caudatus
Pycnophyes kielensis
Ramazzottius varieornatus
Rotaria macrura
Rotaria sordida
Scolanthus callimorphus
Seison annulatus
Seison nebaliae
Streblospio benedicti
Stylissa carteri
Tetranychus urticae
Thaumastoderma heideri
Thulinius sp. DVL-2010
Tigriopus californicus
Triops cancriformis
Tubiluchus corallicola
Xestospongia testudinaria
