clade,organism,assembly_accession,assembly_level,assembly_source,has_gff_annotation,innexin_annotation_status,connexin_annotation_status,pannexin_annotation_status,already_checked,innexin_discovery_run,model_species,priority_score,priority_tier,recommended_pipeline,clade_priority,notes
Crustacea,Bathyporeia elegans,GCA_965195825.1,Complete Genome,GenBank,yes,,,,no,no,no,110,high,classify_then_discovery,1,copepods branchiopods decapods etc.
Crustacea,Liocarcinus depurator,GCA_965195915.1,Complete Genome,GenBank,yes,,,,no,no,no,110,high,classify_then_discovery,1,copepods branchiopods decapods etc.
Crustacea,Processa modica,GCA_965195785.1,Complete Genome,GenBank,yes,,,,no,no,no,110,high,classify_then_discovery,1,copepods branchiopods decapods etc.
Crustacea,Thia scutellata,GCA_965195895.1,Complete Genome,GenBank,yes,,,,no,no,no,110,high,classify_then_discovery,1,copepods branchiopods decapods etc.
Crustacea,Acartia tonsa,GCF_053477335.1,Chromosome,RefSeq,yes,,,,no,no,no,100,high,classify_then_discovery,1,copepods branchiopods decapods etc.
Chelicerata,Eriophyidae sp.,GCA_045522265.1,Complete Genome,GenBank,yes,,,,no,no,no,110,high,classify_then_discovery,2,spiders horseshoe crabs mites
Chelicerata,Aegaeobuthus cyprius,GCA_978021275.1,Chromosome,GenBank,yes,,,,no,no,no,100,high,classify_then_discovery,2,spiders horseshoe crabs mites
Chelicerata,Aelurillus cypriotus,GCA_978018815.1,Chromosome,GenBank,yes,,,,no,no,no,100,high,classify_then_discovery,2,spiders horseshoe crabs mites
Chelicerata,Agelena orientalis,GCA_978045235.1,Chromosome,GenBank,yes,,,,no,no,no,100,high,classify_then_discovery,2,spiders horseshoe crabs mites
Chelicerata,Amaurobius ferox,GCA_951213105.1,Chromosome,GenBank,yes,,,,no,no,no,100,high,classify_then_discovery,2,spiders horseshoe crabs mites
Tardigrada,Hypsibius exemplaris,GCA_002082055.1,Scaffold,GenBank,yes,,,,no,no,no,85,high,classify_then_discovery,3,water bears
Tardigrada,Paramacrobiotus metropolitanus,GCF_019649055.1,Scaffold,RefSeq,yes,,,,no,no,no,85,high,classify_then_discovery,3,water bears
Rotifera,Adineta ricciae,GCA_905250025.1,Scaffold,GenBank,yes,,,,no,no,no,85,high,classify_then_discovery,4,bdelloid and other rotifers
Rotifera,Adineta steineri,GCA_905250115.1,Scaffold,GenBank,yes,,,,no,no,no,85,high,classify_then_discovery,4,bdelloid and other rotifers
Rotifera,Brachionus calyciflorus,GCA_002922825.1,Scaffold,GenBank,yes,,,,no,no,no,85,high,classify_then_discovery,4,bdelloid and other rotifers
