clade,organism,assembly_accession,assembly_level,assembly_source,connexin_category,connexin_term,connexin_evidence_level,connexin_source,assembly_priority_score,notes
Actinopterygii,Bajacalifornia burragei,GCA_978802825.1,Complete Genome,GenBank,no_related_entry_found,,,,70,ray-finned fishes excluding tetrapods
Actinopterygii,Epinephelus cyanopodus,GCA_058569155.1,Complete Genome,GenBank,no_related_entry_found,,,,70,ray-finned fishes excluding tetrapods
Actinopterygii,Hemibarbus labeo,GCA_056632655.1,Complete Genome,GenBank,no_related_entry_found,,,,70,ray-finned fishes excluding tetrapods
Actinopterygii,Hucho bleekeri,GCA_057318875.1,Complete Genome,GenBank,no_related_entry_found,,,,70,ray-finned fishes excluding tetrapods
Actinopterygii,Parabramis pekinensis,GCA_057375095.1,Complete Genome,GenBank,no_related_entry_found,,,,70,ray-finned fishes excluding tetrapods
Amphibia,Bombina variegata,GCA_964205295.1,Chromosome,GenBank,no_related_entry_found,,,,60,frogs salamanders caecilians
Amphibia,Boulenophrys sangzhiensis,GCA_056363575.1,Chromosome,GenBank,no_related_entry_found,,,,60,frogs salamanders caecilians
Amphibia,Bufotes viridis,GCA_033119425.1,Chromosome,GenBank,related_or_family_like_entry_found,gap junction,,,60,frogs salamanders caecilians
Amphibia,Desmognathus fuscus,GCA_050004315.1,Chromosome,GenBank,no_related_entry_found,,,,60,frogs salamanders caecilians
Amphibia,Discoglossus pictus,GCA_027410445.1,Chromosome,GenBank,related_or_family_like_entry_found,gap junction,,,60,frogs salamanders caecilians
Chondrichthyes,Carcharias taurus,GCA_055471155.1,Chromosome,GenBank,no_related_entry_found,,,,60,cartilaginous fishes sharks rays chimaeras
Chondrichthyes,Chimaera phantasma,GCA_057930315.1,Chromosome,GenBank,no_related_entry_found,,,,60,cartilaginous fishes sharks rays chimaeras
Chondrichthyes,Echinorhinus cookei,GCA_057876775.1,Chromosome,GenBank,no_related_entry_found,,,,60,cartilaginous fishes sharks rays chimaeras
Chondrichthyes,Fontitrygon garouaensis,GCA_054367945.1,Chromosome,GenBank,no_related_entry_found,,,,60,cartilaginous fishes sharks rays chimaeras
Chondrichthyes,Galeorhinus galeus,GCA_055755675.1,Chromosome,GenBank,no_related_entry_found,,,,60,cartilaginous fishes sharks rays chimaeras
Mammalia,Mus musculus domesticus,GCA_056825265.1,Complete Genome,GenBank,no_related_entry_found,,,,70,mammals
Mammalia,Antrozous pallidus,GCA_027563665.2,Chromosome,GenBank,related_or_family_like_entry_found,gap junction,,,60,mammals
Mammalia,Babyrousa celebensis,GCA_057927545.1,Chromosome,GenBank,no_related_entry_found,,,,60,mammals
Mammalia,Ceratotherium simum simum,GCA_057802395.1,Chromosome,GenBank,related_or_family_like_entry_found,gap junction,,,60,mammals
Mammalia,Eospalax fontanierii baileyi,GCA_057931235.1,Chromosome,GenBank,no_related_entry_found,,,,60,mammals
Sauropsida,Butorides sundevalli,GCA_057816225.1,Chromosome,GenBank,no_related_entry_found,,,,60,birds and reptiles turtles crocodilians squamates
Sauropsida,Cecropis daurica,GCA_057381115.1,Chromosome,GenBank,no_related_entry_found,,,,60,birds and reptiles turtles crocodilians squamates
Sauropsida,Correlophus ciliatus,GCA_040207535.2,Chromosome,GenBank,related_or_family_like_entry_found,gap junction,,,60,birds and reptiles turtles crocodilians squamates
Sauropsida,Dumetella carolinensis,GCA_057427935.1,Chromosome,GenBank,no_related_entry_found,,,,60,birds and reptiles turtles crocodilians squamates
Sauropsida,Emberiza tahapisi,GCA_058130095.1,Chromosome,GenBank,no_related_entry_found,,,,60,birds and reptiles turtles crocodilians squamates
