clade,organism,assembly_accession,assembly_level,assembly_source,connexin_category,connexin_term,connexin_evidence_level,connexin_source,assembly_priority_score,notes
Actinopterygii,Scleropages jardinii,GCA_054883365.1,Complete Genome,GenBank,no_related_entry_found,,,,70,ray-finned fishes excluding tetrapods
Actinopterygii,Triplophysa stolickai,GCA_057944685.1,Complete Genome,GenBank,no_related_entry_found,,,,70,ray-finned fishes excluding tetrapods
Actinopterygii,Abudefduf saxatilis,GCA_977929305.1,Chromosome,GenBank,no_related_entry_found,,,,60,ray-finned fishes excluding tetrapods
Actinopterygii,Acanthurus chirurgus,GCA_055796265.1,Chromosome,GenBank,no_related_entry_found,,,,60,ray-finned fishes excluding tetrapods
Actinopterygii,Acanthurus tractus,GCA_980438365.1,Chromosome,GenBank,no_related_entry_found,,,,60,ray-finned fishes excluding tetrapods
Amphibia,Eleutherodactylus marnockii,GCA_055470875.1,Chromosome,GenBank,no_related_entry_found,,,,60,frogs salamanders caecilians
Amphibia,Epidalea calamita,GCA_978041805.1,Chromosome,GenBank,no_related_entry_found,,,,60,frogs salamanders caecilians
Amphibia,Fejervarya limnocharis,GCA_054083975.1,Chromosome,GenBank,no_related_entry_found,,,,60,frogs salamanders caecilians
Amphibia,Gastrophryne carolinensis,GCA_027917425.1,Chromosome,GenBank,related_or_family_like_entry_found,gap junction,,,60,frogs salamanders caecilians
Amphibia,Ichthyophis bannanicus,GCA_033557465.1,Chromosome,GenBank,no_related_entry_found,,,,60,frogs salamanders caecilians
Chondrichthyes,Hydrolagus colliei,GCA_035084275.1,Chromosome,GenBank,no_related_entry_found,,,,60,cartilaginous fishes sharks rays chimaeras
Chondrichthyes,Leucoraja naevus,GCA_965643135.1,Chromosome,GenBank,no_related_entry_found,,,,60,cartilaginous fishes sharks rays chimaeras
Chondrichthyes,Malacoraja senta,GCA_038087875.1,Chromosome,GenBank,no_related_entry_found,,,,60,cartilaginous fishes sharks rays chimaeras
Chondrichthyes,Okamejei kenojei,GCA_035221665.1,Chromosome,GenBank,no_related_entry_found,,,,60,cartilaginous fishes sharks rays chimaeras
Chondrichthyes,Potamotrygon marinae,GCA_055471215.1,Chromosome,GenBank,no_related_entry_found,,,,60,cartilaginous fishes sharks rays chimaeras
Mammalia,Eospalax fontanierii cansus,GCA_057930505.1,Chromosome,GenBank,no_related_entry_found,,,,60,mammals
Mammalia,Eospalax rufescens,GCA_057930555.1,Chromosome,GenBank,no_related_entry_found,,,,60,mammals
Mammalia,Equus grevyi,GCA_057877195.1,Chromosome,GenBank,no_related_entry_found,,,,60,mammals
Mammalia,Marmota vancouverensis,GCA_040207255.2,Chromosome,GenBank,no_related_entry_found,,,,60,mammals
Mammalia,Mops condylurus,GCA_043748645.2,Chromosome,GenBank,no_related_entry_found,,,,60,mammals
Sauropsida,Euprepiophis mandarinus,GCA_057127995.1,Chromosome,GenBank,no_related_entry_found,,,,60,birds and reptiles turtles crocodilians squamates
Sauropsida,Liasis olivaceus olivaceus,GCA_057929265.1,Chromosome,GenBank,no_related_entry_found,,,,60,birds and reptiles turtles crocodilians squamates
Sauropsida,Luscinia svecica,GCA_965655245.2,Chromosome,GenBank,no_related_entry_found,,,,60,birds and reptiles turtles crocodilians squamates
Sauropsida,Mabuya desiradae,GCA_056883445.1,Chromosome,GenBank,no_related_entry_found,,,,60,birds and reptiles turtles crocodilians squamates
Sauropsida,Marmaronetta angustirostris,GCA_057375105.1,Chromosome,GenBank,no_related_entry_found,,,,60,birds and reptiles turtles crocodilians squamates
