Lanice conchilega
Nephtys caeca
Nephtys hombergii
Nephtys longosetosa
Ophelia borealis
Eriophyidae sp.
Aegaeobuthus cyprius
Aelurillus cypriotus
Agelena orientalis
Amaurobius ferox
Acropora austera
Acropora cervicornis
Acropora cf. manni
Acropora glauca
Acropora hyacinthus
Bathyporeia elegans
Liocarcinus depurator
Processa modica
Thia scutellata
Acartia tonsa
Adineta ricciae
Adineta steineri
Brachionus calyciflorus
Brachionus koreanus
Brachionus manjavacas
Hypsibius exemplaris
Paramacrobiotus metropolitanus
Mertensia ovum
Beroe forskalii
Beroe ovata
Dryodora glandiformis
Macoma balthica
Abra alba
Abra segmentum
Acanthocardia echinata
Acanthochitona discrepans
Trichoplax sp. H2
Acanthascus dawsoni
Agelas clathrodes
Agelas conifera
Agelas oroides
Agelas tubulata
