organism,annotation_searched,innexin_discovery_run,innexin_category,connexin_category,pannexin_category,listed_not_annotated_innexin,in_species_config,sources,source_count
Acropora millepora,yes,no,no_related_entry_found,no_related_entry_found,annotated_family_member_found,no,no,annotation_summary;batch_jun2026,2
Adineta vaga,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;innexin_discovery,2
Aedes aegypti,no,no,,,,no,yes,species_config,1
Amphimedon queenslandica,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary,1
Anopheles gambiae,no,no,,,,no,yes,species_config,1
Antygomonas paulae,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch2_jun2026;innexin_discovery,3
Aplysia californica,yes,no,annotated_family_member_found,related_or_family_like_entry_found,annotated_family_member_found,no,no,annotation_summary,1
Artemia franciscana,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary;batch_jun2026,2
Bolinopsis microptera,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary;batch_jun2026,2
Bos taurus,no,no,,,,no,yes,species_config,1
Caenorhabditis briggsae,no,no,,,,no,yes,species_config,1
Caenorhabditis elegans,no,no,,,,no,yes,species_config,1
Canis lupus familiaris,no,no,,,,no,yes,species_config,1
Capitella teleta,yes,no,annotated_family_member_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary,1
Chlorocebus sabaeus,no,no,,,,no,yes,species_config,1
Chordodes formosanus,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch2_jun2026;innexin_discovery,3
Crassostrea virginica,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary;batch_jun2026,2
Cricetulus griseus,no,no,,,,no,yes,species_config,1
Danio rerio,no,no,,,,no,yes,species_config,1
Daphnia magna,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary,1
Daphnia pulex,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary,1
Dimorphilus gyrociliatus,yes,no,annotated_family_member_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch_jun2026,2
Drosophila melanogaster,no,no,,,,no,yes,species_config,1
Echinoderes svetlanae,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch2_jun2026;innexin_discovery,3
Ephydatia muelleri,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;innexin_discovery,2
Epiperipatus broadwayi,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;innexin_discovery,2
Equus caballus,no,no,,,,no,yes,species_config,1
Erinaceus europaeus,no,no,,,,no,yes,species_config,1
Eriocheir sinensis,yes,no,annotated_family_member_found,related_or_family_like_entry_found,related_or_family_like_entry_found,no,no,annotation_summary,1
Euperipatoides rowelli,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;innexin_discovery,2
Gallus gallus,no,no,,,,no,yes,species_config,1
Gordius robustus,yes,yes,no_related_entry_found,no_related_entry_found,no_related_entry_found,no,no,annotation_summary;batch2_jun2026;innexin_discovery,3
Gorilla gorilla gorilla,no,no,,,,no,yes,species_config,1
