family,organism,panel_role,source_file,reviewed_only
connexin,Antrozous pallidus,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Babyrousa celebensis,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Bajacalifornia burragei,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Bombina variegata,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Boulenophrys sangzhiensis,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Bufotes viridis,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Butorides sundevalli,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Carcharias taurus,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Cecropis daurica,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Ceratotherium simum simum,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Chimaera phantasma,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Correlophus ciliatus,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Desmognathus fuscus,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Discoglossus pictus,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Dumetella carolinensis,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Echinorhinus cookei,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Emberiza tahapisi,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Eospalax fontanierii baileyi,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Epinephelus cyanopodus,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Fontitrygon garouaensis,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Galeorhinus galeus,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Hemibarbus labeo,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Hucho bleekeri,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Mus musculus domesticus,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Parabramis pekinensis,discovery_connexin_evolutionary,project/metadata/not_annotated_connexin_evolutionary.txt,
connexin,Abudefduf saxatilis,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Acanthurus chirurgus,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Acanthurus tractus,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Eleutherodactylus marnockii,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Eospalax fontanierii cansus,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Eospalax rufescens,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Epidalea calamita,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Equus grevyi,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Euprepiophis mandarinus,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Fejervarya limnocharis,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Gastrophryne carolinensis,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Hydrolagus colliei,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Ichthyophis bannanicus,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Leucoraja naevus,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Liasis olivaceus olivaceus,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Luscinia svecica,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Mabuya desiradae,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Malacoraja senta,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Marmaronetta angustirostris,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
connexin,Marmota vancouverensis,discovery_connexin_evolutionary_batch2,project/metadata/not_annotated_connexin_evolutionary_batch2.txt,
