method,group_a,group_b,n_pairs,mean_similarity,median_similarity,same_group
mmseqs_pident,alpha_GJA,alpha_GJA,1980,59.2529,56.1000,true
mmseqs_pident,alpha_GJA,beta_GJB,1395,46.4057,46.0000,false
mmseqs_pident,alpha_GJA,delta_GJD,405,37.9694,38.0000,false
mmseqs_pident,alpha_GJA,epsilon_GJE,37,21.8973,21.6000,false
mmseqs_pident,alpha_GJA,gamma_GJC,630,40.5819,39.6000,false
mmseqs_pident,alpha_GJA,unassigned,66,35.8136,39.8500,false
mmseqs_pident,beta_GJB,alpha_GJA,1395,46.3795,46.0000,false
mmseqs_pident,beta_GJB,beta_GJB,930,66.9028,61.5000,true
mmseqs_pident,beta_GJB,delta_GJD,279,34.8072,34.9000,false
mmseqs_pident,beta_GJB,epsilon_GJE,52,21.5365,20.9000,false
mmseqs_pident,beta_GJB,gamma_GJC,434,35.3525,35.0500,false
mmseqs_pident,beta_GJB,unassigned,61,28.7115,30.4000,false
mmseqs_pident,delta_GJD,alpha_GJA,405,38.3657,38.3000,false
mmseqs_pident,delta_GJD,beta_GJB,279,35.1616,35.3000,false
mmseqs_pident,delta_GJD,delta_GJD,72,48.5889,38.0500,true
mmseqs_pident,delta_GJD,epsilon_GJE,16,24.0000,23.5500,false
mmseqs_pident,delta_GJD,gamma_GJC,126,37.5095,38.1000,false
mmseqs_pident,delta_GJD,unassigned,17,42.2118,33.9000,false
mmseqs_pident,epsilon_GJE,alpha_GJA,41,21.3951,21.2000,false
mmseqs_pident,epsilon_GJE,beta_GJB,48,21.1333,20.9000,false
mmseqs_pident,epsilon_GJE,delta_GJD,12,24.8250,23.8500,false
mmseqs_pident,epsilon_GJE,epsilon_GJE,2,81.7000,81.7000,true
mmseqs_pident,epsilon_GJE,gamma_GJC,24,22.0000,19.8000,false
mmseqs_pident,epsilon_GJE,unassigned,4,48.5750,47.3000,false
mmseqs_pident,gamma_GJC,alpha_GJA,630,40.7584,39.3500,false
mmseqs_pident,gamma_GJC,beta_GJB,434,35.7154,36.6000,false
mmseqs_pident,gamma_GJC,delta_GJD,126,37.0413,38.8000,false
mmseqs_pident,gamma_GJC,epsilon_GJE,24,22.6875,20.5000,false
mmseqs_pident,gamma_GJC,gamma_GJC,182,62.0423,56.9000,true
mmseqs_pident,gamma_GJC,unassigned,21,35.9857,40.1000,false
mmseqs_pident,unassigned,alpha_GJA,69,34.8275,39.8000,false
mmseqs_pident,unassigned,beta_GJB,58,29.4155,32.1000,false
mmseqs_pident,unassigned,delta_GJD,18,40.4056,32.1500,false
mmseqs_pident,unassigned,epsilon_GJE,4,49.2250,47.8000,false
mmseqs_pident,unassigned,gamma_GJC,21,34.7667,40.2000,false
mmseqs_pident,unassigned,unassigned,8,42.3500,45.5000,true
aa_comp_cosine,alpha_GJA,alpha_GJA,1980,0.9557,0.9588,true
aa_comp_cosine,alpha_GJA,beta_GJB,1395,0.9376,0.9444,false
aa_comp_cosine,alpha_GJA,delta_GJD,405,0.9260,0.9378,false
aa_comp_cosine,alpha_GJA,epsilon_GJE,90,0.8866,0.8864,false
aa_comp_cosine,alpha_GJA,gamma_GJC,630,0.9415,0.9553,false
aa_comp_cosine,alpha_GJA,unassigned,1170,0.8388,0.8913,false
aa_comp_cosine,beta_GJB,alpha_GJA,1395,0.9376,0.9444,false
aa_comp_cosine,beta_GJB,beta_GJB,930,0.9663,0.9676,true
aa_comp_cosine,beta_GJB,delta_GJD,279,0.9108,0.9310,false
aa_comp_cosine,beta_GJB,epsilon_GJE,62,0.9266,0.9275,false
aa_comp_cosine,beta_GJB,gamma_GJC,434,0.9188,0.9314,false
aa_comp_cosine,beta_GJB,unassigned,806,0.8258,0.8777,false
aa_comp_cosine,delta_GJD,alpha_GJA,405,0.9260,0.9378,false
aa_comp_cosine,delta_GJD,beta_GJB,279,0.9108,0.9310,false
aa_comp_cosine,delta_GJD,delta_GJD,72,0.9337,0.9203,true
aa_comp_cosine,delta_GJD,epsilon_GJE,18,0.8575,0.8566,false
aa_comp_cosine,delta_GJD,gamma_GJC,126,0.9218,0.9264,false
aa_comp_cosine,delta_GJD,unassigned,234,0.8411,0.8930,false
aa_comp_cosine,epsilon_GJE,alpha_GJA,90,0.8866,0.8864,false
aa_comp_cosine,epsilon_GJE,beta_GJB,62,0.9266,0.9275,false
aa_comp_cosine,epsilon_GJE,delta_GJD,18,0.8575,0.8566,false
aa_comp_cosine,epsilon_GJE,epsilon_GJE,2,0.9755,0.9755,true
aa_comp_cosine,epsilon_GJE,gamma_GJC,28,0.8645,0.8852,false
aa_comp_cosine,epsilon_GJE,unassigned,52,0.7759,0.8290,false
aa_comp_cosine,gamma_GJC,alpha_GJA,630,0.9415,0.9553,false
aa_comp_cosine,gamma_GJC,beta_GJB,434,0.9188,0.9314,false
