family,metric,value
innexin,n_proteins,164
connexin,n_proteins,127
innexin,n_species,28
connexin,n_species,38
innexin,within_identity_published,46.2
connexin,within_identity_published,56.6
innexin,between_identity_published,27.9
connexin,between_identity_published,40.1
innexin,within_identity_matrix_mean,45.9963
connexin,within_identity_matrix_mean,61.4320
innexin,between_identity_matrix_mean,32.7258
connexin,between_identity_matrix_mean,40.7729
innexin,within_kmer_cosine,0.1601
connexin,within_kmer_cosine,0.3997
innexin,between_kmer_cosine,-0.1103
connexin,between_kmer_cosine,-0.1104
innexin,within_aa_cosine,0.9673
innexin,between_aa_cosine,0.9650
connexin,within_aa_cosine,0.9574
connexin,between_aa_cosine,0.9293
innexin,SF3_vs_SF4_identity,28.4782
connexin,alpha_vs_beta_identity,46.4057
both,cross_family_raw_hits,189
both,cross_family_homologous_hits,0
both,cross_family_median_pident,38.0000
both,cross_family_median_alnlen,28.0000
