method,group_a,group_b,n_pairs,mean_similarity,median_similarity,same_group
mmseqs_pident,SF1_shakB,SF1_shakB,306,50.7239,53.7000,true
mmseqs_pident,SF1_shakB,SF2_Inx1_ogre,144,50.3569,53.7000,false
mmseqs_pident,SF1_shakB,SF3_Inx3_Inx7_nematode,1332,32.3690,28.6000,false
mmseqs_pident,SF1_shakB,SF4_Inx2_expansion,414,45.6998,49.7000,false
mmseqs_pident,SF1_shakB,unassigned,774,39.2685,31.7000,false
mmseqs_pident,SF2_Inx1_ogre,SF1_shakB,144,50.4924,53.8500,false
mmseqs_pident,SF2_Inx1_ogre,SF2_Inx1_ogre,56,54.3518,53.1500,true
mmseqs_pident,SF2_Inx1_ogre,SF3_Inx3_Inx7_nematode,592,27.1659,26.7500,false
mmseqs_pident,SF2_Inx1_ogre,SF4_Inx2_expansion,184,50.4337,50.6000,false
mmseqs_pident,SF2_Inx1_ogre,unassigned,344,41.4041,36.6000,false
mmseqs_pident,SF3_Inx3_Inx7_nematode,SF1_shakB,1332,31.8727,27.8000,false
mmseqs_pident,SF3_Inx3_Inx7_nematode,SF2_Inx1_ogre,592,26.5046,25.9000,false
mmseqs_pident,SF3_Inx3_Inx7_nematode,SF3_Inx3_Inx7_nematode,5402,45.1847,43.6000,true
mmseqs_pident,SF3_Inx3_Inx7_nematode,SF4_Inx2_expansion,1702,28.4782,26.1000,false
mmseqs_pident,SF3_Inx3_Inx7_nematode,unassigned,3181,28.6899,27.4000,false
mmseqs_pident,SF4_Inx2_expansion,SF1_shakB,414,45.7703,49.4500,false
mmseqs_pident,SF4_Inx2_expansion,SF2_Inx1_ogre,184,50.4321,51.0500,false
mmseqs_pident,SF4_Inx2_expansion,SF3_Inx3_Inx7_nematode,1702,28.8660,26.5000,false
mmseqs_pident,SF4_Inx2_expansion,SF4_Inx2_expansion,506,50.8769,53.3000,true
mmseqs_pident,SF4_Inx2_expansion,unassigned,989,40.2173,35.6000,false
mmseqs_pident,unassigned,SF1_shakB,774,39.0552,31.5000,false
mmseqs_pident,unassigned,SF2_Inx1_ogre,344,41.1625,37.0000,false
mmseqs_pident,unassigned,SF3_Inx3_Inx7_nematode,3181,28.7749,27.7000,false
mmseqs_pident,unassigned,SF4_Inx2_expansion,989,40.0213,35.4000,false
mmseqs_pident,unassigned,unassigned,1518,35.5736,27.2000,true
aa_comp_cosine,SF1_shakB,SF1_shakB,420,0.9760,0.9779,true
aa_comp_cosine,SF1_shakB,SF2_Inx1_ogre,210,0.9753,0.9773,false
aa_comp_cosine,SF1_shakB,SF3_Inx3_Inx7_nematode,1953,0.9645,0.9665,false
aa_comp_cosine,SF1_shakB,SF4_Inx2_expansion,609,0.9701,0.9725,false
aa_comp_cosine,SF1_shakB,unassigned,441,0.9341,0.9679,false
aa_comp_cosine,SF2_Inx1_ogre,SF1_shakB,210,0.9753,0.9773,false
aa_comp_cosine,SF2_Inx1_ogre,SF2_Inx1_ogre,90,0.9749,0.9769,true
aa_comp_cosine,SF2_Inx1_ogre,SF3_Inx3_Inx7_nematode,930,0.9651,0.9673,false
aa_comp_cosine,SF2_Inx1_ogre,SF4_Inx2_expansion,290,0.9724,0.9740,false
aa_comp_cosine,SF2_Inx1_ogre,unassigned,210,0.9388,0.9685,false
aa_comp_cosine,SF3_Inx3_Inx7_nematode,SF1_shakB,1953,0.9645,0.9665,false
aa_comp_cosine,SF3_Inx3_Inx7_nematode,SF2_Inx1_ogre,930,0.9651,0.9673,false
aa_comp_cosine,SF3_Inx3_Inx7_nematode,SF3_Inx3_Inx7_nematode,8556,0.9666,0.9676,true
aa_comp_cosine,SF3_Inx3_Inx7_nematode,SF4_Inx2_expansion,2697,0.9627,0.9643,false
aa_comp_cosine,SF3_Inx3_Inx7_nematode,unassigned,1953,0.9314,0.9569,false
aa_comp_cosine,SF4_Inx2_expansion,SF1_shakB,609,0.9701,0.9725,false
aa_comp_cosine,SF4_Inx2_expansion,SF2_Inx1_ogre,290,0.9724,0.9740,false
aa_comp_cosine,SF4_Inx2_expansion,SF3_Inx3_Inx7_nematode,2697,0.9627,0.9643,false
aa_comp_cosine,SF4_Inx2_expansion,SF4_Inx2_expansion,812,0.9691,0.9706,true
aa_comp_cosine,SF4_Inx2_expansion,unassigned,609,0.9349,0.9646,false
aa_comp_cosine,unassigned,SF1_shakB,441,0.9341,0.9679,false
aa_comp_cosine,unassigned,SF2_Inx1_ogre,210,0.9388,0.9685,false
aa_comp_cosine,unassigned,SF3_Inx3_Inx7_nematode,1953,0.9314,0.9569,false
aa_comp_cosine,unassigned,SF4_Inx2_expansion,609,0.9349,0.9646,false
aa_comp_cosine,unassigned,unassigned,420,0.9082,0.9342,true
kmer3_svd_cosine,SF1_shakB,SF1_shakB,420,0.2571,0.3137,true
kmer3_svd_cosine,SF1_shakB,SF2_Inx1_ogre,210,0.2643,0.2951,false
kmer3_svd_cosine,SF1_shakB,SF3_Inx3_Inx7_nematode,1953,-0.1327,-0.1766,false
kmer3_svd_cosine,SF1_shakB,SF4_Inx2_expansion,609,0.1162,0.1272,false
kmer3_svd_cosine,SF1_shakB,unassigned,441,0.0891,0.0394,false
kmer3_svd_cosine,SF2_Inx1_ogre,SF1_shakB,210,0.2643,0.2951,false
kmer3_svd_cosine,SF2_Inx1_ogre,SF2_Inx1_ogre,90,0.3742,0.2560,true
kmer3_svd_cosine,SF2_Inx1_ogre,SF3_Inx3_Inx7_nematode,930,-0.2003,-0.2297,false
kmer3_svd_cosine,SF2_Inx1_ogre,SF4_Inx2_expansion,290,0.3047,0.2769,false
kmer3_svd_cosine,SF2_Inx1_ogre,unassigned,210,0.1692,0.0972,false
kmer3_svd_cosine,SF3_Inx3_Inx7_nematode,SF1_shakB,1953,-0.1327,-0.1766,false
kmer3_svd_cosine,SF3_Inx3_Inx7_nematode,SF2_Inx1_ogre,930,-0.2003,-0.2297,false
kmer3_svd_cosine,SF3_Inx3_Inx7_nematode,SF3_Inx3_Inx7_nematode,8556,0.1312,0.0849,true
kmer3_svd_cosine,SF3_Inx3_Inx7_nematode,SF4_Inx2_expansion,2697,-0.1880,-0.2396,false
kmer3_svd_cosine,SF3_Inx3_Inx7_nematode,unassigned,1953,-0.1608,-0.1633,false
kmer3_svd_cosine,SF4_Inx2_expansion,SF1_shakB,609,0.1162,0.1272,false
kmer3_svd_cosine,SF4_Inx2_expansion,SF2_Inx1_ogre,290,0.3047,0.2769,false
kmer3_svd_cosine,SF4_Inx2_expansion,SF3_Inx3_Inx7_nematode,2697,-0.1880,-0.2396,false
kmer3_svd_cosine,SF4_Inx2_expansion,SF4_Inx2_expansion,812,0.3910,0.4349,true
kmer3_svd_cosine,SF4_Inx2_expansion,unassigned,609,0.2258,0.0878,false
kmer3_svd_cosine,unassigned,SF1_shakB,441,0.0891,0.0394,false
kmer3_svd_cosine,unassigned,SF2_Inx1_ogre,210,0.1692,0.0972,false
kmer3_svd_cosine,unassigned,SF3_Inx3_Inx7_nematode,1953,-0.1608,-0.1633,false
kmer3_svd_cosine,unassigned,SF4_Inx2_expansion,609,0.2258,0.0878,false
kmer3_svd_cosine,unassigned,unassigned,420,0.2408,0.0576,true
