seq_id,source,species_dir,organism,clade,gene_label,reference_type,subfamily,length,identity_to_ref
ref|Aedes_aegypti|shakB|Q1DH70,reference_db,Aedes_aegypti,Aedes aegypti,Insecta,shakB,shakB,SF1_shakB,372,
ref|Anopheles_gambiae|ZPG|Q7Q5R9,reference_db,Anopheles_gambiae,Anopheles gambiae,Insecta,ZPG,Inx4/zpg,SF4_Inx2_expansion,386,
ref|Anopheles_gambiae|shakB|Q7PXN1,reference_db,Anopheles_gambiae,Anopheles gambiae,Insecta,shakB,shakB,SF1_shakB,373,
ref|Caenorhabditis_briggsae|inx-19|A8WVX4,reference_db,Caenorhabditis_briggsae,Caenorhabditis briggsae,Nematoda,inx-19,other/unknown,SF3_Inx3_Inx7_nematode,439,
ref|Caenorhabditis_elegans|eat-5|Q27295,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,eat-5,other nematode,SF3_Inx3_Inx7_nematode,423,
ref|Caenorhabditis_elegans|inx-10|Q22549,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-10,other/unknown,SF3_Inx3_Inx7_nematode,559,
ref|Caenorhabditis_elegans|inx-11|Q23157,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-11,other/unknown,SF3_Inx3_Inx7_nematode,465,
ref|Caenorhabditis_elegans|inx-12|O01634,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-12,other/unknown,SF3_Inx3_Inx7_nematode,408,
ref|Caenorhabditis_elegans|inx-14|O62136,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-14,other/unknown,SF3_Inx3_Inx7_nematode,434,
ref|Caenorhabditis_elegans|inx-16|O61787,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-16,other/unknown,SF3_Inx3_Inx7_nematode,372,
ref|Caenorhabditis_elegans|inx-17|O61788,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-17,other/unknown,SF3_Inx3_Inx7_nematode,362,
ref|Caenorhabditis_elegans|inx-19|O61715,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-19,other/unknown,SF3_Inx3_Inx7_nematode,454,
ref|Caenorhabditis_elegans|inx-2|Q9U3K5,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-2,other/unknown,SF3_Inx3_Inx7_nematode,419,
ref|Caenorhabditis_elegans|inx-3|Q19746,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-3,other/unknown,SF3_Inx3_Inx7_nematode,420,
ref|Caenorhabditis_elegans|inx-5|Q23027,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-5,other/unknown,SF3_Inx3_Inx7_nematode,447,
ref|Caenorhabditis_elegans|inx-6|Q9U3N4,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-6,other/unknown,SF3_Inx3_Inx7_nematode,389,
ref|Caenorhabditis_elegans|inx-7|Q21123,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-7,other/unknown,SF3_Inx3_Inx7_nematode,556,
ref|Caenorhabditis_elegans|inx-8|Q23593,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-8,other/unknown,SF3_Inx3_Inx7_nematode,382,
ref|Caenorhabditis_elegans|unc-7|Q03412,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,unc-7,unc-7,SF3_Inx3_Inx7_nematode,522,
ref|Caenorhabditis_elegans|unc-9|O01393,reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,unc-9,unc-9,SF3_Inx3_Inx7_nematode,386,
ref|Drosophila_melanogaster|Inx2|Q9V427,reference_db,Drosophila_melanogaster,Drosophila melanogaster,Insecta,Inx2,Inx2,SF4_Inx2_expansion,367,
ref|Drosophila_melanogaster|Inx3|Q9VAS7,reference_db,Drosophila_melanogaster,Drosophila melanogaster,Insecta,Inx3,Inx3,SF3_Inx3_Inx7_nematode,395,
ref|Drosophila_melanogaster|Inx5|Q9VWL5,reference_db,Drosophila_melanogaster,Drosophila melanogaster,Insecta,Inx5,Inx5,SF4_Inx2_expansion,419,
ref|Drosophila_melanogaster|Inx6|Q9VR82,reference_db,Drosophila_melanogaster,Drosophila melanogaster,Insecta,Inx6,Inx6,SF4_Inx2_expansion,481,
ref|Drosophila_melanogaster|Inx7|Q9V3W6,reference_db,Drosophila_melanogaster,Drosophila melanogaster,Insecta,Inx7,Inx7,SF3_Inx3_Inx7_nematode,438,
ref|Drosophila_melanogaster|ogre|P27716,reference_db,Drosophila_melanogaster,Drosophila melanogaster,Insecta,ogre,Inx1/ogre,SF2_Inx1_ogre,362,
ref|Drosophila_melanogaster|shakB|P33085,reference_db,Drosophila_melanogaster,Drosophila melanogaster,Insecta,shakB,shakB,SF1_shakB,372,
ref|Drosophila_melanogaster|zpg|Q9VRX6,reference_db,Drosophila_melanogaster,Drosophila melanogaster,Insecta,zpg,Inx4/zpg,SF4_Inx2_expansion,367,
ref|Schistocerca_americana|inx1|Q9XYN0,reference_db,Schistocerca_americana,Schistocerca americana,Insecta,inx1,Inx1/ogre,SF2_Inx1_ogre,361,
ref|Schistocerca_americana|inx2|Q9XYN1,reference_db,Schistocerca_americana,Schistocerca americana,Insecta,inx2,Inx2,SF4_Inx2_expansion,359,
phylo|Adineta_vaga_candidate_inx_008_innexin,phylo_panel,Adineta_vaga,Adineta vaga,Rotifera,candidate_inx_008,other/unknown,unassigned,207,
phylo|Adineta_vaga_candidate_inx_028_innexin,phylo_panel,Adineta_vaga,Adineta vaga,Rotifera,candidate_inx_028,other/unknown,unassigned,376,
phylo|Dryodora_glandiformis_candidate_inx_004_innexin,phylo_panel,Dryodora_glandiformis,Dryodora glandiformis,Ctenophora,candidate_inx_004,other/unknown,unassigned,153,
phylo|Eriophyidae_sp._candidate_inx_001_innexin,phylo_panel,Eriophyidae_sp.,Eriophyidae sp.,Arthropoda (non-insect),candidate_inx_001,other/unknown,unassigned,552,
phylo|Mnemiopsis_leidyi_candidate_inx_001_innexin,phylo_panel,Mnemiopsis_leidyi,Mnemiopsis leidyi,Ctenophora,candidate_inx_001,other/unknown,unassigned,276,
cur|Abra_alba|OZ409525.1_26983439_26985168|p1,curator_new,Abra_alba,Abra alba,Mollusca,sp|Q9V427|INX2_DROME,Inx2,SF4_Inx2_expansion,313,0.2747
cur|Abra_alba|OZ409525.1_18330358_18348899|p2,curator_new,Abra_alba,Abra alba,Mollusca,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,381,0.3874
cur|Abra_alba|OZ409525.1_27026774_27031521|p3,curator_new,Abra_alba,Abra alba,Mollusca,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,381,0.3665
cur|Abra_alba|OZ409525.1_53154133_53163052|p4,curator_new,Abra_alba,Abra alba,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,363,0.422
cur|Abra_alba|OZ409525.1_26978116_27031527|p5,curator_new,Abra_alba,Abra alba,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,372,0.4036
cur|Abra_alba|OZ409525.1_27063409_27064521|p6,curator_new,Abra_alba,Abra alba,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,371,0.384
cur|Abra_alba|OZ409525.1_47319987_47324644|p7,curator_new,Abra_alba,Abra alba,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,378,0.3782
cur|Abra_alba|OZ409527.1_48105670_48111459|p8,curator_new,Abra_alba,Abra alba,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,388,0.3543
cur|Abra_segmentum|OZ251777.1_53450550_53469929|p1,curator_new,Abra_segmentum,Abra segmentum,Mollusca,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,381,0.3848
cur|Abra_segmentum|OZ251777.1_37619854_37628968|p2,curator_new,Abra_segmentum,Abra segmentum,Mollusca,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,393,0.3782
cur|Abra_segmentum|OZ251777.1_10571949_10575809|p3,curator_new,Abra_segmentum,Abra segmentum,Mollusca,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,386,0.3938
cur|Abra_segmentum|OZ251784.1_30028846_30031445|p4,curator_new,Abra_segmentum,Abra segmentum,Mollusca,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,380,0.3472
cur|Abra_segmentum|OZ251786.1_2258616_2261215|p5,curator_new,Abra_segmentum,Abra segmentum,Mollusca,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,380,0.3446
cur|Abra_segmentum|OZ251777.1_14113510_14127320|p6,curator_new,Abra_segmentum,Abra segmentum,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,363,0.4301
cur|Abra_segmentum|OZ251777.1_37671120_37672232|p7,curator_new,Abra_segmentum,Abra segmentum,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,371,0.3867
cur|Abra_segmentum|OZ251777.1_32509668_32513297|p8,curator_new,Abra_segmentum,Abra segmentum,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,378,0.3782
cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9,curator_new,Abra_segmentum,Abra segmentum,Mollusca,sp|Q9XYN1|INX2_SCHAM,Inx2,SF4_Inx2_expansion,307,0.2848
cur|Acanthocardia_echinata|OZ377328.1_19071829_19072938|p1,curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,370,0.4
cur|Acanthocardia_echinata|OZ377328.1_21360257_21387081|p2,curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,377,0.3687
cur|Acanthocardia_echinata|OZ377328.1_23300040_23302999|p3,curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,362,0.3812
cur|Acanthocardia_echinata|OZ377328.1_11251456_11255941|p4,curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,386,0.3497
cur|Acanthocardia_echinata|OZ377328.1_11291981_11299363|p5,curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,386,0.3446
cur|Acanthocardia_echinata|OZ377328.1_2223730_2233660|p6,curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,368,0.4225
cur|Acanthocardia_echinata|OZ377328.1_18890103_18896398|p8,curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,372,0.3953
