seqid,start,end,strand,identity,aa_length,cys,stops,verdict,target,el1_cys,el2_cys,el_motif,tm_pred
OZ390143.1,182374130,182375188,-,0.4724,361,8,0,present,sp|P27716|INX1_DROME 1 361,3,2,pass,5
OZ390149.1,149716552,149716986,-,0.6054,145,1,0,weak,candidate_inx_008 49 194,,,unresolved,2
OZ390144.1,75677889,75678320,-,0.5890,144,1,0,weak,candidate_inx_008 49 194,,,unresolved,3
OZ390143.1,182108915,182109994,+,0.4490,362,11,0,present,sp|P27716|INX1_DROME 1 362,2,2,pass,5
OZ390146.1,38212551,38213627,-,0.4083,359,6,0,present,sp|P27716|INX1_DROME 1 359,2,2,pass,4
OZ390146.1,38046229,38047305,-,0.4475,361,9,0,present,sp|P27716|INX1_DROME 1 361,2,2,pass,4
OZ390140.1,313071841,313072917,-,0.4077,362,7,0,present,sp|P27716|INX1_DROME 1 362,2,2,pass,4
OZ390143.1,182084363,182085409,+,0.4136,351,12,0,present,sp|P27716|INX1_DROME 4 354,2,2,pass,4
OZ390143.1,182139075,182140127,+,0.4605,351,11,0,present,sp|P33085|SHAKB_DROME 1 353,2,2,pass,4
OZ390146.1,122266154,122267227,+,0.4596,358,10,0,present,sp|Q9V427|INX2_DROME 7 364,2,2,pass,4
OZ390143.1,182250197,182251189,-,0.4187,331,7,0,present,sp|Q9VAS7|INX3_DROME 25 355,2,2,pass,4
OZ390143.1,182176806,182177798,-,0.4066,331,8,0,present,sp|Q9VAS7|INX3_DROME 24 354,2,2,pass,4
OZ390146.1,38499687,38500751,-,0.3191,355,9,0,present,sp|Q9VR82|INX6_DROME 1 391,2,2,pass,4
