seqid,start,end,strand,identity,aa_length,cys,stops,verdict,target,el1_cys,el2_cys,el_motif,tm_pred
CP075492.1,7346414,7348389,-,0.4070,371,8,0,present,sp|O01393|UNC9_CAEEL 16 375,,,unresolved,0
CP075492.1,7594378,7595697,-,0.3731,401,8,0,present,sp|O01393|UNC9_CAEEL 1 376,,,unresolved,0
CP075492.1,11242769,11243356,-,0.8020,196,3,0,fragmentary,candidate_inx_008 1 197,,,unresolved,2
CP075494.1,663807,664934,+,0.8450,376,8,0,present,candidate_inx_028 1 376,,,unresolved,1
CP075494.1,9868306,9869674,+,0.3263,372,9,0,present,sp|Q03412|UNC7_CAEEL 136 493,2,2,pass,4
CP075494.1,12488368,12495862,-,0.2657,378,8,0,present,sp|Q1DH70|SHAKB_AEDAE 18 372,2,4,pass,5
CP075494.1,12494283,12495925,-,0.3531,387,8,0,present,sp|O01393|UNC9_CAEEL 1 375,2,4,pass,5
CP075494.1,16742444,16743574,+,1.0000,376,6,1,present,candidate_inx_028 1 376,,,unresolved,2
CP075495.1,2966282,2969516,+,0.3131,465,10,0,present,sp|Q03412|UNC7_CAEEL 1 510,2,2,pass,5
CP075495.1,4999987,5001977,-,0.3536,283,7,6,weak,sp|O01393|UNC9_CAEEL 1 373,,,unresolved,3
CP075495.1,5000104,5001914,-,0.3536,283,7,6,weak,sp|O01393|UNC9_CAEEL 1 373,,,unresolved,3
CP075495.1,6438920,6440399,-,0.2974,379,6,0,present,sp|Q03412|UNC7_CAEEL 136 509,,,unresolved,0
CP075495.1,8707181,8708623,-,0.3396,372,9,0,present,sp|Q03412|UNC7_CAEEL 136 493,2,2,pass,4
CP075497.1,4485824,4486447,+,1.0000,207,3,1,fragmentary,candidate_inx_008 1 207,,,unresolved,2
CP075497.1,6390928,6392144,+,0.3297,362,10,0,present,sp|O01393|UNC9_CAEEL 20 373,,,unresolved,0
CP075497.1,8878933,8880229,+,0.3625,400,7,0,present,sp|O01393|UNC9_CAEEL 1 377,,,unresolved,0
CP075497.1,9105282,9106983,+,0.3708,391,10,0,present,sp|O01393|UNC9_CAEEL 16 372,,,unresolved,0
