organism,family,exact_annotation_found,related_annotation_found,final_category,confidence,top_matching_term,database_source,search_level,top_accession,top_gene_symbol,top_protein_name,level_a_hit_count,level_b_hit_count,example_query
Lanice conchilega,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Lanice conchilega,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Lanice conchilega,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys caeca,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys caeca,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys caeca,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys hombergii,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys hombergii,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys hombergii,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys longosetosa,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys longosetosa,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Nephtys longosetosa,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Ophelia borealis,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Ophelia borealis,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Ophelia borealis,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Eriophyidae sp.,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Eriophyidae sp.,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Eriophyidae sp.,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Aegaeobuthus cyprius,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Aegaeobuthus cyprius,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Aegaeobuthus cyprius,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Aelurillus cypriotus,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Aelurillus cypriotus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Aelurillus cypriotus,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelena orientalis,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelena orientalis,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelena orientalis,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Amaurobius ferox,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Amaurobius ferox,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Amaurobius ferox,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora austera,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora austera,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora austera,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora cervicornis,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora cervicornis,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora cervicornis,pannexin,yes,no,annotated_family_member_found,high,pannexin,uniprot,A,A0AAD9R0U3,,Pannexin-2,1,0,"organism_name:""Acropora cervicornis"" AND protein_name:pannexin"
Acropora cf. manni,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora cf. manni,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora cf. manni,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora glauca,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora glauca,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora glauca,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora hyacinthus,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora hyacinthus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora hyacinthus,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Bathyporeia elegans,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Bathyporeia elegans,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Bathyporeia elegans,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Liocarcinus depurator,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Liocarcinus depurator,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Liocarcinus depurator,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Processa modica,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Processa modica,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Processa modica,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Thia scutellata,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Thia scutellata,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Thia scutellata,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acartia tonsa,innexin,yes,no,annotated_family_member_found,high,innexin,ncbi_gene,A,145316485,Inx2,innexin 2,6,0,"innexin[All Fields] AND ""Acartia tonsa""[Organism]"
Acartia tonsa,connexin,no,yes,related_or_family_like_entry_found,medium,innexin 2,ncbi_gene,B,145316485,Inx2,innexin 2,0,5,"""gap junction""[All Fields] AND ""Acartia tonsa""[Organism]"
Acartia tonsa,pannexin,no,yes,related_or_family_like_entry_found,medium,innexin 2,ncbi_gene,B,145316485,Inx2,innexin 2,0,5,"""gap junction""[All Fields] AND ""Acartia tonsa""[Organism]"
Adineta ricciae,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A813U6J4,inx,Innexin,10,0,"organism_name:""Adineta ricciae"" AND protein_name:innexin"
Adineta ricciae,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Adineta ricciae,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Adineta steineri,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A815VC03,inx,Innexin,10,0,"organism_name:""Adineta steineri"" AND protein_name:innexin"
Adineta steineri,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Adineta steineri,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Brachionus calyciflorus,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A813M066,inx,Innexin,10,0,"organism_name:""Brachionus calyciflorus"" AND protein_name:innexin"
Brachionus calyciflorus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Brachionus calyciflorus,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Brachionus koreanus,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Brachionus koreanus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Brachionus koreanus,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Brachionus manjavacas,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Brachionus manjavacas,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Brachionus manjavacas,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hypsibius exemplaris,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hypsibius exemplaris,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Hypsibius exemplaris,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Paramacrobiotus metropolitanus,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Paramacrobiotus metropolitanus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Paramacrobiotus metropolitanus,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
