seqid,start,end,strand,identity,aa_length,cys,stops,verdict,target,el1_cys,el2_cys,el_motif,tm_pred
OZ405001.1,267681632,267682690,+,0.4862,361,9,0,fragmentary,sp|P27716|INX1_DROME 1 361,5,0,fail,4
OZ405014.1,209203498,209203932,-,0.5986,145,1,0,weak,candidate_inx_008 49 194,,,unresolved,2
OZ405011.1,21599138,21599569,-,0.5890,144,1,0,weak,candidate_inx_008 49 194,,,unresolved,3
OZ405001.1,268312101,268313180,-,0.4545,362,9,0,present,sp|P27716|INX1_DROME 1 362,2,2,pass,5
OZ405006.1,111928554,111929630,-,0.4194,359,7,0,present,sp|P27716|INX1_DROME 1 359,2,2,pass,4
OZ405006.1,297866838,297971678,+,0.4605,353,9,0,present,sp|P27716|INX1_DROME 1 353,3,2,pass,5
OZ405006.1,111738241,111739299,-,0.5508,353,8,0,present,sp|Q9V427|INX2_DROME 1 353,,,unresolved,3
OZ405001.1,268184608,268185672,+,0.4187,362,8,0,present,sp|P27716|INX1_DROME 1 362,2,2,pass,4
OZ405001.1,268351790,268352827,-,0.4843,347,13,0,present,sp|Q9V427|INX2_DROME 6 352,2,2,pass,4
OZ405006.1,106576794,106577825,-,0.4899,344,10,0,present,sp|Q9V427|INX2_DROME 9 352,2,2,pass,4
OZ405001.1,268012962,268013954,+,0.4157,331,8,0,present,sp|Q9VAS7|INX3_DROME 25 355,2,2,pass,4
OZ405001.1,268229037,268230092,-,0.4113,352,12,0,present,sp|Q9VAS7|INX3_DROME 12 364,2,2,pass,4
OZ405001.1,268249448,268250470,-,0.3478,341,9,0,present,sp|Q9VRX6|INX4_DROME 8 350,2,2,pass,5
OZ405006.1,112308435,112309481,-,0.3213,349,10,0,present,sp|Q9VRX6|INX4_DROME 1 354,2,2,pass,4
