seq_id,source,species_dir,organism,clade,gene_label,reference_type,subfamily,protein_length,rank_category
ref__Bos_taurus__GJA1__P18246,reference_db,Bos_taurus,Bos taurus,Mammal,GJA1,GJA1,alpha_GJA,383,reference
ref__Bos_taurus__GJA3__P41987,reference_db,Bos_taurus,Bos taurus,Mammal,GJA3,GJA3,alpha_GJA,407,reference
ref__Bos_taurus__GJA4__A4IFL1,reference_db,Bos_taurus,Bos taurus,Mammal,GJA4,GJA4,alpha_GJA,333,reference
ref__Bos_taurus__GJA5__Q0VCR2,reference_db,Bos_taurus,Bos taurus,Mammal,GJA5,GJA5,alpha_GJA,359,reference
ref__Bos_taurus__GJB1__O18968,reference_db,Bos_taurus,Bos taurus,Mammal,GJB1,GJB1,beta_GJB,284,reference
ref__Bos_taurus__GJB2__A2VE67,reference_db,Bos_taurus,Bos taurus,Mammal,GJB2,GJB2,beta_GJB,226,reference
ref__Bos_taurus__GJB3__Q58D78,reference_db,Bos_taurus,Bos taurus,Mammal,GJB3,GJB3,beta_GJB,270,reference
ref__Bos_taurus__GJD2__Q866T7,reference_db,Bos_taurus,Bos taurus,Mammal,GJD2,GJD,delta_GJD,321,reference
ref__Canis_lupus_familiaris__GJA1__Q6S9C0,reference_db,Canis_lupus_familiaris,Canis lupus familiaris,Mammal,GJA1,GJA1,alpha_GJA,382,reference
ref__Canis_lupus_familiaris__GJA5__P33725,reference_db,Canis_lupus_familiaris,Canis lupus familiaris,Mammal,GJA5,GJA5,alpha_GJA,358,reference
ref__Canis_lupus_familiaris__GJC1__P28228,reference_db,Canis_lupus_familiaris,Canis lupus familiaris,Mammal,GJC1,GJC,gamma_GJC,396,reference
ref__Chlorocebus_sabaeus__GJA1__Q6TYA9,reference_db,Chlorocebus_sabaeus,Chlorocebus sabaeus,Other vertebrate,GJA1,GJA1,alpha_GJA,382,reference
ref__Cricetulus_griseus__GJC1__Q6R4A8,reference_db,Cricetulus_griseus,Cricetulus griseus,Other vertebrate,GJC1,GJC,gamma_GJC,396,reference
ref__Danio_rerio__cx23__U3JA75,reference_db,Danio_rerio,Danio rerio,Ray-finned fish,cx23,other/unknown,unassigned,207,reference
ref__Danio_rerio__cx32.2__Q7T047,reference_db,Danio_rerio,Danio rerio,Ray-finned fish,cx32.2,GJB1,beta_GJB,277,reference
ref__Danio_rerio__gja1__O57474,reference_db,Danio_rerio,Danio rerio,Ray-finned fish,gja1,GJA1,alpha_GJA,381,reference
ref__Danio_rerio__gjc1__Q92052,reference_db,Danio_rerio,Danio rerio,Ray-finned fish,gjc1,GJC,gamma_GJC,380,reference
ref__Equus_caballus__GJB1__Q6WGK6,reference_db,Equus_caballus,Equus caballus,Mammal,GJB1,GJB1,beta_GJB,283,reference
ref__Erinaceus_europaeus__GJA1__Q6TYA8,reference_db,Erinaceus_europaeus,Erinaceus europaeus,Other vertebrate,GJA1,GJA1,alpha_GJA,382,reference
ref__Gallus_gallus__GJA1__P14154,reference_db,Gallus_gallus,Gallus gallus,Bird,GJA1,GJA1,alpha_GJA,381,reference
ref__Gallus_gallus__GJA3__P29415,reference_db,Gallus_gallus,Gallus gallus,Bird,GJA3,GJA3,alpha_GJA,511,reference
ref__Gallus_gallus__GJA5__P18860,reference_db,Gallus_gallus,Gallus gallus,Bird,GJA5,GJA5,alpha_GJA,369,reference
ref__Gallus_gallus__GJA8__P36381,reference_db,Gallus_gallus,Gallus gallus,Bird,GJA8,GJA8,alpha_GJA,400,reference
ref__Gallus_gallus__GJB6__O93533,reference_db,Gallus_gallus,Gallus gallus,Bird,GJB6,GJB6,beta_GJB,263,reference
ref__Gallus_gallus__GJC1__P18861,reference_db,Gallus_gallus,Gallus gallus,Bird,GJC1,GJC,gamma_GJC,394,reference
ref__Gorilla_gorilla_gorilla__GJB2__Q8MHW5,reference_db,Gorilla_gorilla_gorilla,Gorilla gorilla gorilla,Other vertebrate,GJB2,GJB2,beta_GJB,226,reference
ref__Homo_sapiens__GJA10__Q969M2,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJA10,other GJA,alpha_GJA,543,reference
ref__Homo_sapiens__GJA1__P17302,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJA1,GJA1,alpha_GJA,382,reference
ref__Homo_sapiens__GJA3__Q9Y6H8,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJA3,GJA3,alpha_GJA,435,reference
ref__Homo_sapiens__GJA4__P35212,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJA4,GJA4,alpha_GJA,333,reference
ref__Homo_sapiens__GJA5__P36382,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJA5,GJA5,alpha_GJA,358,reference
ref__Homo_sapiens__GJA8__P48165,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJA8,GJA8,alpha_GJA,433,reference
ref__Homo_sapiens__GJA9__P57773,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJA9,other GJA,alpha_GJA,515,reference
ref__Homo_sapiens__GJB1__P08034,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJB1,GJB1,beta_GJB,283,reference
ref__Homo_sapiens__GJB2__P29033,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJB2,GJB2,beta_GJB,226,reference
ref__Homo_sapiens__GJB3__O75712,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJB3,GJB3,beta_GJB,270,reference
ref__Homo_sapiens__GJB4__Q9NTQ9,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJB4,other GJB,beta_GJB,266,reference
ref__Homo_sapiens__GJB5__O95377,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJB5,other GJB,beta_GJB,273,reference
ref__Homo_sapiens__GJB6__O95452,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJB6,GJB6,beta_GJB,261,reference
ref__Homo_sapiens__GJB7__Q6PEY0,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJB7,other GJB,beta_GJB,223,reference
ref__Homo_sapiens__GJC1__P36383,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJC1,GJC,gamma_GJC,396,reference
ref__Homo_sapiens__GJC2__Q5T442,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJC2,GJC,gamma_GJC,439,reference
ref__Homo_sapiens__GJC3__Q8NFK1,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJC3,GJC,gamma_GJC,279,reference
ref__Homo_sapiens__GJD2__Q9UKL4,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJD2,GJD,delta_GJD,321,reference
ref__Homo_sapiens__GJD3__Q8N144,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJD3,GJD,delta_GJD,294,reference
ref__Homo_sapiens__GJD4__Q96KN9,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJD4,GJD,delta_GJD,370,reference
ref__Homo_sapiens__GJE1__A6NN92,reference_db,Homo_sapiens,Homo sapiens,Mammal,GJE1,GJE,epsilon_GJE,205,reference
ref__Homo_sapiens__RIC1__Q4ADV7,reference_db,Homo_sapiens,Homo sapiens,Mammal,RIC1,other/unknown,unassigned,1423,reference
ref__Hylobates_moloch__GJB2__Q7JGL3,reference_db,Hylobates_moloch,Hylobates moloch,Mammal,GJB2,GJB2,beta_GJB,226,reference
ref__Leucoraja_erinaceus__P69998__P69998,reference_db,Leucoraja_erinaceus,Leucoraja erinaceus,Cartilaginous fish,P69998,other/unknown,unassigned,302,reference
ref__Macaca_fascicularis__GJA1__Q4R4S7,reference_db,Macaca_fascicularis,Macaca fascicularis,Mammal,GJA1,GJA1,alpha_GJA,382,reference
ref__Macaca_fascicularis__GJB1__Q60HF7,reference_db,Macaca_fascicularis,Macaca fascicularis,Mammal,GJB1,GJB1,beta_GJB,283,reference
ref__Macaca_fascicularis__GJD4__Q9N0B3,reference_db,Macaca_fascicularis,Macaca fascicularis,Mammal,GJD4,GJD,delta_GJD,370,reference
ref__Macaca_mulatta__GJB2__Q8MIT8,reference_db,Macaca_mulatta,Macaca mulatta,Mammal,GJB2,GJB2,beta_GJB,226,reference
ref__Mesocricetus_auratus__GJC1__Q6PYT3,reference_db,Mesocricetus_auratus,Mesocricetus auratus,Mammal,GJC1,GJC,gamma_GJC,396,reference
ref__Mus_musculus__Gja10__Q9WUS4,reference_db,Mus_musculus,Mus musculus,Mammal,Gja10,other GJA,alpha_GJA,505,reference
ref__Mus_musculus__Gja1__P23242,reference_db,Mus_musculus,Mus musculus,Mammal,Gja1,GJA1,alpha_GJA,382,reference
ref__Mus_musculus__Gja3__Q64448,reference_db,Mus_musculus,Mus musculus,Mammal,Gja3,GJA3,alpha_GJA,417,reference
ref__Mus_musculus__Gja4__P28235,reference_db,Mus_musculus,Mus musculus,Mammal,Gja4,GJA4,alpha_GJA,333,reference
ref__Mus_musculus__Gja5__Q01231,reference_db,Mus_musculus,Mus musculus,Mammal,Gja5,GJA5,alpha_GJA,358,reference
ref__Mus_musculus__Gja6__Q6S5G4,reference_db,Mus_musculus,Mus musculus,Mammal,Gja6,other GJA,alpha_GJA,283,reference
ref__Mus_musculus__Gja8__P28236,reference_db,Mus_musculus,Mus musculus,Mammal,Gja8,GJA8,alpha_GJA,440,reference
ref__Mus_musculus__Gjb1__P28230,reference_db,Mus_musculus,Mus musculus,Mammal,Gjb1,GJB1,beta_GJB,283,reference
ref__Mus_musculus__Gjb2__Q00977,reference_db,Mus_musculus,Mus musculus,Mammal,Gjb2,GJB2,beta_GJB,226,reference
ref__Mus_musculus__Gjb3__P28231,reference_db,Mus_musculus,Mus musculus,Mammal,Gjb3,GJB3,beta_GJB,270,reference
ref__Mus_musculus__Gjb4__Q02738,reference_db,Mus_musculus,Mus musculus,Mammal,Gjb4,other GJB,beta_GJB,266,reference
ref__Mus_musculus__Gjb5__Q02739,reference_db,Mus_musculus,Mus musculus,Mammal,Gjb5,other GJB,beta_GJB,271,reference
ref__Mus_musculus__Gjb6__P70689,reference_db,Mus_musculus,Mus musculus,Mammal,Gjb6,GJB6,beta_GJB,261,reference
ref__Mus_musculus__Gjc1__P28229,reference_db,Mus_musculus,Mus musculus,Mammal,Gjc1,GJC,gamma_GJC,396,reference
ref__Mus_musculus__Gjc2__Q8BQU6,reference_db,Mus_musculus,Mus musculus,Mammal,Gjc2,GJC,gamma_GJC,440,reference
ref__Mus_musculus__Gjc3__Q921C1,reference_db,Mus_musculus,Mus musculus,Mammal,Gjc3,GJC,gamma_GJC,269,reference
ref__Mus_musculus__Gjd2__O54851,reference_db,Mus_musculus,Mus musculus,Mammal,Gjd2,GJD,delta_GJD,321,reference
ref__Mus_musculus__Gjd3__Q91YD1,reference_db,Mus_musculus,Mus musculus,Mammal,Gjd3,GJD,delta_GJD,278,reference
ref__Mus_musculus__Gjd4__Q8BSD4,reference_db,Mus_musculus,Mus musculus,Mammal,Gjd4,GJD,delta_GJD,364,reference
ref__Mus_musculus__Gje1__Q9CX92,reference_db,Mus_musculus,Mus musculus,Mammal,Gje1,GJE,epsilon_GJE,205,reference
ref__Oryctolagus_cuniculus__GJA1__Q6TYA7,reference_db,Oryctolagus_cuniculus,Oryctolagus cuniculus,Mammal,GJA1,GJA1,alpha_GJA,382,reference
ref__Ovis_aries__GJA3__Q9TU17,reference_db,Ovis_aries,Ovis aries,Mammal,GJA3,GJA3,alpha_GJA,413,reference
ref__Ovis_aries__GJA8__P55917,reference_db,Ovis_aries,Ovis aries,Mammal,GJA8,GJA8,alpha_GJA,440,reference
ref__Ovis_aries__GJB2__P46691,reference_db,Ovis_aries,Ovis aries,Mammal,GJB2,GJB2,beta_GJB,226,reference
ref__Pongo_pygmaeus__GJB2__Q8MIT9,reference_db,Pongo_pygmaeus,Pongo pygmaeus,Mammal,GJB2,GJB2,beta_GJB,226,reference
ref__Rattus_norvegicus__Gja1__P08050,reference_db,Rattus_norvegicus,Rattus norvegicus,Mammal,Gja1,GJA1,alpha_GJA,382,reference
ref__Rattus_norvegicus__Gja3__P29414,reference_db,Rattus_norvegicus,Rattus norvegicus,Mammal,Gja3,GJA3,alpha_GJA,416,reference
ref__Rattus_norvegicus__Gja4__Q03190,reference_db,Rattus_norvegicus,Rattus norvegicus,Mammal,Gja4,GJA4,alpha_GJA,333,reference
ref__Rattus_norvegicus__Gja5__P28234,reference_db,Rattus_norvegicus,Rattus norvegicus,Mammal,Gja5,GJA5,alpha_GJA,356,reference
ref__Rattus_norvegicus__Gja6__P28233,reference_db,Rattus_norvegicus,Rattus norvegicus,Mammal,Gja6,other GJA,alpha_GJA,286,reference
ref__Rattus_norvegicus__Gja8__Q8K4Q9,reference_db,Rattus_norvegicus,Rattus norvegicus,Mammal,Gja8,GJA8,alpha_GJA,440,reference
ref__Rattus_norvegicus__Gjb1__P08033,reference_db,Rattus_norvegicus,Rattus norvegicus,Mammal,Gjb1,GJB1,beta_GJB,283,reference
ref__Rattus_norvegicus__Gjb2__P21994,reference_db,Rattus_norvegicus,Rattus norvegicus,Mammal,Gjb2,GJB2,beta_GJB,226,reference
ref__Rattus_norvegicus__Gjb3__P25305,reference_db,Rattus_norvegicus,Rattus norvegicus,Mammal,Gjb3,GJB3,beta_GJB,270,reference
ref__Rattus_norvegicus__Gjb4__P36380,reference_db,Rattus_norvegicus,Rattus norvegicus,Mammal,Gjb4,other GJB,beta_GJB,265,reference
ref__Rattus_norvegicus__Gjb5__P28232,reference_db,Rattus_norvegicus,Rattus norvegicus,Mammal,Gjb5,other GJB,beta_GJB,271,reference
ref__Rattus_norvegicus__Gjc1__A4GG66,reference_db,Rattus_norvegicus,Rattus norvegicus,Mammal,Gjc1,GJC,gamma_GJC,396,reference
ref__Rattus_norvegicus__Gjc2__Q80XF7,reference_db,Rattus_norvegicus,Rattus norvegicus,Mammal,Gjc2,GJC,gamma_GJC,440,reference
ref__Rattus_norvegicus__Gjd2__O70610,reference_db,Rattus_norvegicus,Rattus norvegicus,Mammal,Gjd2,GJD,delta_GJD,321,reference
ref__Sus_scrofa__GJA1__Q29101,reference_db,Sus_scrofa,Sus scrofa,Mammal,GJA1,GJA1,alpha_GJA,382,reference
ref__Sus_scrofa__GJA4__Q29559,reference_db,Sus_scrofa,Sus scrofa,Mammal,GJA4,GJA4,alpha_GJA,138,reference
ref__Sus_scrofa__GJC1__A4GVD1,reference_db,Sus_scrofa,Sus scrofa,Mammal,GJC1,GJC,gamma_GJC,396,reference
