phylo|Dryodora_glandiformis_candidate_inx_004_innexin	phylo|Dryodora_glandiformis_candidate_inx_004_innexin
cur|Brachionus_calyciflorus|NTPY01000529.1_56274_58710|p2	cur|Brachionus_calyciflorus|NTPY01000529.1_56274_58710|p2
cur|Brachionus_calyciflorus|NTPY01000529.1_56274_58710|p2	cur|Brachionus_koreanus|PJRA01000196.1_402296_406389|p1
cur|Brachionus_calyciflorus|NTPY01000529.1_56274_58710|p2	cur|Brachionus_manjavacas|JAHQIY010000010.1_3042979_3051256|p1
Anopheles_gambiae	Anopheles_gambiae
phylo|Eriophyidae_sp._candidate_inx_001_innexin	phylo|Eriophyidae_sp._candidate_inx_001_innexin
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Acanthochitona_discrepans|CM108789.1_13668655_13669749|p2
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Abra_alba|OZ409525.1_18330358_18348899|p2
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Acanthochitona_discrepans|CM108789.1_17930773_17931897|p3
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Abra_segmentum|OZ251777.1_53450550_53469929|p1
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Abra_segmentum|OZ251777.1_37619854_37628968|p2
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Abra_alba|OZ409525.1_27026774_27031521|p3
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Abra_alba|OZ409525.1_26978116_27031527|p5
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Acanthocardia_echinata|OZ377328.1_21360257_21387081|p2
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Acanthocardia_echinata|OZ377328.1_18890103_18896398|p8
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Acanthocardia_echinata|OZ377328.1_21341102_21387057|p11
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Abra_segmentum|OZ251777.1_10571949_10575809|p3
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Acanthocardia_echinata|OZ377328.1_23337154_23339399|p9
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Acanthocardia_echinata|OZ377325.1_14826690_14837377|p14
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Acanthocardia_echinata|OZ377328.1_23300040_23302999|p3
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1	cur|Dryodora_glandiformis|JAUELJ010305675.1_629_1771|p4
phylo|Mnemiopsis_leidyi_candidate_inx_001_innexin	phylo|Mnemiopsis_leidyi_candidate_inx_001_innexin
cur|Brachionus_calyciflorus|NTPY01000526.1_2301293_2302390|p4	cur|Brachionus_calyciflorus|NTPY01000526.1_2301293_2302390|p4
cur|Brachionus_calyciflorus|NTPY01000526.1_2301293_2302390|p4	cur|Brachionus_calyciflorus|NTPY01000970.1_33584_34756|p3
cur|Brachionus_calyciflorus|NTPY01000526.1_2301293_2302390|p4	cur|Brachionus_koreanus|PJRA01000555.1_1340882_1341979|p2
cur|Brachionus_calyciflorus|NTPY01000526.1_2301293_2302390|p4	cur|Brachionus_manjavacas|JAHQIY010000020.1_863382_864479|p2
Caenorhabditis_briggsae	Caenorhabditis_briggsae
Caenorhabditis_briggsae	Caenorhabditis_elegans
Caenorhabditis_elegans	Caenorhabditis_elegans
