family,discovery_batch,species_dir,organism,candidate_id,seqid,strand,locus_start,locus_end,exon_count,protein_length,tm_helix_count,reference_identity,reference_coverage,best_reference_hit,rank_category,rank_score,validation_flags,results_dir
innexin,innexin_discovery,Abra_alba,Abra alba,candidate_inx_002,OZ409525.1,-,26858396,26863954,1,92,1,0.0,0.0,,rejected_false_positive,-20.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons,results/innexin_discovery/Abra_alba
innexin,innexin_discovery,Adineta_vaga,Adineta vaga,candidate_inx_008,CP075497.1,-,4487824,4492525,5,207,4,0.0,0.0,,weak_manual_review,45.0,too_short;tm_helices_ok;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/innexin_discovery/Adineta_vaga
innexin,innexin_discovery,Adineta_vaga,Adineta vaga,candidate_inx_028,CP075494.1,-,16744444,16745737,2,376,2,0.0,0.0,,weak_manual_review,40.0,plausible_length;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/innexin_discovery/Adineta_vaga
innexin,innexin_discovery,Adineta_vaga,Adineta vaga,candidate_inx_007,CP075497.1,-,2229036,2230272,1,187,0,0.0,0.0,,rejected_false_positive,0.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/innexin_discovery/Adineta_vaga
innexin,innexin_discovery,Adineta_vaga,Adineta vaga,candidate_inx_030,CP075494.1,+,7236436,7237689,2,172,1,0.0,0.0,,rejected_false_positive,-10.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/innexin_discovery/Adineta_vaga
innexin,innexin_discovery,Adineta_vaga,Adineta vaga,candidate_inx_024,CP075494.1,-,12494193,12495281,1,105,0,0.0,0.0,,rejected_false_positive,-30.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/innexin_discovery/Adineta_vaga
innexin,innexin_discovery,Adineta_vaga,Adineta vaga,candidate_inx_026,CP075494.1,-,14524606,14525948,1,133,0,0.0,0.0,,rejected_false_positive,-30.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/innexin_discovery/Adineta_vaga
innexin,innexin_discovery,Adineta_vaga,Adineta vaga,candidate_inx_029,CP075494.1,+,7086576,7087629,1,148,0,0.0,0.0,,rejected_false_positive,-30.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/innexin_discovery/Adineta_vaga
innexin,innexin_discovery,Adineta_vaga,Adineta vaga,candidate_inx_042,CP075496.1,-,13555630,13557222,2,139,0,0.0,0.0,,rejected_false_positive,-30.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/innexin_discovery/Adineta_vaga
innexin,innexin_discovery,Aegaeobuthus_cyprius,Aegaeobuthus cyprius,candidate_inx_005,OZ392248.1,+,35985027,35998619,1,79,3,0.0,0.0,,weak_manual_review,15.0,too_short;tm_helices_ok;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/innexin_discovery/Aegaeobuthus_cyprius
innexin,innexin_discovery,Brachionus_manjavacas,Brachionus manjavacas,candidate_inx_002,JAHQIY010000001.1,-,2920950,2979628,1,118,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/innexin_discovery/Brachionus_manjavacas
innexin,innexin_discovery,Dryodora_glandiformis,Dryodora glandiformis,candidate_inx_004,JAUELJ010298595.1,-,687,1487,1,153,1,0.0,0.0,,weak_manual_review,30.0,plausible_length;few_tm_helices;low_reference_similarity;gene_like_exons,results/innexin_discovery/Dryodora_glandiformis
innexin,innexin_discovery,Eriophyidae_sp.,Eriophyidae sp.,candidate_inx_001,CP157589.1,+,1945691,1946933,1,552,11,0.0,0.0,,high_confidence_innexin_candidate,65.0,plausible_length;tm_helices_ok;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/innexin_discovery/Eriophyidae_sp.
innexin,innexin_discovery,Mnemiopsis_leidyi,Mnemiopsis leidyi,candidate_inx_001,CM108482.1,-,4815784,4816500,1,276,1,0.0,0.0,,weak_manual_review,30.0,plausible_length;few_tm_helices;low_reference_similarity;gene_like_exons,results/innexin_discovery/Mnemiopsis_leidyi
innexin,innexin_discovery,Rotaria_macrura,Rotaria macrura,candidate_inx_008,OENT01000432.1,+,54155,55294,1,132,1,0.0,0.0,,rejected_false_positive,-10.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/innexin_discovery/Rotaria_macrura
innexin,innexin_discovery,Rotaria_macrura,Rotaria macrura,candidate_inx_006,OENT01000836.1,+,43635,45065,1,158,0,0.0,0.0,,rejected_false_positive,-30.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/innexin_discovery/Rotaria_macrura
innexin,innexin_discovery,Rotaria_macrura,Rotaria macrura,candidate_inx_030,OENT01000266.1,-,52368,54547,2,104,0,0.0,0.0,,rejected_false_positive,-30.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/innexin_discovery/Rotaria_macrura
connexin,connexin_evolutionary_discovery,Antrozous_pallidus,Antrozous pallidus,candidate_inx_017,CM050527.1,-,40117927,40119174,1,179,2,0.0,0.0,,high_confidence_connexin_candidate,65.0,plausible_length;tm_helices_ok;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Antrozous_pallidus
connexin,connexin_evolutionary_discovery,Antrozous_pallidus,Antrozous pallidus,candidate_inx_005,CM050513.1,-,11592566,11593351,1,101,4,0.0,0.0,,weak_manual_review,15.0,too_short;tm_helices_ok;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Antrozous_pallidus
connexin,connexin_evolutionary_discovery,Antrozous_pallidus,Antrozous pallidus,candidate_inx_015,CM050526.1,-,45544054,45544974,1,142,0,0.0,0.0,,rejected_false_positive,5.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Antrozous_pallidus
connexin,connexin_evolutionary_discovery,Antrozous_pallidus,Antrozous pallidus,candidate_inx_019,CM050508.1,+,186880309,186881846,1,141,0,0.0,0.0,,rejected_false_positive,-5.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Antrozous_pallidus
connexin,connexin_evolutionary_discovery,Antrozous_pallidus,Antrozous pallidus,candidate_inx_010,CM050527.1,+,40252322,40253401,1,74,1,0.0,0.0,,rejected_false_positive,-10.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Antrozous_pallidus
connexin,connexin_evolutionary_discovery,Antrozous_pallidus,Antrozous pallidus,candidate_inx_004,CM050513.1,-,11558041,11558721,1,78,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Antrozous_pallidus
