species,status,genome,prior_discovery,prior_accepted,miniprot_mrna_count,present_loci,fragmentary_loci,weak_loci,best_identity,best_aa,best_locus,locate_method,notes
Abra_alba,searched,project/data/genomes/innexin_discovery/Abra_alba/GCA_979025805.1_xbAbrAlba5.1_genomic.fna.decompressed.fna,accepted=0;candidates=1,0,14,11,0,2,0.3543,388,OZ409527.1:48105670-48111459,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=9/11; rescored_el_cys
Abra_segmentum,searched,project/data/genomes/innexin_discovery/Abra_segmentum/GCA_965244925.1_xbAbrSegm1.1_genomic.fna.decompressed.fna,not_run,,19,17,1,1,0.3961,402,OZ251777.1:37583615-37589657,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=8/17; rescored_el_cys
Acanthascus_dawsoni,searched,project/data/genomes/innexin_discovery/Acanthascus_dawsoni/GCA_978045225.1_ohAcaDaws1.1_genomic.fna.decompressed.fna,not_run,,0,0,0,0,,,,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Acanthocardia_echinata,searched,project/data/genomes/innexin_discovery/Acanthocardia_echinata/GCA_977930445.1_xbAcaEchi1.hap1.1_genomic.fna.decompressed.fna,not_run,,27,23,0,4,0.3077,416,OZ377328.1:11312790-11316365,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=19/23; rescored_el_cys
Acanthochitona_discrepans,searched,project/data/genomes/innexin_discovery/Acanthochitona_discrepans/GCA_048544545.1_A.discrepans_pri1.0_genomic.fna.decompressed.fna,not_run,,9,7,0,2,0.3864,387,CM108789.1:13572121-13573281,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=5/7; rescored_el_cys
Acartia_tonsa,searched,project/data/genomes/innexin_discovery/Acartia_tonsa/GCF_053477335.1_ASM5347733v1_genomic.fna.decompressed.fna,not_run,,40,27,5,4,0.4402,368,NC_137266.1:9572915-9582477,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=15/27; rescored_el_cys
Acropora_austera,searched,project/data/genomes/innexin_discovery/Acropora_austera/GCA_964273435.1_jaAcrAuse1.1_genomic.fna.decompressed.fna,not_run,,1,0,0,1,0.4759,138,OZ187089.1:23657119-23657532,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Acropora_cervicornis,searched,project/data/genomes/innexin_discovery/Acropora_cervicornis/GCA_964034985.1_jaAcrCerv1.1_genomic.fna.decompressed.fna,not_run,,1,0,0,1,0.4759,138,OZ035975.1:20595101-20595514,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Acropora_cf._manni,searched,project/data/genomes/innexin_discovery/Acropora_cf._manni/GCA_965118205.1_jaAcrPulc1.hap1.1_genomic.fna.decompressed.fna,not_run,,1,0,0,1,0.4759,138,OZ221303.1:1001432-1001845,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Acropora_glauca,searched,project/data/genomes/innexin_discovery/Acropora_glauca/GCA_964274385.1_jaAcrGlau1.hap1.1_genomic.fna.decompressed.fna,not_run,,1,0,0,1,0.4759,138,OZ187649.1:780236-780649,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Acropora_hyacinthus,searched,project/data/genomes/innexin_discovery/Acropora_hyacinthus/GCA_964291705.1_jaAcrHyac4.1_genomic.fna.decompressed.fna,not_run,,2,0,0,1,0.4759,138,OZ197756.1:26356796-26357209,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
