seqid,start,end,strand,identity,aa_length,cys,stops,verdict,target,el1_cys,el2_cys,el_motif,tm_pred
OENT01000008.1,127617,129968,-,0.2756,337,8,0,present,sp|Q9XYN1|INX2_SCHAM 1 309,,,unresolved,0
OENT01000045.1,119094,122499,+,0.3566,386,8,0,present,sp|O01393|UNC9_CAEEL 1 375,2,4,pass,5
OENT01000099.1,209084,209674,+,0.8838,197,3,0,fragmentary,candidate_inx_008 1 198,,,unresolved,2
OENT01000318.1,41780,42364,+,0.8112,195,3,0,fragmentary,candidate_inx_008 1 196,,,unresolved,2
OENT01000325.1,81075,83660,-,0.3459,394,7,0,present,sp|Q03412|UNC7_CAEEL 111 501,2,4,pass,6
OENT01000439.1,8602,9805,+,0.3151,379,12,0,present,sp|Q03412|UNC7_CAEEL 138 499,2,2,pass,5
OENT01000724.1,43352,44665,+,0.3696,394,8,0,present,sp|O01393|UNC9_CAEEL 20 386,,,unresolved,0
OENT01000836.1,43614,44960,+,0.3483,402,8,0,present,sp|O01393|UNC9_CAEEL 1 375,,,unresolved,0
OENT01001030.1,21694,22194,+,0.3275,167,4,0,weak,candidate_inx_008 28 194,,,unresolved,0
OENT01001128.1,31927,34283,+,0.3643,391,9,0,present,sp|Q03412|UNC7_CAEEL 136 506,,,unresolved,0
OENT01001165.1,23260,28470,+,0.3360,372,9,0,present,sp|Q03412|UNC7_CAEEL 136 493,2,2,pass,4
OENT01001308.1,15354,17170,+,0.3747,387,10,0,present,sp|O01393|UNC9_CAEEL 1 375,,,unresolved,0
OENT01001412.1,35700,37859,+,0.3115,376,6,0,present,sp|Q03412|UNC7_CAEEL 136 506,,,unresolved,0
OENT01001445.1,20220,22811,-,0.3422,372,9,0,present,sp|Q03412|UNC7_CAEEL 136 493,2,2,pass,4
