seq_id,organism,organism_key,gene,accession,panx_type,clade,length,cys_count,source_path,panx_type_source,type_rescue_hit,type_rescue_pident
panx|Xenopus_laevis|panx1.L|A0A1L8HJE1,Xenopus laevis,Xenopus_laevis,panx1.L,A0A1L8HJE1,PANX1,Amphibian,428,10,project/data/references/pannexins/Xenopus_laevis/panx1.L__A0A1L8HJE1.fasta,uniprot_label,,
panx|Xenopus_laevis|panx2.L|A0A8J0UPJ5,Xenopus laevis,Xenopus_laevis,panx2.L,A0A8J0UPJ5,PANX2,Amphibian,688,16,project/data/references/pannexins/Xenopus_laevis/panx2.L__A0A8J0UPJ5.fasta,uniprot_label,,
panx|Xenopus_laevis|panx2.S|A0A1L8GU32,Xenopus laevis,Xenopus_laevis,panx2.S,A0A1L8GU32,PANX2,Amphibian,675,11,project/data/references/pannexins/Xenopus_laevis/panx2.S__A0A1L8GU32.fasta,uniprot_label,,
panx|Xenopus_laevis|panx3.L|A0A8J0T8Y2,Xenopus laevis,Xenopus_laevis,panx3.L,A0A8J0T8Y2,PANX3,Amphibian,408,12,project/data/references/pannexins/Xenopus_laevis/panx3.L__A0A8J0T8Y2.fasta,uniprot_label,,
panx|Xenopus_laevis|panx3.S|A0A1L8FFR9,Xenopus laevis,Xenopus_laevis,panx3.S,A0A1L8FFR9,PANX3,Amphibian,408,11,project/data/references/pannexins/Xenopus_laevis/panx3.S__A0A1L8FFR9.fasta,uniprot_label,,
panx|Xenopus_tropicalis|panx1|B3DLA5,Xenopus tropicalis,Xenopus_tropicalis,panx1,B3DLA5,PANX1,Amphibian,428,10,project/data/references/pannexins/Xenopus_tropicalis/panx1__B3DLA5.fasta,uniprot_label,,
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,Xenopus tropicalis,Xenopus_tropicalis,panx2,A0A8J0SJZ3,PANX2,Amphibian,675,10,project/data/references/pannexins/Xenopus_tropicalis/panx2__A0A8J0SJZ3.fasta,uniprot_label,,
panx|Xenopus_tropicalis|panx3|F7D9M9,Xenopus tropicalis,Xenopus_tropicalis,panx3,F7D9M9,PANX3,Amphibian,408,12,project/data/references/pannexins/Xenopus_tropicalis/panx3__F7D9M9.fasta,uniprot_label,,
panx|Gallus_gallus|PANX1|A0A1D5P0I0,Gallus gallus,Gallus_gallus,PANX1,A0A1D5P0I0,PANX1,Bird,433,11,project/data/references/pannexins/Gallus_gallus/PANX1__A0A1D5P0I0.fasta,uniprot_label,,
panx|Gallus_gallus|PANX2|A0A8V0XA00,Gallus gallus,Gallus_gallus,PANX2,A0A8V0XA00,PANX2,Bird,572,10,project/data/references/pannexins/Gallus_gallus/PANX2__A0A8V0XA00.fasta,uniprot_label,,
panx|Gallus_gallus|PANX3|A0A8V1A6C8,Gallus gallus,Gallus_gallus,PANX3,A0A8V1A6C8,PANX3,Bird,429,11,project/data/references/pannexins/Gallus_gallus/PANX3__A0A8V1A6C8.fasta,uniprot_label,,
panx|Callorhinchus_milii|A0A4W3ILW5|A0A4W3ILW5,Callorhinchus milii,Callorhinchus_milii,A0A4W3ILW5,A0A4W3ILW5,PANX1,Cartilaginous fish,420,9,project/data/references/pannexins/Callorhinchus_milii/A0A4W3ILW5__A0A4W3ILW5.fasta,uniprot_label,,
panx|Callorhinchus_milii|A0A4W3JCN1|A0A4W3JCN1,Callorhinchus milii,Callorhinchus_milii,A0A4W3JCN1,A0A4W3JCN1,PANX1,Cartilaginous fish,408,10,project/data/references/pannexins/Callorhinchus_milii/A0A4W3JCN1__A0A4W3JCN1.fasta,uniprot_label,,
panx|Callorhinchus_milii|panx3|A0A4W3HHX6,Callorhinchus milii,Callorhinchus_milii,panx3,A0A4W3HHX6,PANX3,Cartilaginous fish,431,13,project/data/references/pannexins/Callorhinchus_milii/panx3__A0A4W3HHX6.fasta,uniprot_label,,
panx|Callorhinchus_milii|PANX|A0A4W3JI34,Callorhinchus milii,Callorhinchus_milii,PANX,A0A4W3JI34,PANX2,Cartilaginous fish,575,10,project/data/references/pannexins/Callorhinchus_milii/PANX__A0A4W3JI34.fasta,mmseqs_rescue,panx|Latimeria_chalumnae|PANX2|H3BCF1,80.9
panx|Petromyzon_marinus|LOC116956353|A0AAJ7UCG9,Petromyzon marinus,Petromyzon_marinus,LOC116956353,A0AAJ7UCG9,PANX3,Jawless vertebrate,453,10,project/data/references/pannexins/Petromyzon_marinus/LOC116956353__A0AAJ7UCG9.fasta,uniprot_label,,
panx|Latimeria_chalumnae|PANX1|H3A740,Latimeria chalumnae,Latimeria_chalumnae,PANX1,H3A740,PANX1,Lobe-finned fish,428,10,project/data/references/pannexins/Latimeria_chalumnae/PANX1__H3A740.fasta,uniprot_label,,
panx|Latimeria_chalumnae|PANX2|H3BCF1,Latimeria chalumnae,Latimeria_chalumnae,PANX2,H3BCF1,PANX2,Lobe-finned fish,681,11,project/data/references/pannexins/Latimeria_chalumnae/PANX2__H3BCF1.fasta,uniprot_label,,
panx|Latimeria_chalumnae|PANX3|H3AKW8,Latimeria chalumnae,Latimeria_chalumnae,PANX3,H3AKW8,PANX3,Lobe-finned fish,390,13,project/data/references/pannexins/Latimeria_chalumnae/PANX3__H3AKW8.fasta,uniprot_label,,
panx|Bos_taurus|PANX1|A0A4W2C374,Bos taurus,Bos_taurus,PANX1,A0A4W2C374,PANX1,Mammal,424,12,project/data/references/pannexins/Bos_taurus/PANX1__A0A4W2C374.fasta,uniprot_label,,
panx|Bos_taurus|PANX2|A0A4W2C073,Bos taurus,Bos_taurus,PANX2,A0A4W2C073,PANX2,Mammal,666,11,project/data/references/pannexins/Bos_taurus/PANX2__A0A4W2C073.fasta,uniprot_label,,
panx|Bos_taurus|PANX3|A0A4W2GW69,Bos taurus,Bos_taurus,PANX3,A0A4W2GW69,PANX3,Mammal,392,10,project/data/references/pannexins/Bos_taurus/PANX3__A0A4W2GW69.fasta,uniprot_label,,
panx|Homo_sapiens|PANX1|Q96RD7,Homo sapiens,Homo_sapiens,PANX1,Q96RD7,PANX1,Mammal,426,11,project/data/references/pannexins/Homo_sapiens/PANX1__Q96RD7.fasta,uniprot_label,,
panx|Homo_sapiens|PANX2|Q96RD6,Homo sapiens,Homo_sapiens,PANX2,Q96RD6,PANX2,Mammal,677,10,project/data/references/pannexins/Homo_sapiens/PANX2__Q96RD6.fasta,uniprot_label,,
panx|Homo_sapiens|PANX3|Q96QZ0,Homo sapiens,Homo_sapiens,PANX3,Q96QZ0,PANX3,Mammal,392,9,project/data/references/pannexins/Homo_sapiens/PANX3__Q96QZ0.fasta,uniprot_label,,
panx|Mus_musculus|Panx1|Q9JIP4,Mus musculus,Mus_musculus,Panx1,Q9JIP4,PANX1,Mammal,426,10,project/data/references/pannexins/Mus_musculus/Panx1__Q9JIP4.fasta,uniprot_label,,
