panel,mode,species,family,gene_id,name,chrom,start,end,strand,is_goi
connexin_GJA1_cross_species,cross_species,Bos taurus — GJA1,connexin,gene-LOC112448126,LOC112448126,NC_037336.1,29605765,29621482,-,no
connexin_GJA1_cross_species,cross_species,Bos taurus — GJA1,connexin,gene-GJA1,GJA1,NC_037336.1,29748655,29761667,-,yes
connexin_GJA1_cross_species,cross_species,Bos taurus — GJA1,connexin,gene-LOC112448188,LOC112448188,NC_037336.1,29808048,29808154,-,no
connexin_GJA1_cross_species,cross_species,Bos taurus — GJA1,connexin,gene-TBC1D32,TBC1D32,NC_037336.1,29816005,30023496,+,no
connexin_GJA1_cross_species,cross_species,Bos taurus — GJA1,connexin,gene-MIR12063,MIR12063,NC_037336.1,29836295,29836376,+,no
connexin_GJA1_cross_species,cross_species,Canis lupus familiaris — GJA1,connexin,gene-TBC1D32,TBC1D32,NC_049222.1,61235512,61446983,-,no
connexin_GJA1_cross_species,cross_species,Canis lupus familiaris — GJA1,connexin,gene-LOC102157283,LOC102157283,NC_049222.1,61445964,61448240,+,no
connexin_GJA1_cross_species,cross_species,Canis lupus familiaris — GJA1,connexin,gene-GJA1,GJA1,NC_049222.1,61515138,61518103,+,yes
connexin_GJA1_cross_species,cross_species,Canis lupus familiaris — GJA1,connexin,gene-LOC119870673,LOC119870673,NC_049222.1,61562338,61569935,+,no
connexin_GJA1_cross_species,cross_species,Canis lupus familiaris — GJA1,connexin,gene-LOC484108,LOC484108,NC_049222.1,61573353,61573809,+,no
connexin_GJA1_cross_species,cross_species,Canis lupus familiaris — GJA1,connexin,gene-LOC106559720,LOC106559720,NC_049222.1,61682687,61714759,-,no
connexin_GJA1_cross_species,cross_species,Chlorocebus sabaeus — GJA1,connexin,gene-TBC1D32,TBC1D32,NC_132916.1,45265275,45493062,-,no
connexin_GJA1_cross_species,cross_species,Chlorocebus sabaeus — GJA1,connexin,gene-LOC119625414,LOC119625414,NC_132916.1,45511335,45511441,+,no
connexin_GJA1_cross_species,cross_species,Chlorocebus sabaeus — GJA1,connexin,gene-GJA1,GJA1,NC_132916.1,45597815,45611779,+,yes
connexin_GJA1_cross_species,cross_species,Chlorocebus sabaeus — GJA1,connexin,gene-LOC119625596,LOC119625596,NC_132916.1,45616235,45616375,-,no
