tip_label,organism,family,panel_role,annotation_category,itol_label
sp|Q1DH70|SHAKB_AEDAE_Innexin,sp,,,,sp [?]
sp|Q7Q5R9|INX4_ANOGA_Innexin,sp,,,,sp [?]
sp|Q9VWL5|INX5_DROME_Innexin,sp,,,,sp [?]
sp|Q9VR82|INX6_DROME_Innexin,sp,,,,sp [?]
97,97,,,,97 [?]
sp|Q9VRX6|INX4_DROME_Innexin,sp,,,,sp [?]
100,100,,,,100 [?]
100,100,,,,100 [?]
sp|Q9V427|INX2_DROME_Innexin,sp,,,,sp [?]
sp|Q9XYN1|INX2_SCHAM_Innexin,sp,,,,sp [?]
88,88,,,,88 [?]
49,49,,,,49 [?]
sp|A8WVX4|INX19_CAEBR_Innexin-19,sp,,,,sp [?]
sp|O61715|INX19_CAEEL_Innexin-19,sp,,,,sp [?]
100,100,,,,100 [?]
sp|Q03412|UNC7_CAEEL_Innexin,sp,,,,sp [?]
sp|O01393|UNC9_CAEEL_Innexin,sp,,,,sp [?]
96,96,,,,96 [?]
89,89,,,,89 [?]
sp|Q22549|INX10_CAEEL_Innexin-10,sp,,,,sp [?]
sp|Q21123|INX7_CAEEL_Innexin-7,sp,,,,sp [?]
94,94,,,,94 [?]
sp|Q23157|INX11_CAEEL_Innexin-11,sp,,,,sp [?]
92,92,,,,92 [?]
65,65,,,,65 [?]
sp|Q27295|EAT5_CAEEL_Innexin,sp,,,,sp [?]
Aegaeobuthus_cyprius|candidate_inx_005|innexin,Aegaeobuthus_cyprius,,,,Aegaeobuthus_cyprius [?]
43,43,,,,43 [?]
56,56,,,,56 [?]
sp|O61787|INX16_CAEEL_Innexin-16,sp,,,,sp [?]
sp|O61788|INX17_CAEEL_Innexin-17,sp,,,,sp [?]
100,100,,,,100 [?]
21,21,,,,21 [?]
sp|O01634|INX12_CAEEL_Innexin-12,sp,,,,sp [?]
sp|Q9U3N4|INX6_CAEEL_Innexin-6,sp,,,,sp [?]
40,40,,,,40 [?]
27,27,,,,27 [?]
sp|Q19746|INX3_CAEEL_Innexin-3,sp,,,,sp [?]
sp|Q23027|INX5_CAEEL_Innexin-5,sp,,,,sp [?]
79,79,,,,79 [?]
sp|Q23593|INX8_CAEEL_Innexin-8,sp,,,,sp [?]
81,81,,,,81 [?]
26,26,,,,26 [?]
sp|O62136|INX14_CAEEL_Innexin-14,sp,,,,sp [?]
sp|Q9U3K5|INX2_CAEEL_Innexin-2,sp,,,,sp [?]
75,75,,,,75 [?]
55,55,,,,55 [?]
Adineta_vaga|candidate_inx_008|innexin,Adineta_vaga,,,,Adineta_vaga [?]
Dryodora_glandiformis|candidate_inx_004|innexin,Dryodora_glandiformis,,,,Dryodora_glandiformis [?]
Eriophyidae_sp.|candidate_inx_001|innexin,Eriophyidae_sp.,,,,Eriophyidae_sp. [?]
89,89,,,,89 [?]
Mnemiopsis_leidyi|candidate_inx_001|innexin,Mnemiopsis_leidyi,,,,Mnemiopsis_leidyi [?]
81,81,,,,81 [?]
36,36,,,,36 [?]
16,16,,,,16 [?]
Adineta_vaga|candidate_inx_028|innexin,Adineta_vaga,,,,Adineta_vaga [?]
83,83,,,,83 [?]
sp|Q9V3W6|INX7_DROME_Innexin,sp,,,,sp [?]
65,65,,,,65 [?]
sp|Q9VAS7|INX3_DROME_Innexin,sp,,,,sp [?]
65,65,,,,65 [?]
96,96,,,,96 [?]
sp|P27716|INX1_DROME_Innexin,sp,,,,sp [?]
sp|Q9XYN0|INX1_SCHAM_Innexin,sp,,,,sp [?]
100,100,,,,100 [?]
100,100,,,,100 [?]
sp|P33085|SHAKB_DROME_Innexin,sp,,,,sp [?]
99,99,,,,99 [?]
sp|Q7PXN1|SHAKB_ANOGA_Innexin,sp,,,,sp [?]
