organism,family,exact_annotation_found,related_annotation_found,final_category,confidence,top_matching_term,database_source,search_level,top_accession,top_gene_symbol,top_protein_name,level_a_hit_count,level_b_hit_count,example_query
Mertensia ovum,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Mertensia ovum,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Mertensia ovum,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Beroe forskalii,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Beroe forskalii,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Beroe forskalii,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Beroe ovata,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Beroe ovata,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Beroe ovata,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Dryodora glandiformis,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Dryodora glandiformis,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Dryodora glandiformis,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Macoma balthica,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Macoma balthica,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Macoma balthica,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Abra alba,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Abra alba,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Abra alba,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Abra segmentum,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Abra segmentum,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Abra segmentum,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthocardia echinata,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthocardia echinata,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthocardia echinata,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthochitona discrepans,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthochitona discrepans,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthochitona discrepans,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Trichoplax sp. H2,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Trichoplax sp. H2,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Trichoplax sp. H2,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthascus dawsoni,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthascus dawsoni,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthascus dawsoni,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas clathrodes,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas clathrodes,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas clathrodes,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas conifera,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas conifera,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas conifera,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas oroides,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas oroides,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas oroides,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas tubulata,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas tubulata,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Agelas tubulata,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
