panel,family,reference_gene,species_count,named_neighbors_total,shared_all_count,shared_majority_count,shared_pair_count,shared_all_genes,shared_majority_genes,top_repeated_neighbors,conservation_tier
connexin_GJA1_cross_species,connexin,GJA1,10,1,1,1,1,tbc1d32,tbc1d32,tbc1d32,moderate
connexin_GJA3_cross_species,connexin,GJA3,4,8,3,4,4,gjb2;gjb6;zmym2,gjb2;gjb6;zmym2;pspc1,gjb2;gjb6;zmym2;pspc1,high
connexin_GJA4_cross_species,connexin,GJA4,3,5,5,5,5,dlgap3;gjb3;gjb4;gjb5;smim12,dlgap3;gjb3;gjb4;gjb5;smim12,dlgap3;gjb3;gjb4;gjb5;smim12,high
connexin_GJA5_cross_species,connexin,GJA5,4,11,3,4,4,acp6;bcl9;gja8,acp6;bcl9;gja8;gpr89a,acp6;bcl9;gja8;gpr89a,high
connexin_GJA8_cross_species,connexin,GJA8,3,12,1,2,2,gja5,gja5;gpr89a,gja5;gpr89a,moderate
connexin_GJB1_cross_species,connexin,GJB1,4,12,9,11,11,foxo4;il2rg;itgb1bp2;med12;nlgn3;nono;snx12;taf1;zmym3,foxo4;il2rg;itgb1bp2;med12;nlgn3;nono;snx12;taf1;zmym3;cxhxorf65;rhog2,foxo4;il2rg;itgb1bp2;med12;nlgn3;nono;snx12;taf1;zmym3;cxhxorf65,high
connexin_GJB2_cross_species,connexin,GJB2,7,36,0,0,13,,,sh3bp5l;znf672;znf692;atg4b;d2hgdh;dtymk;fam240c;ing5;lypd8;neu4,none
connexin_GJB3_cross_species,connexin,GJB3,2,5,5,5,5,dlgap3;gja4;gjb4;gjb5;smim12,dlgap3;gja4;gjb4;gjb5;smim12,dlgap3;gja4;gjb4;gjb5;smim12,high
connexin_GJB6_cross_species,connexin,GJB6,2,7,3,3,3,gja3;gjb2;zmym2,gja3;gjb2;zmym2,gja3;gjb2;zmym2,high
connexin_GJC1_cross_species,connexin,GJC1,6,27,4,12,13,adam11;c1ql1;eftud2;kif18b,adam11;c1ql1;eftud2;kif18b;ccdc103;ccdc43;fam187a;gfap;higd1b;meioc;dbf4b;dcakd,adam11;c1ql1;eftud2;kif18b;ccdc103;ccdc43;fam187a;gfap;higd1b;meioc,high
connexin_GJD2_cross_species,connexin,GJD2,2,20,0,0,0,,,,none
connexin_GJD4_cross_species,connexin,GJD4,2,4,2,2,2,ccny;fzd8,ccny;fzd8,ccny;fzd8,moderate
connexin_Gja1_cross_species,connexin,Gja1,2,4,1,1,1,tbc1d32,tbc1d32,tbc1d32,moderate
connexin_Gja3_cross_species,connexin,Gja3,2,8,3,3,3,gjb2;gjb6;zmym2,gjb2;gjb6;zmym2,gjb2;gjb6;zmym2,high
connexin_Gja4_cross_species,connexin,Gja4,2,11,5,5,5,dlgap3;gjb3;gjb4;gjb5;smim12,dlgap3;gjb3;gjb4;gjb5;smim12,dlgap3;gjb3;gjb4;gjb5;smim12,high
connexin_Gja5_cross_species,connexin,Gja5,2,11,3,3,3,acp6;bcl9;gja8,acp6;bcl9;gja8,acp6;bcl9;gja8,high
connexin_Gja6_cross_species,connexin,Gja6,2,6,4,4,4,cdkl5;ppef1;rs1;scml2,cdkl5;ppef1;rs1;scml2,cdkl5;ppef1;rs1;scml2,high
connexin_Gja8_cross_species,connexin,Gja8,2,10,4,4,4,cd160;gja5;pdzk1;rnf115,cd160;gja5;pdzk1;rnf115,cd160;gja5;pdzk1;rnf115,high
connexin_Gjb1_cross_species,connexin,Gjb1,2,13,9,9,9,foxo4;il2rg;itgb1bp2;med12;nlgn3;nono;snx12;taf1;zmym3,foxo4;il2rg;itgb1bp2;med12;nlgn3;nono;snx12;taf1;zmym3,foxo4;il2rg;itgb1bp2;med12;nlgn3;nono;snx12;taf1;zmym3,high
connexin_Gjb3_cross_species,connexin,Gjb3,2,11,5,5,5,dlgap3;gja4;gjb4;gjb5;smim12,dlgap3;gja4;gjb4;gjb5;smim12,dlgap3;gja4;gjb4;gjb5;smim12,high
connexin_Gjb4_cross_species,connexin,Gjb4,2,11,5,5,5,dlgap3;gja4;gjb3;gjb5;smim12,dlgap3;gja4;gjb3;gjb5;smim12,dlgap3;gja4;gjb3;gjb5;smim12,high
connexin_Gjb5_cross_species,connexin,Gjb5,2,12,0,0,0,,,,none
connexin_Gjc1_cross_species,connexin,Gjc1,2,24,9,9,9,adam11;c1ql1;ccdc103;ccdc43;eftud2;fam187a;gfap;higd1b;kif18b,adam11;c1ql1;ccdc103;ccdc43;eftud2;fam187a;gfap;higd1b;kif18b,adam11;c1ql1;ccdc103;ccdc43;eftud2;fam187a;gfap;higd1b;kif18b,high
connexin_gja4_cross_species,connexin,gja4,2,15,0,0,0,,,,none
innexin_inx_19_cross_species,innexin,inx_19,2,42,0,0,0,,,,none
innexin_shakB_cross_species,innexin,shakB,3,15,0,0,0,,,,none
