seqid,start,end,strand,identity,aa_length,cys,stops,verdict,target,el1_cys,el2_cys,el_motif,tm_pred
CM032659.1,26367961,26372352,-,0.4047,224,11,8,weak,sp|O01393|UNC9_CAEEL 20 375,,,unresolved,3
CM032659.1,26374011,26376978,-,0.3571,373,9,0,present,sp|Q03412|UNC7_CAEEL 126 501,,,unresolved,0
CM032660.1,13839053,13840234,-,0.3763,394,11,0,present,sp|O01393|UNC9_CAEEL 1 386,2,2,pass,5
CM032660.1,23042723,23045752,-,0.2857,295,12,0,present,sp|Q1DH70|SHAKB_AEDAE 20 295,,,unresolved,0
CM032660.1,23991495,23998058,-,0.3614,348,12,0,present,sp|Q03412|UNC7_CAEEL 136 501,3,2,pass,4
CM032660.1,38854148,38855329,-,0.2745,387,11,0,present,sp|P33085|SHAKB_DROME 6 360,3,2,pass,5
CM032660.1,38859763,38861016,-,0.3495,418,11,0,present,sp|Q03412|UNC7_CAEEL 111 522,3,2,pass,5
CM032660.1,38866359,38867540,-,0.3561,394,11,0,present,sp|O01393|UNC9_CAEEL 1 386,3,2,pass,4
CM032660.1,56259159,56277527,-,0.3894,348,10,0,present,sp|O01393|UNC9_CAEEL 20 362,3,2,pass,4
CM032660.1,56315118,56337221,-,0.4565,276,9,0,fragmentary,sp|O01393|UNC9_CAEEL 20 288,,,unresolved,3
CM032661.1,36454552,36461623,-,0.3880,374,13,0,present,sp|Q03412|UNC7_CAEEL 129 502,3,2,pass,4
CM032663.1,10911493,10916245,-,0.2797,157,4,7,weak,sp|Q9XYN1|INX2_SCHAM 1 349,,,unresolved,2
CM032663.1,21744357,21747197,+,0.3419,385,12,0,present,sp|O01393|UNC9_CAEEL 1 379,2,2,pass,4
CM032663.1,51675682,51681652,+,0.3733,373,9,0,present,sp|O01393|UNC9_CAEEL 1 363,2,2,pass,4
CM032663.1,51687301,51690892,+,0.3859,367,12,0,present,sp|Q03412|UNC7_CAEEL 128 491,2,2,pass,5
CM032664.1,7360880,7361314,+,0.6301,145,1,0,weak,candidate_inx_008 49 194,,,unresolved,2
CM032664.1,23828860,23833501,+,0.3526,371,14,0,present,sp|O01393|UNC9_CAEEL 12 382,,,unresolved,0
CM032666.1,530569,537795,+,0.3711,121,4,8,weak,sp|Q03412|UNC7_CAEEL 1 501,,,unresolved,0
CM032666.1,10353627,10358367,-,0.3799,376,13,0,present,sp|O01393|UNC9_CAEEL 12 381,3,2,pass,4
CM032667.1,48163609,48184685,-,0.3677,372,9,0,present,sp|O01393|UNC9_CAEEL 1 375,3,2,pass,4
