seqid,start,end,strand,identity,aa_length,cys,stops,verdict,target,el1_cys,el2_cys,el_motif,tm_pred
CAJNOI010000003.1,1231433,1232658,-,0.3456,366,8,0,present,sp|O01393|UNC9_CAEEL 20 386,,,unresolved,0
CAJNOI010000009.1,556245,558144,+,0.3636,373,9,0,present,sp|O01393|UNC9_CAEEL 12 375,2,4,pass,5
CAJNOI010000010.1,1023462,1025208,-,0.3828,384,9,0,present,sp|O01393|UNC9_CAEEL 1 372,,,unresolved,0
CAJNOI010000016.1,537752,542703,-,0.3148,363,10,0,present,sp|O01393|UNC9_CAEEL 12 386,2,2,pass,5
CAJNOI010000022.1,70990,72234,+,0.3639,378,8,0,present,sp|Q03412|UNC7_CAEEL 138 504,,,unresolved,0
CAJNOI010000022.1,427342,430089,+,0.3928,387,9,0,present,sp|O01393|UNC9_CAEEL 1 375,,,unresolved,0
CAJNOI010000031.1,518472,519599,-,0.7261,376,7,0,present,candidate_inx_028 1 376,,,unresolved,0
CAJNOI010000031.1,717699,719128,+,0.3235,438,7,0,present,sp|O01393|UNC9_CAEEL 1 376,,,unresolved,0
CAJNOI010000037.1,445450,446635,-,0.3181,369,11,0,present,sp|O01393|UNC9_CAEEL 10 372,,,unresolved,0
CAJNOI010000040.1,242642,244045,+,0.3395,372,9,0,present,sp|Q03412|UNC7_CAEEL 136 493,2,2,pass,4
CAJNOI010000060.1,25920,27929,+,0.3622,365,8,0,present,sp|Q03412|UNC7_CAEEL 138 501,2,4,pass,5
CAJNOI010000060.1,72261,74268,+,0.3622,365,8,0,present,sp|Q03412|UNC7_CAEEL 138 501,2,4,pass,5
CAJNOI010000073.1,423393,424864,+,0.3627,281,8,0,present,sp|Q03412|UNC7_CAEEL 136 405,,,unresolved,3
CAJNOI010000075.1,387229,388356,+,0.7287,376,7,0,present,candidate_inx_028 1 376,,,unresolved,0
CAJNOI010000088.1,41414,45420,-,0.3351,385,11,0,present,sp|Q03412|UNC7_CAEEL 136 498,,,unresolved,0
CAJNOI010000109.1,214314,214802,-,0.7239,163,3,0,weak,candidate_inx_008 34 196,,,unresolved,2
CAJNOI010000515.1,32484,36542,-,0.3367,398,11,0,present,sp|O01393|UNC9_CAEEL 8 375,,,unresolved,0
CAJNOI010000719.1,9542,10669,-,0.7287,376,7,0,present,candidate_inx_028 1 376,,,unresolved,0
CAJNOI010001673.1,10728,11216,-,0.7239,163,3,0,weak,candidate_inx_008 34 196,,,unresolved,2
CAJNOI010001781.1,9620,10246,-,0.7895,209,3,0,fragmentary,candidate_inx_008 1 207,,,unresolved,3
CAJNOI010004743.1,2258,3443,-,0.3181,369,11,0,present,sp|O01393|UNC9_CAEEL 10 372,,,unresolved,0
