family,organism,fasta_path,uniprot_accession,reference_gene_symbol,gene_id,gene_symbol,gene_name,seqid,strand,gene_start,gene_end,gene_span,transcript_count,mean_exon_count,max_exon_count,min_exon_count
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,NC_035107.1,-,3043323,3071456,28134,2,10.0,10,10
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/ZPG__Q7Q5R9.fasta,Q7Q5R9,ZPG,gene-LOC1276902,LOC1276902,innexin inx4,NC_064601.1,+,97475570,97477901,2332,1,3.0,3,3
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,NC_064600.1,+,455514,469765,14252,13,7.769230769230769,8,6
innexin,Caenorhabditis briggsae,project/data/references/innexins/Caenorhabditis_briggsae/inx-19__A8WVX4.fasta,A8WVX4,inx-19,gene-CBG_03987,Cbr-inx-19,Cbr-inx-19,NC_013489.2,+,4663327,4665079,1753,1,5.0,5,5
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/eat-5__Q27295.fasta,Q27295,eat-5,gene-CELE_F13G3.8,eat-5,eat-5,NC_003279.8,-,7308643,7311915,3273,1,9.0,9,9
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-10__Q22549.fasta,Q22549,inx-10,gene-CELE_Y48G1C.10,mtm-10,mtm-10,NC_003279.8,+,81193,91296,10104,3,8.333333333333334,16,2
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-11__Q23157.fasta,Q23157,inx-11,gene-CELE_F53G12.1,rab-11.1,rab-11.1,NC_003279.8,-,108674,110057,1384,1,4.0,4,4
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-12__O01634.fasta,O01634,inx-12,gene-CELE_ZK770.3,inx-12,inx-12,NC_003279.8,-,3755488,3759039,3552,1,5.0,5,5
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-14__O62136.fasta,O62136,inx-14,gene-CELE_Y48G1A.4,nol-14,nol-14,NC_003279.8,+,323855,330987,7133,1,7.0,7,7
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-16__O61787.fasta,O61787,inx-16,gene-CELE_Y65B4BR.6,grl-16,grl-16,NC_003279.8,-,572173,575120,2948,2,5.0,5,5
