region,query_gene,flanking_gene_count,goi_model_count,shared_with_all_paralogs,unique_to_query,shared_gene_ids,unique_gene_ids
proximal_cluster_6.8-7.1Mb,ogre,25,4,25,0,gene-Dmel_CG12541;gene-Dmel_CG14426;gene-Dmel_CG14427;gene-Dmel_CG14430;gene-Dmel_CG14431;gene-Dmel_CG14434;gene-Dmel_CG14435;gene-Dmel_CG3032;gene-Dmel_CG3035;gene-Dmel_CG3040;gene-Dmel_CG3044;gene-Dmel_CG32732;gene-Dmel_CG32736;gene-Dmel_CG32743;gene-Dmel_CG42308;gene-Dmel_CG43736;gene-Dmel_CG43770;gene-Dmel_CG4557;gene-Dmel_CG4558;gene-Dmel_CG4586;gene-Dmel_CG4593;gene-Dmel_CG4607;gene-Dmel_CR43837;gene-Dmel_CR44084;gene-Dmel_CR45531,
proximal_cluster_6.8-7.1Mb,Inx2,25,4,25,0,gene-Dmel_CG12541;gene-Dmel_CG14426;gene-Dmel_CG14427;gene-Dmel_CG14430;gene-Dmel_CG14431;gene-Dmel_CG14434;gene-Dmel_CG14435;gene-Dmel_CG3032;gene-Dmel_CG3035;gene-Dmel_CG3040;gene-Dmel_CG3044;gene-Dmel_CG32732;gene-Dmel_CG32736;gene-Dmel_CG32743;gene-Dmel_CG42308;gene-Dmel_CG43736;gene-Dmel_CG43770;gene-Dmel_CG4557;gene-Dmel_CG4558;gene-Dmel_CG4586;gene-Dmel_CG4593;gene-Dmel_CG4607;gene-Dmel_CR43837;gene-Dmel_CR44084;gene-Dmel_CR45531,
distal_cluster_20.5-21.0Mb,ogre,27,4,27,0,gene-Dmel_CG10998;gene-Dmel_CG11227;gene-Dmel_CG11666;gene-Dmel_CG12092;gene-Dmel_CG1304;gene-Dmel_CG1314;gene-Dmel_CG1324;gene-Dmel_CG1338;gene-Dmel_CG15450;gene-Dmel_CG15452;gene-Dmel_CG1829;gene-Dmel_CG1835;gene-Dmel_CG1849;gene-Dmel_CG2071;gene-Dmel_CG34145;gene-Dmel_CG42267;gene-Dmel_CG42579;gene-Dmel_CG42580;gene-Dmel_CG42707;gene-Dmel_CG44426;gene-Dmel_CR43193;gene-Dmel_CR43838;gene-Dmel_CR43862;gene-Dmel_CR44710;gene-Dmel_CR45059;gene-Dmel_CR45466;gene-Dmel_CR45610,
distal_cluster_20.5-21.0Mb,Inx2,27,4,27,0,gene-Dmel_CG10998;gene-Dmel_CG11227;gene-Dmel_CG11666;gene-Dmel_CG12092;gene-Dmel_CG1304;gene-Dmel_CG1314;gene-Dmel_CG1324;gene-Dmel_CG1338;gene-Dmel_CG15450;gene-Dmel_CG15452;gene-Dmel_CG1829;gene-Dmel_CG1835;gene-Dmel_CG1849;gene-Dmel_CG2071;gene-Dmel_CG34145;gene-Dmel_CG42267;gene-Dmel_CG42579;gene-Dmel_CG42580;gene-Dmel_CG42707;gene-Dmel_CG44426;gene-Dmel_CR43193;gene-Dmel_CR43838;gene-Dmel_CR43862;gene-Dmel_CR44710;gene-Dmel_CR45059;gene-Dmel_CR45466;gene-Dmel_CR45610,
distal_cluster_20.5-21.0Mb,Inx3,27,3,27,0,gene-Dmel_CG10998;gene-Dmel_CG11227;gene-Dmel_CG11666;gene-Dmel_CG12092;gene-Dmel_CG1304;gene-Dmel_CG1314;gene-Dmel_CG1324;gene-Dmel_CG1338;gene-Dmel_CG15450;gene-Dmel_CG15452;gene-Dmel_CG1829;gene-Dmel_CG1835;gene-Dmel_CG1849;gene-Dmel_CG2071;gene-Dmel_CG34145;gene-Dmel_CG42267;gene-Dmel_CG42579;gene-Dmel_CG42580;gene-Dmel_CG42707;gene-Dmel_CG44426;gene-Dmel_CR43193;gene-Dmel_CR43838;gene-Dmel_CR43862;gene-Dmel_CR44710;gene-Dmel_CR45059;gene-Dmel_CR45466;gene-Dmel_CR45610,
