source,species_dir,organism,clade,candidate_id,gene_label,reference_type,subfamily,protein_length,exon_count,tm_helix_count,reference_identity,best_reference_hit,rank_category,discovery_batch,seq_id
reference_db,Bos_taurus,Bos taurus,Mammal,GJA1__P18246,GJA1,GJA1,alpha_GJA,383,,,1.0,GJA1|P18246,reference,reference_db,ref__Bos_taurus__GJA1__P18246
reference_db,Bos_taurus,Bos taurus,Mammal,GJA3__P41987,GJA3,GJA3,alpha_GJA,407,,,1.0,GJA3|P41987,reference,reference_db,ref__Bos_taurus__GJA3__P41987
reference_db,Bos_taurus,Bos taurus,Mammal,GJA4__A4IFL1,GJA4,GJA4,alpha_GJA,333,,,1.0,GJA4|A4IFL1,reference,reference_db,ref__Bos_taurus__GJA4__A4IFL1
reference_db,Bos_taurus,Bos taurus,Mammal,GJA5__Q0VCR2,GJA5,GJA5,alpha_GJA,359,,,1.0,GJA5|Q0VCR2,reference,reference_db,ref__Bos_taurus__GJA5__Q0VCR2
reference_db,Bos_taurus,Bos taurus,Mammal,GJB1__O18968,GJB1,GJB1,beta_GJB,284,,,1.0,GJB1|O18968,reference,reference_db,ref__Bos_taurus__GJB1__O18968
reference_db,Bos_taurus,Bos taurus,Mammal,GJB2__A2VE67,GJB2,GJB2,beta_GJB,226,,,1.0,GJB2|A2VE67,reference,reference_db,ref__Bos_taurus__GJB2__A2VE67
reference_db,Bos_taurus,Bos taurus,Mammal,GJB3__Q58D78,GJB3,GJB3,beta_GJB,270,,,1.0,GJB3|Q58D78,reference,reference_db,ref__Bos_taurus__GJB3__Q58D78
reference_db,Bos_taurus,Bos taurus,Mammal,GJD2__Q866T7,GJD2,GJD,delta_GJD,321,,,1.0,GJD2|Q866T7,reference,reference_db,ref__Bos_taurus__GJD2__Q866T7
reference_db,Canis_lupus_familiaris,Canis lupus familiaris,Mammal,GJA1__Q6S9C0,GJA1,GJA1,alpha_GJA,382,,,1.0,GJA1|Q6S9C0,reference,reference_db,ref__Canis_lupus_familiaris__GJA1__Q6S9C0
reference_db,Canis_lupus_familiaris,Canis lupus familiaris,Mammal,GJA5__P33725,GJA5,GJA5,alpha_GJA,358,,,1.0,GJA5|P33725,reference,reference_db,ref__Canis_lupus_familiaris__GJA5__P33725
reference_db,Canis_lupus_familiaris,Canis lupus familiaris,Mammal,GJC1__P28228,GJC1,GJC,gamma_GJC,396,,,1.0,GJC1|P28228,reference,reference_db,ref__Canis_lupus_familiaris__GJC1__P28228
reference_db,Chlorocebus_sabaeus,Chlorocebus sabaeus,Other vertebrate,GJA1__Q6TYA9,GJA1,GJA1,alpha_GJA,382,,,1.0,GJA1|Q6TYA9,reference,reference_db,ref__Chlorocebus_sabaeus__GJA1__Q6TYA9
reference_db,Cricetulus_griseus,Cricetulus griseus,Other vertebrate,GJC1__Q6R4A8,GJC1,GJC,gamma_GJC,396,,,1.0,GJC1|Q6R4A8,reference,reference_db,ref__Cricetulus_griseus__GJC1__Q6R4A8
reference_db,Danio_rerio,Danio rerio,Ray-finned fish,cx23__U3JA75,cx23,other/unknown,unassigned,207,,,1.0,cx23|U3JA75,reference,reference_db,ref__Danio_rerio__cx23__U3JA75
reference_db,Danio_rerio,Danio rerio,Ray-finned fish,cx32.2__Q7T047,cx32.2,GJB1,beta_GJB,277,,,1.0,cx32.2|Q7T047,reference,reference_db,ref__Danio_rerio__cx32.2__Q7T047
reference_db,Danio_rerio,Danio rerio,Ray-finned fish,gja1__O57474,gja1,GJA1,alpha_GJA,381,,,1.0,gja1|O57474,reference,reference_db,ref__Danio_rerio__gja1__O57474
reference_db,Danio_rerio,Danio rerio,Ray-finned fish,gjc1__Q92052,gjc1,GJC,gamma_GJC,380,,,1.0,gjc1|Q92052,reference,reference_db,ref__Danio_rerio__gjc1__Q92052
reference_db,Equus_caballus,Equus caballus,Mammal,GJB1__Q6WGK6,GJB1,GJB1,beta_GJB,283,,,1.0,GJB1|Q6WGK6,reference,reference_db,ref__Equus_caballus__GJB1__Q6WGK6
reference_db,Erinaceus_europaeus,Erinaceus europaeus,Other vertebrate,GJA1__Q6TYA8,GJA1,GJA1,alpha_GJA,382,,,1.0,GJA1|Q6TYA8,reference,reference_db,ref__Erinaceus_europaeus__GJA1__Q6TYA8
reference_db,Gallus_gallus,Gallus gallus,Bird,GJA1__P14154,GJA1,GJA1,alpha_GJA,381,,,1.0,GJA1|P14154,reference,reference_db,ref__Gallus_gallus__GJA1__P14154
reference_db,Gallus_gallus,Gallus gallus,Bird,GJA3__P29415,GJA3,GJA3,alpha_GJA,511,,,1.0,GJA3|P29415,reference,reference_db,ref__Gallus_gallus__GJA3__P29415
reference_db,Gallus_gallus,Gallus gallus,Bird,GJA5__P18860,GJA5,GJA5,alpha_GJA,369,,,1.0,GJA5|P18860,reference,reference_db,ref__Gallus_gallus__GJA5__P18860
reference_db,Gallus_gallus,Gallus gallus,Bird,GJA8__P36381,GJA8,GJA8,alpha_GJA,400,,,1.0,GJA8|P36381,reference,reference_db,ref__Gallus_gallus__GJA8__P36381
reference_db,Gallus_gallus,Gallus gallus,Bird,GJB6__O93533,GJB6,GJB6,beta_GJB,263,,,1.0,GJB6|O93533,reference,reference_db,ref__Gallus_gallus__GJB6__O93533
reference_db,Gallus_gallus,Gallus gallus,Bird,GJC1__P18861,GJC1,GJC,gamma_GJC,394,,,1.0,GJC1|P18861,reference,reference_db,ref__Gallus_gallus__GJC1__P18861
reference_db,Gorilla_gorilla_gorilla,Gorilla gorilla gorilla,Other vertebrate,GJB2__Q8MHW5,GJB2,GJB2,beta_GJB,226,,,1.0,GJB2|Q8MHW5,reference,reference_db,ref__Gorilla_gorilla_gorilla__GJB2__Q8MHW5
reference_db,Homo_sapiens,Homo sapiens,Mammal,GJA10__Q969M2,GJA10,other GJA,alpha_GJA,543,,,1.0,GJA10|Q969M2,reference,reference_db,ref__Homo_sapiens__GJA10__Q969M2
reference_db,Homo_sapiens,Homo sapiens,Mammal,GJA1__P17302,GJA1,GJA1,alpha_GJA,382,,,1.0,GJA1|P17302,reference,reference_db,ref__Homo_sapiens__GJA1__P17302
reference_db,Homo_sapiens,Homo sapiens,Mammal,GJA3__Q9Y6H8,GJA3,GJA3,alpha_GJA,435,,,1.0,GJA3|Q9Y6H8,reference,reference_db,ref__Homo_sapiens__GJA3__Q9Y6H8
reference_db,Homo_sapiens,Homo sapiens,Mammal,GJA4__P35212,GJA4,GJA4,alpha_GJA,333,,,1.0,GJA4|P35212,reference,reference_db,ref__Homo_sapiens__GJA4__P35212
