family,organism,fasta_path,uniprot_accession,reference_gene_symbol,gene_id,gene_symbol,gene_name,transcript_id,transcript_name,seqid,strand,exon_number,exon_start,exon_end,exon_length
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_021838781.1,XM_021838781.1,NC_035107.1,-,1,3043323,3043868,546
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_021838781.1,XM_021838781.1,NC_035107.1,-,2,3043931,3044194,264
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_021838781.1,XM_021838781.1,NC_035107.1,-,3,3044249,3044406,158
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_021838781.1,XM_021838781.1,NC_035107.1,-,4,3044472,3044675,204
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_021838781.1,XM_021838781.1,NC_035107.1,-,5,3044916,3045020,105
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_021838781.1,XM_021838781.1,NC_035107.1,-,6,3045081,3045328,248
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_021838781.1,XM_021838781.1,NC_035107.1,-,7,3045384,3045988,605
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_021838781.1,XM_021838781.1,NC_035107.1,-,8,3046046,3046326,281
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_021838781.1,XM_021838781.1,NC_035107.1,-,9,3046803,3046866,64
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_021838781.1,XM_021838781.1,NC_035107.1,-,10,3070827,3071456,630
