seqid,start,end,strand,identity,aa_length,cys,stops,verdict,target,el1_cys,el2_cys,el_motif,tm_pred
OZ392242.1,38970484,38971569,+,0.5294,356,8,0,present,sp|Q9V427|INX2_DROME 1 355,2,2,pass,4
OZ392242.1,38977305,38978381,+,0.4972,359,8,0,present,sp|Q9XYN1|INX2_SCHAM 1 359,2,2,pass,4
OZ392242.1,38980248,38987768,+,0.5580,361,11,1,present,sp|Q9XYN1|INX2_SCHAM 1 359,3,3,pass,4
OZ392242.1,38986725,38987807,+,0.4408,361,8,0,present,sp|P27716|INX1_DROME 1 362,2,2,pass,4
OZ392242.1,38998061,38999146,+,0.5580,361,11,1,present,sp|Q9XYN1|INX2_SCHAM 1 359,3,3,pass,4
OZ392243.1,746769,747242,-,0.4241,158,3,0,weak,candidate_inx_008 48 194,,,unresolved,0
OZ392243.1,765041,765514,-,0.4241,158,4,0,weak,candidate_inx_008 48 194,,,unresolved,0
OZ392243.1,786798,787271,-,0.4620,158,2,0,weak,candidate_inx_008 48 194,,,unresolved,0
OZ392243.1,799949,800422,-,0.4620,158,3,0,weak,candidate_inx_008 48 194,,,unresolved,0
OZ392243.1,813001,813474,-,0.4465,158,2,0,weak,candidate_inx_008 48 194,,,unresolved,0
OZ392243.1,107937549,107938616,-,0.4566,356,10,0,present,sp|P33085|SHAKB_DROME 1 354,,,unresolved,0
OZ392245.1,107857156,107857632,+,0.5875,159,1,0,weak,candidate_inx_008 35 194,,,unresolved,2
OZ392247.1,55730263,55730697,+,0.6370,145,1,0,weak,candidate_inx_008 49 194,,,unresolved,3
OZ392247.1,105975163,105975756,-,0.5253,198,4,0,fragmentary,sp|Q9XYN1|INX2_SCHAM 162 359,,,unresolved,0
OZ392248.1,29963054,29964123,+,0.5322,141,3,21,weak,sp|Q9V427|INX2_DROME 1 353,,,unresolved,2
OZ392248.1,35911535,35912611,+,0.5194,356,8,0,present,sp|Q9XYN1|INX2_SCHAM 1 359,2,2,pass,4
OZ392248.1,35924537,35925625,+,0.4408,363,11,0,present,sp|Q9XYN1|INX2_SCHAM 1 359,,,unresolved,0
OZ392248.1,35985027,35986109,+,0.5452,354,9,0,present,sp|Q9V427|INX2_DROME 1 353,2,2,pass,4
OZ392248.1,35997561,36014385,+,0.4472,367,10,0,present,sp|P33085|SHAKB_DROME 1 354,2,2,pass,4
OZ392248.1,36013333,36014412,+,0.4472,367,10,0,present,sp|P33085|SHAKB_DROME 1 354,2,2,pass,4
OZ392248.1,36016432,36017520,-,0.4847,358,8,0,present,sp|Q9XYN1|INX2_SCHAM 1 356,3,2,pass,5
