seqid,start,end,strand,identity,aa_length,cys,stops,verdict,target,el1_cys,el2_cys,el_motif,tm_pred
JAUELJ010012168.1,300,876,-,0.5848,171,3,0,weak,sp|P33085|SHAKB_DROME 186 356,,,unresolved,3
JAUELJ010046583.1,497,1048,+,0.6810,163,2,0,weak,sp|P33085|SHAKB_DROME 194 356,,,unresolved,1
JAUELJ010047901.1,647,1003,+,0.6167,119,5,0,weak,sp|P33085|SHAKB_DROME 1 120,,,unresolved,1
JAUELJ010053441.1,76,982,-,0.3060,265,4,0,fragmentary,sp|Q9VAS7|INX3_DROME 1 279,,,unresolved,0
JAUELJ010059832.1,90,521,-,0.3493,144,3,0,weak,sp|Q9VWL5|INX5_DROME 214 357,,,unresolved,0
JAUELJ010066978.1,846,1565,-,0.3071,240,4,0,fragmentary,sp|Q03412|UNC7_CAEEL 203 451,,,unresolved,0
JAUELJ010069302.1,2030,3169,+,0.3456,378,8,0,present,sp|P27716|INX1_DROME 1 357,,,unresolved,3
JAUELJ010076491.1,512,889,-,0.5591,126,1,0,weak,candidate_inx_008 68 194,,,unresolved,2
JAUELJ010092928.1,52,471,+,0.4797,140,5,0,weak,candidate_inx_008 50 194,,,unresolved,2
JAUELJ010097346.1,900,1607,-,0.3193,236,5,0,fragmentary,sp|Q9VAS7|INX3_DROME 110 342,,,unresolved,0
JAUELJ010117196.1,364,789,-,0.5874,142,2,0,weak,candidate_inx_008 52 194,,,unresolved,2
JAUELJ010148967.1,308,688,-,0.3937,127,2,0,weak,candidate_inx_008 48 161,,,unresolved,0
JAUELJ010156673.1,349,702,-,0.3852,118,4,0,weak,sp|Q03412|UNC7_CAEEL 382 503,,,unresolved,0
JAUELJ010157360.1,266,694,-,0.4755,143,1,0,weak,candidate_inx_008 52 194,,,unresolved,0
JAUELJ010180599.1,16,1005,-,0.3870,289,5,0,present,sp|Q9V427|INX2_DROME 85 367,,,unresolved,0
JAUELJ010187616.1,2,322,+,0.6389,107,3,0,weak,sp|P33085|SHAKB_DROME 13 120,,,unresolved,0
JAUELJ010241728.1,537,1556,+,0.3794,340,11,0,present,sp|O01393|UNC9_CAEEL 54 386,,,unresolved,3
JAUELJ010253224.1,190,516,+,0.4495,109,4,0,weak,sp|O01393|UNC9_CAEEL 51 159,,,unresolved,0
JAUELJ010272520.1,196,982,+,0.4018,224,5,0,fragmentary,sp|Q9XYN1|INX2_SCHAM 141 359,,,unresolved,0
JAUELJ010278292.1,386,1618,-,0.3815,390,9,1,present,sp|P27716|INX1_DROME 1 362,2,2,pass,5
JAUELJ010279563.1,1335,1691,+,0.7000,119,5,0,weak,sp|P33085|SHAKB_DROME 1 120,,,unresolved,1
JAUELJ010287262.1,564,1743,-,0.3950,361,10,0,present,sp|P27716|INX1_DROME 1 362,2,2,pass,4
JAUELJ010288914.1,385,894,+,0.6118,170,3,0,weak,sp|P33085|SHAKB_DROME 188 357,,,unresolved,1
JAUELJ010298595.1,684,1487,-,0.3657,268,5,0,fragmentary,sp|O01393|UNC9_CAEEL 118 378,,,unresolved,0
JAUELJ010300274.1,2138,3087,+,0.3100,297,7,0,present,sp|Q9VAS7|INX3_DROME 26 310,,,unresolved,0
JAUELJ010304231.1,3161,4877,+,0.3956,320,8,0,present,sp|Q9V427|INX2_DROME 1 304,,,unresolved,0
JAUELJ010305675.1,629,1771,+,0.3756,381,12,0,present,sp|Q03412|UNC7_CAEEL 138 522,3,2,pass,4
JAUELJ010311603.1,330,845,+,0.6205,166,3,0,weak,sp|P33085|SHAKB_DROME 191 356,,,unresolved,2
JAUELJ010320623.1,212,1330,+,0.4340,318,7,0,present,sp|Q9XYN1|INX2_SCHAM 1 304,,,unresolved,0
JAUELJ010320783.1,162,605,+,0.5000,148,1,0,weak,candidate_inx_008 71 194,,,unresolved,2
JAUELJ010324757.1,955,1407,+,0.6806,144,2,0,weak,sp|P33085|SHAKB_DROME 194 337,,,unresolved,1
JAUELJ010331040.1,2032,3400,-,0.3720,371,6,0,present,sp|P27716|INX1_DROME 1 362,2,2,pass,5
JAUELJ010338036.1,1381,1815,-,0.5578,145,2,0,weak,candidate_inx_008 49 194,,,unresolved,3
