panel,family,reference_gene,neighbor_gene,species_with_gene,species_total,shared_all_species,fraction_species
connexin_GJA1_cross_species,connexin,GJA1,tbc1d32,10,10,yes,1.00
connexin_GJA3_cross_species,connexin,GJA3,gjb2,4,4,yes,1.00
connexin_GJA3_cross_species,connexin,GJA3,gjb6,4,4,yes,1.00
connexin_GJA3_cross_species,connexin,GJA3,zmym2,4,4,yes,1.00
connexin_GJA3_cross_species,connexin,GJA3,pspc1,3,4,no,0.75
connexin_GJA3_cross_species,connexin,GJA3,eef1akmt1,1,4,no,0.25
connexin_GJA3_cross_species,connexin,GJA3,ift88,1,4,no,0.25
connexin_GJA3_cross_species,connexin,GJA3,linc01072,1,4,no,0.25
connexin_GJA3_cross_species,connexin,GJA3,zmym5,1,4,no,0.25
connexin_GJA4_cross_species,connexin,GJA4,dlgap3,3,3,yes,1.00
connexin_GJA4_cross_species,connexin,GJA4,gjb3,3,3,yes,1.00
connexin_GJA4_cross_species,connexin,GJA4,gjb4,3,3,yes,1.00
connexin_GJA4_cross_species,connexin,GJA4,gjb5,3,3,yes,1.00
connexin_GJA4_cross_species,connexin,GJA4,smim12,3,3,yes,1.00
connexin_GJA5_cross_species,connexin,GJA5,acp6,4,4,yes,1.00
connexin_GJA5_cross_species,connexin,GJA5,bcl9,4,4,yes,1.00
connexin_GJA5_cross_species,connexin,GJA5,gja8,4,4,yes,1.00
connexin_GJA5_cross_species,connexin,GJA5,gpr89a,3,4,no,0.75
connexin_GJA5_cross_species,connexin,GJA5,adprh,1,4,no,0.25
connexin_GJA5_cross_species,connexin,GJA5,cd88,1,4,no,0.25
connexin_GJA5_cross_species,connexin,GJA5,gpr89b,1,4,no,0.25
connexin_GJA5_cross_species,connexin,GJA5,htr1f,1,4,no,0.25
connexin_GJA5_cross_species,connexin,GJA5,pdzk1p1,1,4,no,0.25
connexin_GJA5_cross_species,connexin,GJA5,poglut1,1,4,no,0.25
connexin_GJA5_cross_species,connexin,GJA5,timmdc1,1,4,no,0.25
