family,file_path,header,accession,protein_name,gene_name,organism,review_status,protein_existence,annotation_score,sequence_length,assembly_accession,assembly_level,assembly_name,refseq_or_genbank,contig_n50,scaffold_n50,annotation_available,assembly_status,quality_flag,error
innexin,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,>sp|Q1DH70|SHAKB_AEDAE Innexin shaking-B OS=Aedes aegypti OX=7159 GN=shakB PE=3 SV=1,Q1DH70,Innexin shaking-B,shakB,Aedes aegypti,reviewed,3,3.0,372,GCF_002204515.2,Chromosome,AaegL5.0,RefSeq,,,yes,Chromosome,medium,
innexin,project/data/references/innexins/Anopheles_gambiae/ZPG__Q7Q5R9.fasta,>sp|Q7Q5R9|INX4_ANOGA Innexin inx4 OS=Anopheles gambiae OX=7165 GN=ZPG PE=3 SV=3,Q7Q5R9,Innexin inx4,ZPG,Anopheles gambiae,reviewed,3,4.0,386,GCF_943734735.2,Chromosome,idAnoGambNW_F1_1,RefSeq,,,yes,Chromosome,medium,
innexin,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,>sp|Q7PXN1|SHAKB_ANOGA Innexin shaking-B OS=Anopheles gambiae OX=7165 GN=shakB PE=3 SV=1,Q7PXN1,Innexin shaking-B,shakB,Anopheles gambiae,reviewed,3,3.0,373,GCF_943734735.2,Chromosome,idAnoGambNW_F1_1,RefSeq,,,yes,Chromosome,medium,
innexin,project/data/references/innexins/Caenorhabditis_briggsae/inx-19__A8WVX4.fasta,>sp|A8WVX4|INX19_CAEBR Innexin-19 OS=Caenorhabditis briggsae OX=6238 GN=inx-19 PE=3 SV=3,A8WVX4,Innexin-19,inx-19,Caenorhabditis briggsae,reviewed,3,2.0,439,GCF_000004555.2,Chromosome,CB4,RefSeq,,,yes,Chromosome,medium,
innexin,project/data/references/innexins/Caenorhabditis_elegans/eat-5__Q27295.fasta,>sp|Q27295|EAT5_CAEEL Innexin eat-5 OS=Caenorhabditis elegans OX=6239 GN=eat-5 PE=2 SV=1,Q27295,Innexin eat-5,eat-5,Caenorhabditis elegans,reviewed,2,3.0,423,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
innexin,project/data/references/innexins/Caenorhabditis_elegans/inx-10__Q22549.fasta,>sp|Q22549|INX10_CAEEL Innexin-10 OS=Caenorhabditis elegans OX=6239 GN=inx-10 PE=3 SV=1,Q22549,Innexin-10,inx-10,Caenorhabditis elegans,reviewed,3,3.0,559,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
innexin,project/data/references/innexins/Caenorhabditis_elegans/inx-11__Q23157.fasta,>sp|Q23157|INX11_CAEEL Innexin-11 OS=Caenorhabditis elegans OX=6239 GN=inx-11 PE=3 SV=1,Q23157,Innexin-11,inx-11,Caenorhabditis elegans,reviewed,3,3.0,465,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
innexin,project/data/references/innexins/Caenorhabditis_elegans/inx-12__O01634.fasta,>sp|O01634|INX12_CAEEL Innexin-12 OS=Caenorhabditis elegans OX=6239 GN=inx-12 PE=1 SV=1,O01634,Innexin-12,inx-12,Caenorhabditis elegans,reviewed,1,4.0,408,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
innexin,project/data/references/innexins/Caenorhabditis_elegans/inx-14__O62136.fasta,>sp|O62136|INX14_CAEEL Innexin-14 OS=Caenorhabditis elegans OX=6239 GN=inx-14 PE=3 SV=1,O62136,Innexin-14,inx-14,Caenorhabditis elegans,reviewed,3,3.0,434,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
innexin,project/data/references/innexins/Caenorhabditis_elegans/inx-16__O61787.fasta,>sp|O61787|INX16_CAEEL Innexin-16 OS=Caenorhabditis elegans OX=6239 GN=inx-16 PE=3 SV=2,O61787,Innexin-16,inx-16,Caenorhabditis elegans,reviewed,3,4.0,372,GCA_052911875.1,Complete Genome,C.elegans_CGC1_1.0,GenBank,,,yes,Complete Genome,medium,
