family,organism,fasta_path,uniprot_accession,reference_gene_symbol,gene_id,gene_symbol,gene_name,transcript_id,transcript_name,seqid,strand,transcript_start,transcript_end,transcript_span,exon_count,mean_exon_length,total_exon_bases,intron_count,mean_intron_length
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_021838781.1,XM_021838781.1,NC_035107.1,-,3043323,3071456,28134,10,310.5,3105,9,2781.0
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_001650571.2,XM_001650571.2,NC_035107.1,-,3043323,3071456,28134,10,353.5,3535,9,2733.222222222222
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/ZPG__Q7Q5R9.fasta,Q7Q5R9,ZPG,gene-LOC1276902,LOC1276902,innexin inx4,rna-XM_316309.4,XM_316309.4,NC_064601.1,+,97475570,97477901,2332,3,718.0,2154,2,89.0
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766551.1,XR_009766551.1,NC_064600.1,+,455514,469765,14252,8,961.5,7692,7,937.1428571428571
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766563.1,XR_009766563.1,NC_064600.1,+,455523,469765,14243,8,1174.0,9392,7,693.0
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766557.1,XR_009766557.1,NC_064600.1,+,455523,469765,14243,8,1080.5,8644,7,799.8571428571429
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766552.1,XR_009766552.1,NC_064600.1,+,455523,469765,14243,8,989.5,7916,7,903.8571428571429
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766553.1,XR_009766553.1,NC_064600.1,+,455523,469765,14243,8,969.25,7754,7,927.0
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766554.1,XR_009766554.1,NC_064600.1,+,455524,469765,14242,7,1606.7142857142858,11247,6,499.1666666666667
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766558.1,XR_009766558.1,NC_064600.1,+,455524,469765,14242,8,1069.625,8557,7,812.1428571428571
