seqid,start,end,strand,identity,aa_length,cys,stops,verdict,target,el1_cys,el2_cys,el_motif,tm_pred
NTPY01000222.1,181832,182251,+,0.6154,140,1,0,weak,candidate_inx_008 52 194,,,unresolved,2
NTPY01000275.1,474586,476889,+,0.3369,371,7,0,present,sp|Q03412|UNC7_CAEEL 138 506,,,unresolved,0
NTPY01000275.1,566644,568817,+,0.3350,393,15,0,present,sp|Q03412|UNC7_CAEEL 136 507,2,2,pass,5
NTPY01000330.1,409940,411611,-,0.2761,357,5,0,present,sp|P33085|SHAKB_DROME 8 358,2,2,pass,4
NTPY01000418.1,1455218,1480634,+,0.2673,265,4,1,weak,sp|Q1DH70|SHAKB_AEDAE 25 311,,,unresolved,0
NTPY01000483.1,809096,811261,-,0.3285,414,9,0,present,sp|Q03412|UNC7_CAEEL 136 522,2,2,pass,4
NTPY01000526.1,2032965,2035582,+,0.2990,267,7,0,fragmentary,sp|Q1DH70|SHAKB_AEDAE 1 293,,,unresolved,0
NTPY01000526.1,2301293,2302390,-,0.3995,366,10,0,present,sp|O01393|UNC9_CAEEL 20 375,2,2,pass,4
NTPY01000529.1,56274,58710,+,0.2402,406,8,0,present,sp|Q9U3K5|INX2_CAEEL 31 381,2,2,pass,5
NTPY01000551.1,3799,6592,-,0.2990,267,7,0,fragmentary,sp|Q1DH70|SHAKB_AEDAE 1 293,,,unresolved,0
NTPY01000647.1,2,436,+,0.5811,145,1,0,weak,candidate_inx_008 48 194,,,unresolved,3
NTPY01000672.1,914866,917897,-,0.3417,391,9,0,present,sp|O01393|UNC9_CAEEL 4 386,,,unresolved,0
NTPY01000672.1,2509135,2510860,+,0.2628,315,7,0,present,sp|Q1DH70|SHAKB_AEDAE 1 292,,,unresolved,0
NTPY01000727.1,235390,235824,-,0.5203,145,3,0,weak,candidate_inx_008 48 194,,,unresolved,3
NTPY01000896.1,340918,341397,-,0.5503,160,1,0,weak,candidate_inx_008 28 194,,,unresolved,3
NTPY01000970.1,33584,34756,-,0.3919,391,14,0,present,sp|O01393|UNC9_CAEEL 20 380,2,2,pass,4
