region,flanking_gene_id,Inx2,Inx3,ogre,present_in_count,present_in_genes,sharing_category
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG12541,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG14426,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG14427,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG14430,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG14431,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG14434,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG14435,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG3032,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG3035,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG3040,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG3044,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG32732,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG32736,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG32743,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG42308,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG43736,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG43770,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG4557,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG4558,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG4586,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG4593,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CG4607,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CR43837,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CR44084,yes,no,yes,2,Inx2;ogre,shared_all
proximal_cluster_6.8-7.1Mb,gene-Dmel_CR45531,yes,no,yes,2,Inx2;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG10998,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG11227,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG11666,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG12092,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG1304,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG1314,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG1324,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG1338,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG15450,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG15452,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG1829,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG1835,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG1849,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG2071,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG34145,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG42267,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG42579,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG42580,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG42707,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CG44426,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CR43193,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CR43838,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CR43862,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CR44710,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CR45059,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CR45466,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
distal_cluster_20.5-21.0Mb,gene-Dmel_CR45610,yes,yes,yes,3,Inx2;Inx3;ogre,shared_all
