organism,family,exact_annotation_found,related_annotation_found,final_category,confidence,top_matching_term,database_source,search_level,top_accession,top_gene_symbol,top_protein_name,level_a_hit_count,level_b_hit_count,example_query
Peripatoides novaezealandiae,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Peripatoides novaezealandiae,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Peripatoides novaezealandiae,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Peripatus solorzanoi,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Peripatus solorzanoi,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Peripatus solorzanoi,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Tubiluchus corallicola,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Tubiluchus corallicola,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Tubiluchus corallicola,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Rotaria sordida,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A813T789,inx,Innexin,10,0,"organism_name:""Rotaria sordida"" AND protein_name:innexin"
Rotaria sordida,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Rotaria sordida,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Philodina roseola,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Philodina roseola,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Philodina roseola,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Triops cancriformis,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Triops cancriformis,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Triops cancriformis,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Artemia franciscana,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0AA88HGI7,inx,Innexin,17,0,"organism_name:""Artemia franciscana"" AND protein_name:innexin"
Artemia franciscana,connexin,no,yes,related_or_family_like_entry_found,medium,Innexin family member shaking B,ncbi_gene,B,136041858,shakB,Innexin family member shaking B,0,5,"""gap junction""[All Fields] AND ""Artemia franciscana""[Organism]"
Artemia franciscana,pannexin,no,yes,related_or_family_like_entry_found,medium,Innexin family member shaking B,ncbi_gene,B,136041858,shakB,Innexin family member shaking B,0,5,"""gap junction""[All Fields] AND ""Artemia franciscana""[Organism]"
Tigriopus californicus,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A553NFW3,inx,Innexin,15,0,"organism_name:""Tigriopus californicus"" AND protein_name:innexin"
Tigriopus californicus,connexin,no,yes,related_or_family_like_entry_found,medium,innexin inx2-like,ncbi_gene,B,131888218,LOC131888218,innexin inx2-like,0,5,"""gap junction""[All Fields] AND ""Tigriopus californicus""[Organism]"
Tigriopus californicus,pannexin,no,yes,related_or_family_like_entry_found,medium,innexin inx2-like,ncbi_gene,B,131888218,LOC131888218,innexin inx2-like,0,5,"""gap junction""[All Fields] AND ""Tigriopus californicus""[Organism]"
Owenia fusiformis,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A8J1YA83,inx,Innexin,10,0,"organism_name:""Owenia fusiformis"" AND protein_name:innexin"
Owenia fusiformis,connexin,yes,no,annotated_family_member_found,high,connexin,uniprot,A,A0A8S4PV14,,Connexin cysteine-rich domain-containing protein,5,0,"organism_name:""Owenia fusiformis"" AND protein_name:connexin"
Owenia fusiformis,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Streblospio benedicti,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Streblospio benedicti,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Streblospio benedicti,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Dimorphilus gyrociliatus,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A7I8VSA8,inx,Innexin,10,0,"organism_name:""Dimorphilus gyrociliatus"" AND protein_name:innexin"
Dimorphilus gyrociliatus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
