seqid,start,end,strand,identity,aa_length,cys,stops,verdict,target,el1_cys,el2_cys,el_motif,tm_pred
PJRA01000196.1,402296,406389,+,0.2423,387,8,0,present,sp|Q9U3K5|INX2_CAEEL 28 361,2,2,pass,5
PJRA01000263.1,5378394,5381126,+,0.2604,390,6,0,present,sp|P33085|SHAKB_DROME 8 358,2,2,pass,4
PJRA01000313.1,1067833,1070146,+,0.3667,409,6,0,present,sp|O01393|UNC9_CAEEL 1 375,,,unresolved,0
PJRA01000313.1,1580946,1583252,-,0.3708,375,5,0,present,sp|O01393|UNC9_CAEEL 1 375,,,unresolved,0
PJRA01000314.1,359709,360143,-,0.5811,145,1,0,weak,candidate_inx_008 48 194,,,unresolved,3
PJRA01000389.1,11013,14791,+,0.3383,392,14,0,present,sp|Q03412|UNC7_CAEEL 136 507,2,2,pass,5
PJRA01000453.1,174609,175028,+,0.6014,140,1,0,weak,candidate_inx_008 52 194,,,unresolved,3
PJRA01000498.1,613696,619973,-,0.3221,414,10,0,present,sp|O01393|UNC9_CAEEL 1 386,,,unresolved,0
PJRA01000506.1,394873,395967,+,0.2746,315,8,0,present,sp|Q9V3W6|INX7_DROME 1 312,,,unresolved,0
PJRA01000555.1,1334925,1336022,+,0.4321,366,9,0,present,sp|O01393|UNC9_CAEEL 20 375,2,2,pass,4
PJRA01000555.1,1340882,1341979,-,0.4321,366,9,0,present,sp|O01393|UNC9_CAEEL 20 375,2,2,pass,4
