family,organism,assembly_accession,assembly_level,dataset_roles,n_sequences_analytical_clade_table,n_reference_proteins,n_legacy_discovery,n_curator_in_clade_table,n_curator_present_floor,prior_discovery,locate_method,notes
connexin,Antrozous pallidus,GCA_027563665.2,Chromosome,discovery_candidates,1,,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Bombina variegata,GCA_964205295.1,Chromosome,discovery_candidates,1,,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Bos taurus,GCA_056748525.1,Chromosome,reference_proteins,8,8,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Butorides sundevalli,GCA_057816225.1,Chromosome,discovery_candidates,1,,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Canis lupus familiaris,GCA_057128235.1,Chromosome,reference_proteins,3,3,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Chlorocebus sabaeus,GCF_047675955.1,Chromosome,reference_proteins,1,1,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Cricetulus griseus,GCF_003668045.3,Chromosome,reference_proteins,1,1,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Danio rerio,GCF_049306965.1,Complete Genome,reference_proteins,4,4,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Desmognathus fuscus,GCA_050004315.1,Chromosome,discovery_candidates,8,,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Dumetella carolinensis,GCA_057427935.1,Chromosome,discovery_candidates,1,,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
connexin,Eleutherodactylus marnockii,GCA_055470875.1,Chromosome,discovery_candidates,1,,,,,,,From connexin_similarity/sequence_metadata.csv (103 ref + 24 discovery). Assembly from GFF/quality/catalog when available; blank if UniProt-only.
