family,organism,fasta_path,uniprot_accession,reference_gene_symbol,protein_name,matched_gene_id,match_method,status
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,SHAKB_AEDAE Innexin shaking-B,gene-LOC5566218,transcript_product:shakB,matched
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/ZPG__Q7Q5R9.fasta,Q7Q5R9,ZPG,INX4_ANOGA Innexin inx4,gene-LOC1276902,gene_symbol:inx4,matched
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,SHAKB_ANOGA Innexin shaking-B,gene-LOC1272246,gene_symbol:shakB,matched
innexin,Caenorhabditis briggsae,project/data/references/innexins/Caenorhabditis_briggsae/inx-19__A8WVX4.fasta,A8WVX4,inx-19,INX19_CAEBR Innexin-19,gene-CBG_03987,gene_symbol:inx-19,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/eat-5__Q27295.fasta,Q27295,eat-5,EAT5_CAEEL Innexin eat-5,gene-CELE_F13G3.8,gene_symbol:eat-5,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-10__Q22549.fasta,Q22549,inx-10,INX10_CAEEL Innexin-10,gene-CELE_Y48G1C.10,gene_symbol:inx-10,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-11__Q23157.fasta,Q23157,inx-11,INX11_CAEEL Innexin-11,gene-CELE_F53G12.1,gene_symbol:inx-11,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-12__O01634.fasta,O01634,inx-12,INX12_CAEEL Innexin-12,gene-CELE_ZK770.3,gene_symbol:inx-12,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-14__O62136.fasta,O62136,inx-14,INX14_CAEEL Innexin-14,gene-CELE_Y48G1A.4,gene_symbol:inx-14,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-16__O61787.fasta,O61787,inx-16,INX16_CAEEL Innexin-16,gene-CELE_Y65B4BR.6,gene_symbol:inx-16,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-17__O61788.fasta,O61788,inx-17,INX17_CAEEL Innexin-17,gene-CELE_C54G6.5,gene_symbol:inx-17,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-19__O61715.fasta,O61715,inx-19,INX19_CAEEL Innexin-19,gene-CELE_T16H5.1,gene_symbol:inx-19,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-2__Q9U3K5.fasta,Q9U3K5,inx-2,INX2_CAEEL Innexin-2,gene-CELE_F08G12.10,gene_symbol:inx-2,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-3__Q19746.fasta,Q19746,inx-3,INX3_CAEEL Innexin-3,gene-CELE_F22F4.2,gene_symbol:inx-3,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-5__Q23027.fasta,Q23027,inx-5,INX5_CAEEL Innexin-5,gene-CELE_R09F10.4,gene_symbol:inx-5,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-6__Q9U3N4.fasta,Q9U3N4,inx-6,INX6_CAEEL Innexin-6,gene-CELE_C36H8.2,gene_symbol:inx-6,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-7__Q21123.fasta,Q21123,inx-7,INX7_CAEEL Innexin-7,gene-CELE_K02B2.4,gene_symbol:inx-7,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-8__Q23593.fasta,Q23593,inx-8,INX8_CAEEL Innexin-8,gene-CELE_ZK792.2,gene_symbol:inx-8,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/unc-7__Q03412.fasta,Q03412,unc-7,UNC7_CAEEL Innexin unc-7,gene-CELE_Y74C9A.1,gene_symbol:unc-7,matched
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/unc-9__O01393.fasta,O01393,unc-9,UNC9_CAEEL Innexin unc-9,gene-CELE_R12H7.1,gene_symbol:unc-9,matched
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx2__Q9V427.fasta,Q9V427,Inx2,INX2_DROME Innexin inx2,gene-Dmel_CG4590,gene_symbol:Inx2,matched
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx3__Q9VAS7.fasta,Q9VAS7,Inx3,INX3_DROME Innexin inx3,gene-Dmel_CG1448,gene_symbol:Inx3,matched
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx5__Q9VWL5.fasta,Q9VWL5,Inx5,INX5_DROME Innexin inx5,gene-Dmel_CG7537,gene_symbol:Inx5,matched
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx6__Q9VR82.fasta,Q9VR82,Inx6,INX6_DROME Innexin inx6,gene-Dmel_CG17063,gene_symbol:Inx6,matched
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx7__Q9V3W6.fasta,Q9V3W6,Inx7,INX7_DROME Innexin inx7,gene-Dmel_CG2977,gene_symbol:Inx7,matched
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/ogre__P27716.fasta,P27716,ogre,INX1_DROME Innexin inx1,gene-Dmel_CG3039,gene_symbol:ogre,matched
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/shakB__P33085.fasta,P33085,shakB,SHAKB_DROME Innexin shaking-B,gene-Dmel_CG3827,gene_symbol:shakB,matched
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/zpg__Q9VRX6.fasta,Q9VRX6,zpg,INX4_DROME Innexin inx4,gene-Dmel_CG10125,gene_symbol:zpg,matched
innexin,Schistocerca americana,project/data/references/innexins/Schistocerca_americana/inx1__Q9XYN0.fasta,Q9XYN0,inx1,INX1_SCHAM Innexin inx1,gene-LOC124554761,transcript_product:inx1,matched
innexin,Schistocerca americana,project/data/references/innexins/Schistocerca_americana/inx2__Q9XYN1.fasta,Q9XYN1,inx2,INX2_SCHAM Innexin inx2,gene-LOC124594079,transcript_product:inx2,matched
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJA1__P18246.fasta,P18246,GJA1,CXA1_BOVIN Gap junction alpha-1 protein,gene-GJA1,gene_symbol:GJA1,matched
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJA3__P41987.fasta,P41987,GJA3,CXA3_BOVIN Gap junction alpha-3 protein,gene-GJA3,gene_symbol:GJA3,matched
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJA4__A4IFL1.fasta,A4IFL1,GJA4,CXA4_BOVIN Gap junction alpha-4 protein,gene-GJA4,gene_symbol:GJA4,matched
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJA5__Q0VCR2.fasta,Q0VCR2,GJA5,CXA5_BOVIN Gap junction alpha-5 protein,gene-GJA5,gene_symbol:GJA5,matched
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJB1__O18968.fasta,O18968,GJB1,CXB1_BOVIN Gap junction beta-1 protein,gene-GJB1,gene_symbol:GJB1,matched
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJB2__A2VE67.fasta,A2VE67,GJB2,CXB2_BOVIN Gap junction beta-2 protein,gene-KCNE2,gene_symbol:GJB2,matched
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJB3__Q58D78.fasta,Q58D78,GJB3,CXB3_BOVIN Gap junction beta-3 protein,gene-GJB3,gene_symbol:GJB3,matched
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJD2__Q866T7.fasta,Q866T7,GJD2,CXD2_BOVIN Gap junction delta-2 protein,gene-KCNE2,gene_symbol:GJD2,matched
connexin,Canis lupus familiaris,project/data/references/connexins/Canis_lupus_familiaris/GJA1__Q6S9C0.fasta,Q6S9C0,GJA1,CXA1_CANLF Gap junction alpha-1 protein,gene-GJA1,gene_symbol:GJA1,matched
connexin,Canis lupus familiaris,project/data/references/connexins/Canis_lupus_familiaris/GJA5__P33725.fasta,P33725,GJA5,CXA5_CANLF Gap junction alpha-5 protein,gene-GJA5,gene_symbol:GJA5,matched
connexin,Canis lupus familiaris,project/data/references/connexins/Canis_lupus_familiaris/GJC1__P28228.fasta,P28228,GJC1,CXG1_CANLF Gap junction gamma-1 protein,gene-GJC1,gene_symbol:GJC1,matched
connexin,Chlorocebus sabaeus,project/data/references/connexins/Chlorocebus_sabaeus/GJA1__Q6TYA9.fasta,Q6TYA9,GJA1,CXA1_CHLAE Gap junction alpha-1 protein,gene-GJA1,gene_symbol:GJA1,matched
connexin,Cricetulus griseus,project/data/references/connexins/Cricetulus_griseus/GJC1__Q6R4A8.fasta,Q6R4A8,GJC1,CXG1_CRIGR Gap junction gamma-1 protein,gene-Gjc1,gene_symbol:GJC1,matched
connexin,Danio rerio,project/data/references/connexins/Danio_rerio/cx23__U3JA75.fasta,U3JA75,cx23,CXE1_DANRE Gap junction epsilon-1 protein,gene-rad23aa,gene_symbol:cx23,matched
connexin,Danio rerio,project/data/references/connexins/Danio_rerio/cx32.2__Q7T047.fasta,Q7T047,cx32.2,CX32_DANRE Gap junction Cx32.2 protein,gene-gja13.2,gene_symbol:cx32.2,matched
connexin,Danio rerio,project/data/references/connexins/Danio_rerio/gja1__O57474.fasta,O57474,gja1,CXA1_DANRE Gap junction alpha-1 protein,gene-gja1b,gene_symbol:gja1,matched
