seqid,start,end,strand,identity,aa_length,cys,stops,verdict,target,el1_cys,el2_cys,el_motif,tm_pred
NC_004354.4,6966889,6977889,-,0.4060,397,14,0,present,sp|Q9VAS7|INX3_DROME 1 395,,,unresolved,
NC_004354.4,6974430,6977407,-,1.0000,362,13,0,present,sp|P27716|INX1_DROME 1 362,,,unresolved,
NC_004354.4,6991730,6993413,-,1.0000,438,7,0,present,sp|Q9V3W6|INX7_DROME 1 438,,,unresolved,
NC_004354.4,6999129,7000232,+,1.0000,367,9,0,present,sp|Q9V427|INX2_DROME 1 367,,,unresolved,
NC_004354.4,19168992,19170544,-,1.0000,419,13,0,present,sp|Q9VWL5|INX5_DROME 1 419,,,unresolved,
NC_004354.4,20267981,20269500,-,1.0000,481,18,0,present,sp|Q9VR82|INX6_DROME 1 481,,,unresolved,
NC_004354.4,20772581,20784627,-,1.0000,372,8,0,present,sp|P33085|SHAKB_DROME 1 372,,,unresolved,
NC_004354.4,20784268,20784627,-,1.0000,120,4,0,weak,sp|P33085|SHAKB_DROME 1 120,,,unresolved,
NC_004354.4,20792355,20792741,-,0.6881,109,2,0,weak,sp|P33085|SHAKB_DROME 13 120,,,unresolved,
NT_033777.3,28854461,28857305,-,1.0000,395,9,0,present,sp|Q9VAS7|INX3_DROME 1 395,,,unresolved,
NT_037436.4,2940895,2941332,+,0.5959,146,1,0,weak,candidate_inx_008 49 194,,,unresolved,
NT_037436.4,6604678,6605909,-,1.0000,367,11,0,present,sp|Q9VRX6|INX4_DROME 1 367,,,unresolved,
