organism,family,exact_annotation_found,related_annotation_found,final_category,confidence,top_matching_term,database_source,search_level,top_accession,top_gene_symbol,top_protein_name,level_a_hit_count,level_b_hit_count,example_query
Abra alba,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Abra alba,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Abra alba,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Abra segmentum,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Abra segmentum,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Abra segmentum,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthascus dawsoni,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthascus dawsoni,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthascus dawsoni,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthocardia echinata,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthocardia echinata,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthocardia echinata,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthochitona discrepans,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthochitona discrepans,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acanthochitona discrepans,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acartia tonsa,connexin,no,yes,related_or_family_like_entry_found,medium,innexin 2,ncbi_gene,B,145316485,Inx2,innexin 2,0,5,"""gap junction""[All Fields] AND ""Acartia tonsa""[Organism]"
Acartia tonsa,innexin,yes,no,annotated_family_member_found,high,innexin,ncbi_gene,A,145316485,Inx2,innexin 2,6,0,"innexin[All Fields] AND ""Acartia tonsa""[Organism]"
Acartia tonsa,pannexin,no,yes,related_or_family_like_entry_found,medium,innexin 2,ncbi_gene,B,145316485,Inx2,innexin 2,0,5,"""gap junction""[All Fields] AND ""Acartia tonsa""[Organism]"
Acropora austera,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora austera,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora austera,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora cervicornis,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora cervicornis,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora cervicornis,pannexin,yes,no,annotated_family_member_found,high,pannexin,uniprot,A,A0AAD9R0U3,,Pannexin-2,1,0,"organism_name:""Acropora cervicornis"" AND protein_name:pannexin"
Acropora cf. manni,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora cf. manni,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora cf. manni,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora glauca,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora glauca,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora glauca,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora hyacinthus,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora hyacinthus,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora hyacinthus,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora millepora,connexin,no,no,no_related_entry_found,,,,,,,,1,0,
Acropora millepora,innexin,no,no,no_related_entry_found,,,,,,,,0,0,
Acropora millepora,pannexin,yes,no,annotated_family_member_found,high,pannexin,ncbi_gene,A,114959178,LOC114959178,pannexin-2-like,1,0,"pannexin[All Fields] AND ""Acropora millepora""[Organism]"
Adineta ricciae,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Adineta ricciae,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A813U6J4,inx,Innexin,10,0,"organism_name:""Adineta ricciae"" AND protein_name:innexin"
Adineta ricciae,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Adineta steineri,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
Adineta steineri,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A815VC03,inx,Innexin,10,0,"organism_name:""Adineta steineri"" AND protein_name:innexin"
Adineta steineri,pannexin,no,no,no_related_entry_found,,,,,,,,0,0,
Adineta vaga,connexin,no,no,no_related_entry_found,,,,,,,,0,0,
