gene,accession,source_species,target_genome,genes_discovered,synteny_hits,total_annotations,flanking_annotations,goi_annotations,confident_goi,probable_goi,ambiguous_goi,goi_high_confidence,goi_medium_confidence,goi_low_confidence
ogre,P27716,Drosophila_melanogaster,GCA_018908115.1,157,,157,105,52,1,1,45,1,1,50
ogre,P27716,Drosophila_melanogaster,GCA_951394115.2,148,,148,91,57,,1,45,0,4,53
ogre,P27716,Drosophila_melanogaster,GCA_963924055.1,117,,117,69,48,,5,41,0,6,42
ogre,P27716,Drosophila_melanogaster,GCA_963969585.1,125,,125,67,58,,,46,0,6,52
ogre,P27716,Drosophila_melanogaster,GCF_011750605.1,192,,192,136,56,1,2,45,1,4,51
Inx2,Q9V427,Drosophila_melanogaster,GCA_018908115.1,25,,25,21,4,,,4,0,0,4
Inx2,Q9V427,Drosophila_melanogaster,GCA_951394115.2,21,,21,16,5,,,5,0,0,5
Inx2,Q9V427,Drosophila_melanogaster,GCA_963924055.1,71,,71,43,28,,1,19,0,1,27
Inx2,Q9V427,Drosophila_melanogaster,GCA_963969585.1,34,,34,25,9,,1,8,0,1,8
Inx2,Q9V427,Drosophila_melanogaster,GCF_011750605.1,51,,51,39,12,,1,11,0,1,11
Inx3,Q9VAS7,Drosophila_melanogaster,GCA_018908115.1,146,,146,103,43,,,41,0,0,43
Inx3,Q9VAS7,Drosophila_melanogaster,GCA_951394115.2,142,,142,98,44,,,37,0,2,42
Inx3,Q9VAS7,Drosophila_melanogaster,GCA_963924055.1,151,,151,106,45,,,38,0,1,44
Inx3,Q9VAS7,Drosophila_melanogaster,GCA_963969585.1,108,,108,73,35,,,26,0,1,34
Inx3,Q9VAS7,Drosophila_melanogaster,GCF_011750605.1,168,,168,136,32,,2,28,0,2,30
shakB,P33085,Drosophila_melanogaster,GCA_951394115.2,34,,34,33,1,,,1,0,,1
shakB,P33085,Drosophila_melanogaster,GCA_963969585.1,24,,24,24,0,,,,0,0,0
shakB,P33085,Drosophila_melanogaster,GCF_011750605.1,28,,28,27,1,1,,,1,0,0
inx-2,Q9U3K5,Caenorhabditis_elegans,GCA_963978915.1,12,,12,11,1,,1,,0,1,0
inx-2,Q9U3K5,Caenorhabditis_elegans,GCA_964036275.1,4,,4,2,2,,,,0,1,1
inx-2,Q9U3K5,Caenorhabditis_elegans,GCF_000004555.2,71,,71,68,3,1,1,1,1,1,1
