seqid,start,end,strand,identity,aa_length,cys,stops,verdict,target,el1_cys,el2_cys,el_motif,tm_pred
OX578135.1,22005959,22007020,+,0.4873,354,11,0,present,sp|Q9XYN1|INX2_SCHAM 6 359,2,2,pass,4
OX578135.1,22021857,22022957,+,0.5734,367,11,0,present,sp|Q9V427|INX2_DROME 1 367,2,2,pass,5
OX578135.1,22040277,22041353,+,0.5706,352,10,0,present,recovered_Aegaeobuthus_cyprius_best 1 354,2,2,pass,5
OX578135.1,22068950,22070029,-,0.5253,355,9,0,present,sp|Q9V427|INX2_DROME 1 355,2,2,pass,4
OX578135.1,22157486,22158565,-,0.4890,360,9,0,present,sp|Q1DH70|SHAKB_AEDAE 1 361,,,unresolved,0
OX578135.1,22333024,22334109,-,0.5193,361,9,1,fragmentary,sp|Q9XYN1|INX2_SCHAM 1 359,5,0,fail,4
OX578136.1,50015264,50020249,+,0.4034,355,10,0,present,sp|P33085|SHAKB_DROME 1 357,,,unresolved,0
OX578137.1,159953660,159954133,-,0.4494,158,2,0,weak,candidate_inx_008 50 194,,,unresolved,0
OX578143.1,20044306,20045142,-,0.5000,361,8,1,present,sp|Q9XYN1|INX2_SCHAM 1 359,3,2,pass,5
OX578143.1,91805100,91806209,+,0.4382,370,12,0,present,sp|P33085|SHAKB_DROME 1 372,,,unresolved,0
OX578143.1,91948787,91949866,+,0.4139,359,6,0,present,sp|P27716|INX1_DROME 1 359,2,2,pass,4
OX578143.1,92003010,92004098,+,0.2668,360,8,0,present,recovered_Abra_segmentum_best 1 368,2,2,pass,4
OX578143.1,93836960,93838057,+,0.4971,341,10,0,present,sp|Q9V427|INX2_DROME 9 349,2,2,pass,4
OX578144.1,139679361,139680403,-,0.4416,298,5,2,weak,sp|Q9XYN1|INX2_SCHAM 1 350,,,unresolved,0
OX578144.1,139714184,139715248,+,0.2769,295,6,0,present,sp|O01393|UNC9_CAEEL 1 303,2,3,pass,4
OX578144.1,139756900,139757964,+,0.2800,295,6,0,present,sp|O01393|UNC9_CAEEL 1 303,2,3,pass,4
OX578144.1,139763882,139764937,+,0.4183,352,6,0,present,sp|Q9XYN1|INX2_SCHAM 1 359,,,unresolved,0
OX578147.1,128922892,128923323,+,0.5959,144,1,0,weak,candidate_inx_008 49 194,,,unresolved,3
OX578150.1,109351115,109351549,-,0.5959,145,1,0,weak,candidate_inx_008 49 194,,,unresolved,3
