seqid,start,end,strand,identity,aa_length,cys,stops,verdict,target,el1_cys,el2_cys,el_motif,tm_pred
NC_137262.1,4137592,4169251,-,0.3937,285,4,0,present,sp|Q9VAS7|INX3_DROME 58 337,,,unresolved,0
NC_137262.1,4150541,4169251,-,0.4496,238,4,0,fragmentary,sp|Q9XYN1|INX2_SCHAM 52 285,,,unresolved,0
NC_137263.1,13436177,13441687,+,0.4916,179,2,0,weak,candidate_inx_008 35 194,,,unresolved,3
NC_137263.1,17379775,17417008,-,0.4855,337,8,0,present,sp|P27716|INX1_DROME 1 343,2,2,pass,4
NC_137263.1,17389124,17417008,-,0.4855,337,8,0,present,sp|P27716|INX1_DROME 1 343,2,2,pass,4
NC_137263.1,17390806,17400115,-,0.4855,337,8,0,present,sp|P27716|INX1_DROME 1 343,2,2,pass,4
NC_137263.1,17650614,17688963,-,0.6788,357,9,0,present,sp|Q1DH70|SHAKB_AEDAE 1 356,2,2,pass,4
NC_137263.1,17671943,17688963,-,0.6947,356,9,0,present,sp|P33085|SHAKB_DROME 1 357,2,2,pass,4
NC_137263.1,17675051,17679361,-,0.6947,356,9,0,present,sp|P33085|SHAKB_DROME 1 357,2,2,pass,4
NC_137263.1,17686807,17688963,-,0.6947,356,9,0,present,sp|P33085|SHAKB_DROME 1 357,2,2,pass,4
NC_137263.1,17867283,17905406,+,0.4463,362,13,0,present,sp|P27716|INX1_DROME 1 362,2,2,pass,4
NC_137263.1,17878821,17905406,+,0.4463,362,13,0,present,sp|P27716|INX1_DROME 1 362,2,2,pass,4
NC_137263.1,17897853,17905406,+,0.4463,362,13,0,present,sp|P27716|INX1_DROME 1 362,2,2,pass,4
NC_137263.1,23536043,23536411,+,0.6826,355,6,0,present,sp|P33085|SHAKB_DROME 1 356,2,2,pass,4
NC_137263.1,23585223,23593020,+,0.6826,355,6,0,present,sp|P33085|SHAKB_DROME 1 356,2,2,pass,4
NC_137263.1,23613023,23627877,+,0.6462,359,10,0,present,sp|Q9XYN1|INX2_SCHAM 1 359,3,2,pass,4
NC_137263.1,23619578,23627309,+,0.6431,353,10,0,present,sp|Q9V427|INX2_DROME 1 353,3,2,pass,4
NC_137263.1,23622624,23627877,+,0.6462,359,10,0,present,sp|Q9XYN1|INX2_SCHAM 1 359,3,2,pass,4
NC_137265.1,42067461,42067943,+,0.5093,161,3,0,weak,candidate_inx_008 49 194,,,unresolved,2
NC_137266.1,9565650,9582474,+,0.4744,343,10,0,present,sp|Q9V427|INX2_DROME 1 351,,,unresolved,0
NC_137266.1,9572915,9582477,+,0.4402,368,10,0,present,sp|Q9XYN1|INX2_SCHAM 1 352,,,unresolved,0
NC_137268.1,6949286,6954427,+,0.4366,279,10,0,fragmentary,sp|P27716|INX1_DROME 1 280,,,unresolved,0
NC_137268.1,6954290,6962279,+,0.3333,110,3,0,weak,sp|Q9VWL5|INX5_DROME 289 401,,,unresolved,0
NC_137269.1,2492441,2501347,+,0.4120,247,3,0,fragmentary,sp|Q9VAS7|INX3_DROME 66 310,,,unresolved,0
NC_137272.1,35579556,35589421,+,0.4759,351,9,0,present,sp|Q9XYN1|INX2_SCHAM 1 349,,,unresolved,0
NC_137272.1,35583004,35589421,+,0.4940,249,5,0,fragmentary,sp|Q9V427|INX2_DROME 101 349,,,unresolved,0
NC_137272.1,46262901,46272359,-,0.4493,222,5,0,fragmentary,sp|Q9VAS7|INX3_DROME 73 299,,,unresolved,0
NC_137274.1,20388411,20410159,+,0.6574,324,8,0,present,sp|P33085|SHAKB_DROME 23 345,,,unresolved,3
NC_137274.1,20392426,20407875,+,0.6574,324,8,0,present,sp|P33085|SHAKB_DROME 23 345,,,unresolved,3
NC_137274.1,20396518,20399567,+,0.6574,324,8,0,present,sp|P33085|SHAKB_DROME 23 345,,,unresolved,3
NC_137274.1,22130533,22179726,-,0.4924,327,8,0,present,sp|P27716|INX1_DROME 23 347,,,unresolved,3
NC_137274.1,22144102,22179741,-,0.6636,324,7,0,present,sp|Q1DH70|SHAKB_AEDAE 23 345,,,unresolved,3
NC_137274.1,22149280,22180508,-,0.6636,324,7,0,present,sp|Q1DH70|SHAKB_AEDAE 23 345,,,unresolved,3
NC_137274.1,22150130,22159878,-,0.6605,324,8,0,present,sp|P33085|SHAKB_DROME 23 345,,,unresolved,3
NW_027649598.1,32260,61475,+,0.3844,310,4,0,present,sp|Q1DH70|SHAKB_AEDAE 60 372,,,unresolved,0
NW_027649598.1,45962,47883,+,0.3905,105,1,0,weak,sp|Q9V427|INX2_DROME 138 242,,,unresolved,0
