seqid,start,end,strand,identity,aa_length,cys,stops,verdict,target,el1_cys,el2_cys,el_motif,tm_pred
CAJNOJ010000006.1,265306,266692,-,0.3432,372,8,0,present,sp|O01393|UNC9_CAEEL 20 369,2,2,pass,4
CAJNOJ010000007.1,297776,299163,-,0.3026,379,7,0,present,sp|Q03412|UNC7_CAEEL 136 509,,,unresolved,0
CAJNOJ010000009.1,407234,409084,-,0.3540,386,8,0,present,sp|O01393|UNC9_CAEEL 1 375,2,4,pass,5
CAJNOJ010000018.1,356585,357175,+,0.9340,197,3,0,fragmentary,candidate_inx_008 1 197,,,unresolved,2
CAJNOJ010000020.1,237386,239068,-,0.3359,381,6,0,present,sp|O01393|UNC9_CAEEL 20 386,,,unresolved,0
CAJNOJ010000024.1,517813,518397,-,0.8163,195,3,0,fragmentary,candidate_inx_008 1 196,,,unresolved,2
CAJNOJ010000030.1,78506,80153,+,0.3557,387,8,0,present,sp|O01393|UNC9_CAEEL 1 375,2,4,pass,5
CAJNOJ010000035.1,116559,117146,+,0.8071,196,2,0,fragmentary,candidate_inx_008 1 197,,,unresolved,3
CAJNOJ010000040.1,104137,105843,-,0.3606,391,9,0,present,sp|O01393|UNC9_CAEEL 16 372,,,unresolved,0
CAJNOJ010000040.1,339890,341225,-,0.3603,408,7,0,present,sp|O01393|UNC9_CAEEL 1 382,,,unresolved,0
CAJNOJ010000041.1,75273,76391,-,0.3250,373,11,0,present,sp|Q03412|UNC7_CAEEL 115 510,,,unresolved,0
CAJNOJ010000043.1,384163,385557,+,0.3342,376,9,0,present,sp|Q03412|UNC7_CAEEL 136 497,2,2,pass,4
CAJNOJ010000079.1,282569,284508,-,0.3820,367,8,0,present,sp|Q03412|UNC7_CAEEL 136 506,,,unresolved,0
CAJNOJ010000126.1,99562,100799,-,0.3711,379,8,0,present,sp|O01393|UNC9_CAEEL 20 376,,,unresolved,0
CAJNOJ010000146.1,63124,65056,-,0.3956,185,6,16,weak,sp|O01393|UNC9_CAEEL 16 377,,,unresolved,0
CAJNOJ010000169.1,98836,100021,+,0.3453,361,10,0,present,sp|O01393|UNC9_CAEEL 20 372,,,unresolved,0
CAJNOJ010000207.1,139589,140774,+,0.3425,361,10,0,present,sp|O01393|UNC9_CAEEL 20 372,,,unresolved,0
CAJNOJ010000539.1,34731,35846,-,0.7819,371,6,1,present,candidate_inx_028 1 376,,,unresolved,1
