seq_id,organism,organism_key,gene,accession,panx_type,clade,length,cys_count,source,bottleneck_clade
panx|Xenopus_laevis|panx1.L|A0A1L8HJE1,Xenopus laevis,Xenopus_laevis,panx1.L,A0A1L8HJE1,PANX1,Amphibian,428,10,reference_panel,no
panx|Xenopus_laevis|panx2.L|A0A8J0UPJ5,Xenopus laevis,Xenopus_laevis,panx2.L,A0A8J0UPJ5,PANX2,Amphibian,688,16,reference_panel,no
panx|Xenopus_laevis|panx2.S|A0A1L8GU32,Xenopus laevis,Xenopus_laevis,panx2.S,A0A1L8GU32,PANX2,Amphibian,675,11,reference_panel,no
panx|Xenopus_laevis|panx3.L|A0A8J0T8Y2,Xenopus laevis,Xenopus_laevis,panx3.L,A0A8J0T8Y2,PANX3,Amphibian,408,12,reference_panel,no
panx|Xenopus_laevis|panx3.S|A0A1L8FFR9,Xenopus laevis,Xenopus_laevis,panx3.S,A0A1L8FFR9,PANX3,Amphibian,408,11,reference_panel,no
panx|Xenopus_tropicalis|panx1|B3DLA5,Xenopus tropicalis,Xenopus_tropicalis,panx1,B3DLA5,PANX1,Amphibian,428,10,reference_panel,no
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,Xenopus tropicalis,Xenopus_tropicalis,panx2,A0A8J0SJZ3,PANX2,Amphibian,675,10,reference_panel,no
panx|Xenopus_tropicalis|panx3|F7D9M9,Xenopus tropicalis,Xenopus_tropicalis,panx3,F7D9M9,PANX3,Amphibian,408,12,reference_panel,no
panx|Gallus_gallus|PANX1|A0A1D5P0I0,Gallus gallus,Gallus_gallus,PANX1,A0A1D5P0I0,PANX1,Bird,433,11,reference_panel,no
panx|Gallus_gallus|PANX2|A0A8V0XA00,Gallus gallus,Gallus_gallus,PANX2,A0A8V0XA00,PANX2,Bird,572,10,reference_panel,no
panx|Gallus_gallus|PANX3|A0A8V1A6C8,Gallus gallus,Gallus_gallus,PANX3,A0A8V1A6C8,PANX3,Bird,429,11,reference_panel,no
panx|Callorhinchus_milii|A0A4W3ILW5|A0A4W3ILW5,Callorhinchus milii,Callorhinchus_milii,A0A4W3ILW5,A0A4W3ILW5,PANX1,Cartilaginous fish,420,9,reference_panel,no
