family,organism,accession,gene_name,protein_name,review_status,status,file_path,error
innexin,Aedes aegypti,Q1DH70,shakB,Innexin shaking-B,reviewed,downloaded,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,
innexin,Anopheles gambiae,Q7Q5R9,ZPG,Innexin inx4,reviewed,downloaded,project/data/references/innexins/Anopheles_gambiae/ZPG__Q7Q5R9.fasta,
innexin,Anopheles gambiae,Q7PXN1,shakB,Innexin shaking-B,reviewed,downloaded,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,
innexin,Caenorhabditis briggsae,A8WVX4,inx-19,Innexin-19,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_briggsae/inx-19__A8WVX4.fasta,
innexin,Caenorhabditis elegans,Q19746,inx-3,Innexin-3,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/inx-3__Q19746.fasta,
innexin,Caenorhabditis elegans,Q03412,unc-7,Innexin unc-7,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/unc-7__Q03412.fasta,
innexin,Caenorhabditis elegans,O61715,inx-19,Innexin-19,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/inx-19__O61715.fasta,
innexin,Caenorhabditis elegans,O01634,inx-12,Innexin-12,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/inx-12__O01634.fasta,
innexin,Caenorhabditis elegans,O61787,inx-16,Innexin-16,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/inx-16__O61787.fasta,
innexin,Caenorhabditis elegans,O01393,unc-9,Innexin unc-9,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/unc-9__O01393.fasta,
innexin,Caenorhabditis elegans,O61788,inx-17,Innexin-17,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/inx-17__O61788.fasta,
innexin,Caenorhabditis elegans,O62136,inx-14,Innexin-14,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/inx-14__O62136.fasta,
innexin,Caenorhabditis elegans,Q22549,inx-10,Innexin-10,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/inx-10__Q22549.fasta,
innexin,Caenorhabditis elegans,Q21123,inx-7,Innexin-7,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/inx-7__Q21123.fasta,
innexin,Caenorhabditis elegans,Q23027,inx-5,Innexin-5,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/inx-5__Q23027.fasta,
innexin,Caenorhabditis elegans,Q23593,inx-8,Innexin-8,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/inx-8__Q23593.fasta,
innexin,Caenorhabditis elegans,Q23157,inx-11,Innexin-11,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/inx-11__Q23157.fasta,
innexin,Caenorhabditis elegans,Q27295,eat-5,Innexin eat-5,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/eat-5__Q27295.fasta,
innexin,Caenorhabditis elegans,Q9U3N4,inx-6,Innexin-6,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/inx-6__Q9U3N4.fasta,
innexin,Caenorhabditis elegans,Q9U3K5,inx-2,Innexin-2,reviewed,downloaded,project/data/references/innexins/Caenorhabditis_elegans/inx-2__Q9U3K5.fasta,
innexin,Drosophila melanogaster,Q9VAS7,Inx3,Innexin inx3,reviewed,downloaded,project/data/references/innexins/Drosophila_melanogaster/Inx3__Q9VAS7.fasta,
innexin,Drosophila melanogaster,Q9VRX6,zpg,Innexin inx4,reviewed,downloaded,project/data/references/innexins/Drosophila_melanogaster/zpg__Q9VRX6.fasta,
innexin,Drosophila melanogaster,P27716,ogre,Innexin inx1,reviewed,downloaded,project/data/references/innexins/Drosophila_melanogaster/ogre__P27716.fasta,
innexin,Drosophila melanogaster,Q9V427,Inx2,Innexin inx2,reviewed,downloaded,project/data/references/innexins/Drosophila_melanogaster/Inx2__Q9V427.fasta,
innexin,Drosophila melanogaster,P33085,shakB,Innexin shaking-B,reviewed,downloaded,project/data/references/innexins/Drosophila_melanogaster/shakB__P33085.fasta,
innexin,Drosophila melanogaster,Q9V3W6,Inx7,Innexin inx7,reviewed,downloaded,project/data/references/innexins/Drosophila_melanogaster/Inx7__Q9V3W6.fasta,
innexin,Drosophila melanogaster,Q9VR82,Inx6,Innexin inx6,reviewed,downloaded,project/data/references/innexins/Drosophila_melanogaster/Inx6__Q9VR82.fasta,
innexin,Drosophila melanogaster,Q9VWL5,Inx5,Innexin inx5,reviewed,downloaded,project/data/references/innexins/Drosophila_melanogaster/Inx5__Q9VWL5.fasta,
innexin,Schistocerca americana,Q9XYN0,inx1,Innexin inx1,reviewed,downloaded,project/data/references/innexins/Schistocerca_americana/inx1__Q9XYN0.fasta,
innexin,Schistocerca americana,Q9XYN1,inx2,Innexin inx2,reviewed,downloaded,project/data/references/innexins/Schistocerca_americana/inx2__Q9XYN1.fasta,
connexin,Bos taurus,P18246,GJA1,Gap junction alpha-1 protein,reviewed,downloaded,project/data/references/connexins/Bos_taurus/GJA1__P18246.fasta,
connexin,Bos taurus,P41987,GJA3,Gap junction alpha-3 protein,reviewed,downloaded,project/data/references/connexins/Bos_taurus/GJA3__P41987.fasta,
connexin,Bos taurus,Q0VCR2,GJA5,Gap junction alpha-5 protein,reviewed,downloaded,project/data/references/connexins/Bos_taurus/GJA5__Q0VCR2.fasta,
connexin,Bos taurus,A4IFL1,GJA4,Gap junction alpha-4 protein,reviewed,downloaded,project/data/references/connexins/Bos_taurus/GJA4__A4IFL1.fasta,
connexin,Bos taurus,A2VE67,GJB2,Gap junction beta-2 protein,reviewed,downloaded,project/data/references/connexins/Bos_taurus/GJB2__A2VE67.fasta,
connexin,Bos taurus,O18968,GJB1,Gap junction beta-1 protein,reviewed,downloaded,project/data/references/connexins/Bos_taurus/GJB1__O18968.fasta,
connexin,Bos taurus,Q58D78,GJB3,Gap junction beta-3 protein,reviewed,downloaded,project/data/references/connexins/Bos_taurus/GJB3__Q58D78.fasta,
connexin,Bos taurus,Q866T7,GJD2,Gap junction delta-2 protein,reviewed,downloaded,project/data/references/connexins/Bos_taurus/GJD2__Q866T7.fasta,
connexin,Canis lupus familiaris,Q6S9C0,GJA1,Gap junction alpha-1 protein,reviewed,downloaded,project/data/references/connexins/Canis_lupus_familiaris/GJA1__Q6S9C0.fasta,
connexin,Canis lupus familiaris,P33725,GJA5,Gap junction alpha-5 protein,reviewed,downloaded,project/data/references/connexins/Canis_lupus_familiaris/GJA5__P33725.fasta,
connexin,Canis lupus familiaris,P28228,GJC1,Gap junction gamma-1 protein,reviewed,downloaded,project/data/references/connexins/Canis_lupus_familiaris/GJC1__P28228.fasta,
connexin,Chlorocebus sabaeus,Q6TYA9,GJA1,Gap junction alpha-1 protein,reviewed,downloaded,project/data/references/connexins/Chlorocebus_sabaeus/GJA1__Q6TYA9.fasta,
connexin,Cricetulus griseus,Q6R4A8,GJC1,Gap junction gamma-1 protein,reviewed,downloaded,project/data/references/connexins/Cricetulus_griseus/GJC1__Q6R4A8.fasta,
connexin,Danio rerio,O57474,gja1,Gap junction alpha-1 protein,reviewed,downloaded,project/data/references/connexins/Danio_rerio/gja1__O57474.fasta,
connexin,Danio rerio,Q92052,gjc1,Gap junction gamma-1 protein,reviewed,downloaded,project/data/references/connexins/Danio_rerio/gjc1__Q92052.fasta,
connexin,Danio rerio,U3JA75,cx23,Gap junction epsilon-1 protein,reviewed,downloaded,project/data/references/connexins/Danio_rerio/cx23__U3JA75.fasta,
connexin,Danio rerio,Q7T047,cx32.2,Gap junction Cx32.2 protein,reviewed,downloaded,project/data/references/connexins/Danio_rerio/cx32.2__Q7T047.fasta,
connexin,Equus caballus,Q6WGK6,GJB1,Gap junction beta-1 protein,reviewed,downloaded,project/data/references/connexins/Equus_caballus/GJB1__Q6WGK6.fasta,
connexin,Erinaceus europaeus,Q6TYA8,GJA1,Gap junction alpha-1 protein,reviewed,downloaded,project/data/references/connexins/Erinaceus_europaeus/GJA1__Q6TYA8.fasta,
connexin,Gallus gallus,P36381,GJA8,Gap junction alpha-8 protein,reviewed,downloaded,project/data/references/connexins/Gallus_gallus/GJA8__P36381.fasta,
connexin,Gallus gallus,P18861,GJC1,Gap junction gamma-1 protein,reviewed,downloaded,project/data/references/connexins/Gallus_gallus/GJC1__P18861.fasta,
connexin,Gallus gallus,P14154,GJA1,Gap junction alpha-1 protein,reviewed,downloaded,project/data/references/connexins/Gallus_gallus/GJA1__P14154.fasta,
connexin,Gallus gallus,P18860,GJA5,Gap junction alpha-5 protein,reviewed,downloaded,project/data/references/connexins/Gallus_gallus/GJA5__P18860.fasta,
connexin,Gallus gallus,P29415,GJA3,Gap junction alpha-3 protein,reviewed,downloaded,project/data/references/connexins/Gallus_gallus/GJA3__P29415.fasta,
connexin,Gallus gallus,O93533,GJB6,Gap junction beta-6 protein,reviewed,downloaded,project/data/references/connexins/Gallus_gallus/GJB6__O93533.fasta,
connexin,Gorilla gorilla gorilla,Q8MHW5,GJB2,Gap junction beta-2 protein,reviewed,downloaded,project/data/references/connexins/Gorilla_gorilla_gorilla/GJB2__Q8MHW5.fasta,
connexin,Homo sapiens,Q5T442,GJC2,Gap junction gamma-2 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJC2__Q5T442.fasta,
connexin,Homo sapiens,P36382,GJA5,Gap junction alpha-5 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJA5__P36382.fasta,
connexin,Homo sapiens,Q9Y6H8,GJA3,Gap junction alpha-3 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJA3__Q9Y6H8.fasta,
connexin,Homo sapiens,P29033,GJB2,Gap junction beta-2 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJB2__P29033.fasta,
connexin,Homo sapiens,P35212,GJA4,Gap junction alpha-4 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJA4__P35212.fasta,
connexin,Homo sapiens,O75712,GJB3,Gap junction beta-3 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJB3__O75712.fasta,
connexin,Homo sapiens,O95452,GJB6,Gap junction beta-6 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJB6__O95452.fasta,
connexin,Homo sapiens,Q9NTQ9,GJB4,Gap junction beta-4 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJB4__Q9NTQ9.fasta,
connexin,Homo sapiens,O95377,GJB5,Gap junction beta-5 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJB5__O95377.fasta,
connexin,Homo sapiens,P48165,GJA8,Gap junction alpha-8 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJA8__P48165.fasta,
connexin,Homo sapiens,Q9UKL4,GJD2,Gap junction delta-2 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJD2__Q9UKL4.fasta,
connexin,Homo sapiens,P36383,GJC1,Gap junction gamma-1 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJC1__P36383.fasta,
connexin,Homo sapiens,P08034,GJB1,Gap junction beta-1 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJB1__P08034.fasta,
connexin,Homo sapiens,P17302,GJA1,Gap junction alpha-1 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJA1__P17302.fasta,
connexin,Homo sapiens,Q8N144,GJD3,Gap junction delta-3 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJD3__Q8N144.fasta,
connexin,Homo sapiens,Q4ADV7,RIC1,Guanine nucleotide exchange factor subunit RIC1,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/RIC1__Q4ADV7.fasta,
connexin,Homo sapiens,P57773,GJA9,Gap junction alpha-9 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJA9__P57773.fasta,
connexin,Homo sapiens,Q6PEY0,GJB7,Gap junction beta-7 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJB7__Q6PEY0.fasta,
connexin,Homo sapiens,Q969M2,GJA10,Gap junction alpha-10 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJA10__Q969M2.fasta,
connexin,Homo sapiens,Q8NFK1,GJC3,Gap junction gamma-3 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJC3__Q8NFK1.fasta,
connexin,Homo sapiens,Q96KN9,GJD4,Gap junction delta-4 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJD4__Q96KN9.fasta,
connexin,Homo sapiens,A6NN92,GJE1,Gap junction epsilon-1 protein,reviewed,downloaded,project/data/references/connexins/Homo_sapiens/GJE1__A6NN92.fasta,
connexin,Hylobates moloch,Q7JGL3,GJB2,Gap junction beta-2 protein,reviewed,downloaded,project/data/references/connexins/Hylobates_moloch/GJB2__Q7JGL3.fasta,
connexin,Leucoraja erinaceus,P69998,,Gap junction delta-2 protein,reviewed,downloaded,project/data/references/connexins/Leucoraja_erinaceus/P69998__P69998.fasta,
connexin,Macaca fascicularis,Q4R4S7,GJA1,Gap junction alpha-1 protein,reviewed,downloaded,project/data/references/connexins/Macaca_fascicularis/GJA1__Q4R4S7.fasta,
connexin,Macaca fascicularis,Q60HF7,GJB1,Gap junction beta-1 protein,reviewed,downloaded,project/data/references/connexins/Macaca_fascicularis/GJB1__Q60HF7.fasta,
connexin,Macaca fascicularis,Q9N0B3,GJD4,Gap junction delta-4 protein,reviewed,downloaded,project/data/references/connexins/Macaca_fascicularis/GJD4__Q9N0B3.fasta,
connexin,Macaca mulatta,Q8MIT8,GJB2,Gap junction beta-2 protein,reviewed,downloaded,project/data/references/connexins/Macaca_mulatta/GJB2__Q8MIT8.fasta,
connexin,Mesocricetus auratus,Q6PYT3,GJC1,Gap junction gamma-1 protein,reviewed,downloaded,project/data/references/connexins/Mesocricetus_auratus/GJC1__Q6PYT3.fasta,
connexin,Mus musculus,Q00977,Gjb2,Gap junction beta-2 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gjb2__Q00977.fasta,
connexin,Mus musculus,P28230,Gjb1,Gap junction beta-1 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gjb1__P28230.fasta,
connexin,Mus musculus,P28231,Gjb3,Gap junction beta-3 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gjb3__P28231.fasta,
connexin,Mus musculus,Q01231,Gja5,Gap junction alpha-5 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gja5__Q01231.fasta,
connexin,Mus musculus,P70689,Gjb6,Gap junction beta-6 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gjb6__P70689.fasta,
connexin,Mus musculus,Q9CX92,Gje1,Gap junction epsilon-1 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gje1__Q9CX92.fasta,
connexin,Mus musculus,Q9WUS4,Gja10,Gap junction alpha-10 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gja10__Q9WUS4.fasta,
connexin,Mus musculus,Q02738,Gjb4,Gap junction beta-4 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gjb4__Q02738.fasta,
connexin,Mus musculus,P28236,Gja8,Gap junction alpha-8 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gja8__P28236.fasta,
connexin,Mus musculus,Q8BQU6,Gjc2,Gap junction gamma-2 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gjc2__Q8BQU6.fasta,
connexin,Mus musculus,P28229,Gjc1,Gap junction gamma-1 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gjc1__P28229.fasta,
connexin,Mus musculus,O54851,Gjd2,Gap junction delta-2 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gjd2__O54851.fasta,
connexin,Mus musculus,P23242,Gja1,Gap junction alpha-1 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gja1__P23242.fasta,
connexin,Mus musculus,Q91YD1,Gjd3,Gap junction delta-3 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gjd3__Q91YD1.fasta,
connexin,Mus musculus,P28235,Gja4,Gap junction alpha-4 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gja4__P28235.fasta,
connexin,Mus musculus,Q64448,Gja3,Gap junction alpha-3 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gja3__Q64448.fasta,
connexin,Mus musculus,Q02739,Gjb5,Gap junction beta-5 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gjb5__Q02739.fasta,
connexin,Mus musculus,Q921C1,Gjc3,Gap junction gamma-3 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gjc3__Q921C1.fasta,
connexin,Mus musculus,Q6S5G4,Gja6,Gap junction alpha-6 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gja6__Q6S5G4.fasta,
connexin,Mus musculus,Q8BSD4,Gjd4,Gap junction delta-4 protein,reviewed,downloaded,project/data/references/connexins/Mus_musculus/Gjd4__Q8BSD4.fasta,
connexin,Oryctolagus cuniculus,Q6TYA7,GJA1,Gap junction alpha-1 protein,reviewed,downloaded,project/data/references/connexins/Oryctolagus_cuniculus/GJA1__Q6TYA7.fasta,
connexin,Ovis aries,Q9TU17,GJA3,Gap junction alpha-3 protein,reviewed,downloaded,project/data/references/connexins/Ovis_aries/GJA3__Q9TU17.fasta,
connexin,Ovis aries,P55917,GJA8,Gap junction alpha-8 protein,reviewed,downloaded,project/data/references/connexins/Ovis_aries/GJA8__P55917.fasta,
connexin,Ovis aries,P46691,GJB2,Gap junction beta-2 protein,reviewed,downloaded,project/data/references/connexins/Ovis_aries/GJB2__P46691.fasta,
connexin,Pongo pygmaeus,Q8MIT9,GJB2,Gap junction beta-2 protein,reviewed,downloaded,project/data/references/connexins/Pongo_pygmaeus/GJB2__Q8MIT9.fasta,
connexin,Rattus norvegicus,P28234,Gja5,Gap junction alpha-5 protein,reviewed,downloaded,project/data/references/connexins/Rattus_norvegicus/Gja5__P28234.fasta,
connexin,Rattus norvegicus,Q8K4Q9,Gja8,Gap junction alpha-8 protein,reviewed,downloaded,project/data/references/connexins/Rattus_norvegicus/Gja8__Q8K4Q9.fasta,
connexin,Rattus norvegicus,P21994,Gjb2,Gap junction beta-2 protein,reviewed,downloaded,project/data/references/connexins/Rattus_norvegicus/Gjb2__P21994.fasta,
connexin,Rattus norvegicus,P29414,Gja3,Gap junction alpha-3 protein,reviewed,downloaded,project/data/references/connexins/Rattus_norvegicus/Gja3__P29414.fasta,
connexin,Rattus norvegicus,Q03190,Gja4,Gap junction alpha-4 protein,reviewed,downloaded,project/data/references/connexins/Rattus_norvegicus/Gja4__Q03190.fasta,
connexin,Rattus norvegicus,Q80XF7,Gjc2,Gap junction gamma-2 protein,reviewed,downloaded,project/data/references/connexins/Rattus_norvegicus/Gjc2__Q80XF7.fasta,
connexin,Rattus norvegicus,A4GG66,Gjc1,Gap junction gamma-1 protein,reviewed,downloaded,project/data/references/connexins/Rattus_norvegicus/Gjc1__A4GG66.fasta,
connexin,Rattus norvegicus,P08033,Gjb1,Gap junction beta-1 protein,reviewed,downloaded,project/data/references/connexins/Rattus_norvegicus/Gjb1__P08033.fasta,
connexin,Rattus norvegicus,P08050,Gja1,Gap junction alpha-1 protein,reviewed,downloaded,project/data/references/connexins/Rattus_norvegicus/Gja1__P08050.fasta,
connexin,Rattus norvegicus,P25305,Gjb3,Gap junction beta-3 protein,reviewed,downloaded,project/data/references/connexins/Rattus_norvegicus/Gjb3__P25305.fasta,
connexin,Rattus norvegicus,P28233,Gja6,Gap junction alpha-6 protein,reviewed,downloaded,project/data/references/connexins/Rattus_norvegicus/Gja6__P28233.fasta,
connexin,Rattus norvegicus,P28232,Gjb5,Gap junction beta-5 protein,reviewed,downloaded,project/data/references/connexins/Rattus_norvegicus/Gjb5__P28232.fasta,
connexin,Rattus norvegicus,P36380,Gjb4,Gap junction beta-4 protein,reviewed,downloaded,project/data/references/connexins/Rattus_norvegicus/Gjb4__P36380.fasta,
connexin,Rattus norvegicus,O70610,Gjd2,Gap junction delta-2 protein,reviewed,downloaded,project/data/references/connexins/Rattus_norvegicus/Gjd2__O70610.fasta,
connexin,Sus scrofa,Q29101,GJA1,Gap junction alpha-1 protein,reviewed,downloaded,project/data/references/connexins/Sus_scrofa/GJA1__Q29101.fasta,
connexin,Sus scrofa,A4GVD1,GJC1,Gap junction gamma-1 protein,reviewed,downloaded,project/data/references/connexins/Sus_scrofa/GJC1__A4GVD1.fasta,
connexin,Sus scrofa,Q29559,GJA4,Gap junction alpha-4 protein,reviewed,downloaded,project/data/references/connexins/Sus_scrofa/GJA4__Q29559.fasta,
connexin,Ursus americanus,A6XKM2,GJA1,Gap junction alpha-1 protein,reviewed,downloaded,project/data/references/connexins/Ursus_americanus/GJA1__A6XKM2.fasta,
connexin,Xenopus laevis,P16863,gja1,Gap junction alpha-1 protein,reviewed,downloaded,project/data/references/connexins/Xenopus_laevis/gja1__P16863.fasta,
connexin,Xenopus laevis,P51914,gja4,Gap junction alpha-4 protein,reviewed,downloaded,project/data/references/connexins/Xenopus_laevis/gja4__P51914.fasta,
connexin,Xenopus laevis,P16864,gja2,Gap junction alpha-2 protein,reviewed,downloaded,project/data/references/connexins/Xenopus_laevis/gja2__P16864.fasta,
connexin,Xenopus laevis,P08983,gjb1,Gap junction beta-1 protein,reviewed,downloaded,project/data/references/connexins/Xenopus_laevis/gjb1__P08983.fasta,
connexin,Xenopus tropicalis,Q0V990,gja4,Gap junction alpha-4 protein,reviewed,downloaded,project/data/references/connexins/Xenopus_tropicalis/gja4__Q0V990.fasta,
