source,species_dir,organism,clade,gene_label,reference_type,subfamily,seq_id,length
reference_db,Aedes_aegypti,Aedes aegypti,Insecta,shakB,shakB,SF1_shakB,ref|Aedes_aegypti|shakB|Q1DH70,372
reference_db,Anopheles_gambiae,Anopheles gambiae,Insecta,ZPG,Inx4/zpg,SF4_Inx2_expansion,ref|Anopheles_gambiae|ZPG|Q7Q5R9,386
reference_db,Anopheles_gambiae,Anopheles gambiae,Insecta,shakB,shakB,SF1_shakB,ref|Anopheles_gambiae|shakB|Q7PXN1,373
reference_db,Caenorhabditis_briggsae,Caenorhabditis briggsae,Nematoda,inx-19,other/unknown,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_briggsae|inx-19|A8WVX4,439
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,eat-5,other nematode,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_elegans|eat-5|Q27295,423
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-10,other/unknown,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_elegans|inx-10|Q22549,559
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-11,other/unknown,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_elegans|inx-11|Q23157,465
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-12,other/unknown,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_elegans|inx-12|O01634,408
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-14,other/unknown,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_elegans|inx-14|O62136,434
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-16,other/unknown,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_elegans|inx-16|O61787,372
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-17,other/unknown,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_elegans|inx-17|O61788,362
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-19,other/unknown,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_elegans|inx-19|O61715,454
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-2,other/unknown,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_elegans|inx-2|Q9U3K5,419
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-3,other/unknown,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_elegans|inx-3|Q19746,420
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-5,other/unknown,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_elegans|inx-5|Q23027,447
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-6,other/unknown,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_elegans|inx-6|Q9U3N4,389
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-7,other/unknown,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_elegans|inx-7|Q21123,556
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,inx-8,other/unknown,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_elegans|inx-8|Q23593,382
reference_db,Caenorhabditis_elegans,Caenorhabditis elegans,Nematoda,unc-7,unc-7,SF3_Inx3_Inx7_nematode,ref|Caenorhabditis_elegans|unc-7|Q03412,522
