panel,species,clade,gene_id,name,chrom,start,end,strand,is_goi
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG14435,CG14435,NC_004354.4,6838174,6843921,-,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG4557,Tmf,NC_004354.4,6844341,6847847,+,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG3044,Cht11,NC_004354.4,6847877,6849517,-,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG4558,CG4558,NC_004354.4,6849770,6851884,+,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG14434,CG14434,NC_004354.4,6851909,6867194,-,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CR45531,lncRNA:CR45531,NC_004354.4,6860339,6863235,+,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG43736,CG43736,NC_004354.4,6863888,6881580,+,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG14431,CG14431,NC_004354.4,6908277,6968829,+,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG32732,Setd3,NC_004354.4,6958032,6968750,-,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG4586,CG4586,NC_004354.4,6969918,6972265,+,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG3040,CG3040,NC_004354.4,6972324,6973393,-,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG3039,ogre,NC_004354.4,6973620,6991318,-,yes
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CR44084,lncRNA:CR44084,NC_004354.4,6983971,6984498,+,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG14430,bou,NC_004354.4,6986486,6987188,+,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG2977,Inx7,NC_004354.4,6991612,6993612,-,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CR43837,lncRNA:CR43837,NC_004354.4,6995882,6997799,-,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG4590,Inx2,NC_004354.4,6998672,7004151,+,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG3035,cm,NC_004354.4,7009006,7011145,-,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG32736,sloth1,NC_004354.4,7011357,7012137,+,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG42308,sloth2,NC_004354.4,7011357,7012137,+,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG3032,CG3032,NC_004354.4,7012239,7013881,-,no
dmel_innexin_cluster_proximal,D. melanogaster — ogre,insect,gene-Dmel_CG4593,CG4593,NC_004354.4,7013887,7015009,+,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG14435,CG14435,NC_004354.4,6838174,6843921,-,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG4557,Tmf,NC_004354.4,6844341,6847847,+,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG3044,Cht11,NC_004354.4,6847877,6849517,-,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG4558,CG4558,NC_004354.4,6849770,6851884,+,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG14434,CG14434,NC_004354.4,6851909,6867194,-,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CR45531,lncRNA:CR45531,NC_004354.4,6860339,6863235,+,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG43736,CG43736,NC_004354.4,6863888,6881580,+,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG14431,CG14431,NC_004354.4,6908277,6968829,+,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG32732,Setd3,NC_004354.4,6958032,6968750,-,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG4586,CG4586,NC_004354.4,6969918,6972265,+,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG3040,CG3040,NC_004354.4,6972324,6973393,-,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG3039,ogre,NC_004354.4,6973620,6991318,-,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CR44084,lncRNA:CR44084,NC_004354.4,6983971,6984498,+,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG14430,bou,NC_004354.4,6986486,6987188,+,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG2977,Inx7,NC_004354.4,6991612,6993612,-,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CR43837,lncRNA:CR43837,NC_004354.4,6995882,6997799,-,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG4590,Inx2,NC_004354.4,6998672,7004151,+,yes
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG3035,cm,NC_004354.4,7009006,7011145,-,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG32736,sloth1,NC_004354.4,7011357,7012137,+,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG42308,sloth2,NC_004354.4,7011357,7012137,+,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG3032,CG3032,NC_004354.4,7012239,7013881,-,no
dmel_innexin_cluster_proximal,D. melanogaster — Inx2,insect,gene-Dmel_CG4593,CG4593,NC_004354.4,7013887,7015009,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx2 (distal),insect,gene-Dmel_CG1324,CG1324,NC_004354.4,20734455,20735960,-,no
dmel_innexin_cluster_distal,D. melanogaster — Inx2 (distal),insect,gene-Dmel_CR45059,lncRNA:CR45059,NC_004354.4,20739538,20740308,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx2 (distal),insect,gene-Dmel_CG15452,CG15452,NC_004354.4,20744965,20745965,-,no
dmel_innexin_cluster_distal,D. melanogaster — Inx2 (distal),insect,gene-Dmel_CR44710,lncRNA:CR44710,NC_004354.4,20758489,20759626,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx2 (distal),insect,gene-Dmel_CR43838,lncRNA:CR43838,NC_004354.4,20759736,20760953,-,no
dmel_innexin_cluster_distal,D. melanogaster — Inx2 (distal),insect,gene-Dmel_CG34358,shakB,NC_004354.4,20761071,20927050,-,no
dmel_innexin_cluster_distal,D. melanogaster — Inx2 (distal),insect,gene-Dmel_CG32507,CG32507,NC_004354.4,20780150,20781220,-,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CR44952,lncRNA:CR44952,NT_033777.3,28777212,28777850,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG34295,CG34295,NT_033777.3,28789617,28790483,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG12558,intr,NT_033777.3,28790522,28791461,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG14531,CheB98a,NT_033777.3,28806702,28807501,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG1454,wdn,NT_033777.3,28807983,28811337,-,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG1646,Prp39,NT_033777.3,28812102,28817354,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CR33638,snoRNA:291,NT_033777.3,28812568,28812641,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG1523,CG1523,NT_033777.3,28817342,28819668,-,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG1647,CG1647,NT_033777.3,28820221,28824508,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG1520,WASp,NT_033777.3,28824506,28832024,-,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG1451,Apc,NT_033777.3,28832301,28844748,-,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG31048,spg,NT_033777.3,28845270,28870439,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG1448,Inx3,NT_033777.3,28853606,28859497,-,yes
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG33203,CG33203,NT_033777.3,28870606,28887709,-,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG14529,Nepl17,NT_033777.3,28872905,28875031,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG14528,Nepl18,NT_033777.3,28875621,28877805,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG14523,Nepl19,NT_033777.3,28878024,28880122,-,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG14527,Nepl20,NT_033777.3,28880792,28882945,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG14526,Nepl21,NT_033777.3,28883693,28886015,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG42320,Doa,NT_033777.3,28888073,28922772,+,no
