species,seqid,start,end,strand,identity,aa_length,cys,el1_cys,el2_cys,el_motif,tm_pred,target,product_exported
Abra_alba,OZ409525.1,18330358,18348899,+,0.3874,381,12,3,2,pass,4,sp|O01393|UNC9_CAEEL 1 375,yes
Abra_alba,OZ409525.1,18348093,18348905,+,0.3874,381,12,3,2,pass,4,sp|O01393|UNC9_CAEEL 1 375,yes
Abra_alba,OZ409525.1,26978083,26985156,-,0.4036,372,10,3,2,pass,5,sp|Q03412|UNC7_CAEEL 129 501,yes
Abra_alba,OZ409525.1,26982849,26985156,-,0.4036,372,10,3,2,pass,5,sp|Q03412|UNC7_CAEEL 129 501,yes
Abra_alba,OZ409525.1,27026774,27031521,-,0.3665,381,13,3,2,pass,4,sp|O01393|UNC9_CAEEL 13 386,yes
Abra_alba,OZ409525.1,27063355,27064551,-,0.2451,385,9,2,2,pass,4,sp|Q9XYN1|INX2_SCHAM 1 357,yes
Abra_alba,OZ409525.1,47319969,47324638,-,0.3613,382,14,,,unresolved,3,sp|O01393|UNC9_CAEEL 20 386,yes
Abra_alba,OZ409525.1,53154115,53163076,+,0.4085,377,12,3,2,pass,4,sp|O01393|UNC9_CAEEL 12 380,yes
Abra_alba,OZ409525.1,53159306,53163076,+,0.4085,377,12,3,2,pass,4,sp|O01393|UNC9_CAEEL 12 380,yes
Abra_alba,OZ409527.1,48068311,48073369,-,0.2686,295,9,,,unresolved,0,sp|Q9V3W6|INX7_DROME 22 304,no
Abra_alba,OZ409527.1,48105670,48111459,+,0.3543,388,12,2,4,pass,4,sp|Q03412|UNC7_CAEEL 130 520,yes
Abra_segmentum,OZ251777.1,10571955,10575818,+,0.3832,387,12,3,2,pass,4,sp|Q03412|UNC7_CAEEL 122 504,yes
Abra_segmentum,OZ251777.1,14113510,14127320,-,0.4301,363,13,3,2,pass,4,sp|Q03412|UNC7_CAEEL 136 498,yes
Abra_segmentum,OZ251777.1,32509674,32513315,+,0.3586,382,13,,,unresolved,3,sp|O01393|UNC9_CAEEL 20 386,yes
Abra_segmentum,OZ251777.1,37583615,37589657,-,0.3961,402,9,,,unresolved,0,sp|Q03412|UNC7_CAEEL 119 522,no
Abra_segmentum,OZ251777.1,37588303,37589624,-,0.2760,292,7,,,unresolved,0,sp|Q9XYN1|INX2_SCHAM 13 284,no
Abra_segmentum,OZ251777.1,37619854,37628968,-,0.3782,393,12,3,2,pass,4,sp|O01393|UNC9_CAEEL 1 386,yes
Abra_segmentum,OZ251777.1,37623181,37628968,-,0.3782,393,12,3,2,pass,4,sp|O01393|UNC9_CAEEL 1 386,yes
Abra_segmentum,OZ251777.1,37626866,37628412,-,0.3782,393,12,3,2,pass,4,sp|O01393|UNC9_CAEEL 1 386,yes
Abra_segmentum,OZ251777.1,37671066,37672262,-,0.2426,385,9,2,2,pass,4,sp|Q9XYN1|INX2_SCHAM 1 357,yes
Abra_segmentum,OZ251777.1,53450550,53469929,+,0.3848,381,12,3,2,pass,4,sp|O01393|UNC9_CAEEL 1 375,yes
