gene,accession,source_species,locus,chrom,flanking_gene_count,goi_count,flanking_genes,goi_ids,bed_path
ogre,P27716,Drosophila_melanogaster,synteny_block_locus_1,NC_004354.4,25,4,gene-Dmel_CG32743;gene-Dmel_CG14435;gene-Dmel_CG4557;gene-Dmel_CG3044;gene-Dmel_CG4558;gene-Dmel_CG14434;gene-Dmel_CR45531;gene-Dmel_CG43736;gene-Dmel_CG14431;gene-Dmel_CG32732;gene-Dmel_CG4586;gene-Dmel_CR44084;gene-Dmel_CG14430;gene-Dmel_CR43837;gene-Dmel_CG3035;gene-Dmel_CG32736;gene-Dmel_CG42308;gene-Dmel_CG3032;gene-Dmel_CG4593;gene-Dmel_CG12541,GOI_NC_004354.4_6974432;GOI_NC_004354.4_6999128;GOI_NC_004354.4_6977152;GOI_NC_004354.4_6992204,results/innexin_synvoy/dmel_ogre_inx1/plot_inputs_synteny_block_locus_1/synteny_block_locus_1.bed
ogre,P27716,Drosophila_melanogaster,synteny_block_locus_2,NC_004354.4,27,4,gene-Dmel_CG42579;gene-Dmel_CG42267;gene-Dmel_CG42580;gene-Dmel_CG34145;gene-Dmel_CR45466;gene-Dmel_CG1829;gene-Dmel_CG1835;gene-Dmel_CG1338;gene-Dmel_CR43862;gene-Dmel_CR45610;gene-Dmel_CG1849;gene-Dmel_CG1324;gene-Dmel_CR45059;gene-Dmel_CG15452;gene-Dmel_CR44710;gene-Dmel_CR43838;gene-Dmel_CG15450;gene-Dmel_CR43193;gene-Dmel_CG1314;gene-Dmel_CG42707,GOI_NC_004354.4_20784264;GOI_NC_004354.4_20772613;GOI_NC_004354.4_20792351;GOI_NC_004354.4_20776092,results/innexin_synvoy/dmel_ogre_inx1/plot_inputs_synteny_block_locus_2/synteny_block_locus_2.bed
Inx2,Q9V427,Drosophila_melanogaster,synteny_block_locus_1,NC_004354.4,25,4,gene-Dmel_CG4557;gene-Dmel_CG3044;gene-Dmel_CG4558;gene-Dmel_CG14434;gene-Dmel_CR45531;gene-Dmel_CG43736;gene-Dmel_CG14431;gene-Dmel_CG32732;gene-Dmel_CG4586;gene-Dmel_CG3040;gene-Dmel_CR44084;gene-Dmel_CG14430;gene-Dmel_CR43837;gene-Dmel_CG3035;gene-Dmel_CG32736;gene-Dmel_CG42308;gene-Dmel_CG3032;gene-Dmel_CG4593;gene-Dmel_CG12541;gene-Dmel_CG14427,GOI_NC_004354.4_6999128;GOI_NC_004354.4_6974432;GOI_NC_004354.4_6992186;GOI_NC_004354.4_6977173,results/innexin_synvoy/dmel_inx2/plot_inputs_synteny_block_locus_1/synteny_block_locus_1.bed
Inx2,Q9V427,Drosophila_melanogaster,synteny_block_locus_2,NC_004354.4,23,0,gene-Dmel_CG43759;gene-Dmel_CG34329;gene-Dmel_CG14190;gene-Dmel_CG34330;gene-Dmel_CG7406;gene-Dmel_CG14191;gene-Dmel_CG7423;gene-Dmel_CR45503;gene-Dmel_CG15882;gene-Dmel_CR45711;gene-Dmel_CG15883;gene-Dmel_CG42274;gene-Dmel_CR43556;gene-Dmel_CG33939;gene-Dmel_CG7556;gene-Dmel_CG7453;gene-Dmel_CG33253;gene-Dmel_CG7635;gene-Dmel_CG14193;gene-Dmel_CG7914,,results/innexin_synvoy/dmel_inx2/plot_inputs_synteny_block_locus_2/synteny_block_locus_2.bed
Inx2,Q9V427,Drosophila_melanogaster,synteny_block_locus_3,NC_004354.4,27,4,gene-Dmel_CG42579;gene-Dmel_CG42267;gene-Dmel_CG42580;gene-Dmel_CG34145;gene-Dmel_CR45466;gene-Dmel_CG1829;gene-Dmel_CG1835;gene-Dmel_CG1338;gene-Dmel_CR43862;gene-Dmel_CR45610;gene-Dmel_CG1849;gene-Dmel_CG1324;gene-Dmel_CR45059;gene-Dmel_CG15452;gene-Dmel_CR44710;gene-Dmel_CR43838;gene-Dmel_CG15450;gene-Dmel_CR43193;gene-Dmel_CG1314;gene-Dmel_CG42707,GOI_NC_004354.4_20784117;GOI_NC_004354.4_20772610;GOI_NC_004354.4_20792351;GOI_NC_004354.4_20776092,results/innexin_synvoy/dmel_inx2/plot_inputs_synteny_block_locus_3/synteny_block_locus_3.bed
Inx2,Q9V427,Drosophila_melanogaster,synteny_block_locus_4,NC_004354.4,23,1,gene-Dmel_CG46276;gene-Dmel_CG46277;gene-Dmel_CG33499;gene-Dmel_CG18000;gene-Dmel_CR45465;gene-Dmel_CG17052;gene-Dmel_CG17058;gene-Dmel_CG17068;gene-Dmel_CG17060;gene-Dmel_CG17065;gene-Dmel_CG42577;gene-Dmel_CR45504;gene-Dmel_CR45505;gene-Dmel_CG1504;gene-Dmel_CG1631;gene-Dmel_CG12679;gene-Dmel_CG15460;gene-Dmel_CG11738;gene-Dmel_CG1467;gene-Dmel_CG11734,GOI_NC_004354.4_20268256,results/innexin_synvoy/dmel_inx2/plot_inputs_synteny_block_locus_4/synteny_block_locus_4.bed
Inx3,Q9VAS7,Drosophila_melanogaster,synteny_block_locus_2,NC_004354.4,27,3,gene-Dmel_CG42579;gene-Dmel_CG42267;gene-Dmel_CG42580;gene-Dmel_CG34145;gene-Dmel_CR45466;gene-Dmel_CG1829;gene-Dmel_CG1835;gene-Dmel_CG1338;gene-Dmel_CR43862;gene-Dmel_CR45610;gene-Dmel_CG1849;gene-Dmel_CG1324;gene-Dmel_CR45059;gene-Dmel_CG15452;gene-Dmel_CR44710;gene-Dmel_CR43838;gene-Dmel_CG15450;gene-Dmel_CR43193;gene-Dmel_CG1314;gene-Dmel_CG42707,GOI_NC_004354.4_20784267;GOI_NC_004354.4_20772610;GOI_NC_004354.4_20792354,results/innexin_synvoy/dmel_inx3/plot_inputs_synteny_block_locus_2/synteny_block_locus_2.bed
shakB,P33085,Drosophila_melanogaster,synteny_block_locus_1,NC_004354.4,15,3,gene-Dmel_CG14431;gene-Dmel_CG32732;gene-Dmel_CG4586;gene-Dmel_CG3040;gene-Dmel_CR44084;gene-Dmel_CG14430;gene-Dmel_CR43837;gene-Dmel_CG3035;gene-Dmel_CG32736;gene-Dmel_CG42308;gene-Dmel_CG3032;gene-Dmel_CG4593;gene-Dmel_CG14434;gene-Dmel_CR45531;gene-Dmel_CG43736,GOI_NC_004354.4_6999128;GOI_NC_004354.4_6974435;GOI_NC_004354.4_6992195,results/innexin_synvoy/dmel_shakB/plot_inputs_synteny_block_locus_1/synteny_block_locus_1.bed
shakB,P33085,Drosophila_melanogaster,synteny_block_locus_2,NC_004354.4,16,4,gene-Dmel_CG1835;gene-Dmel_CG1338;gene-Dmel_CR43862;gene-Dmel_CR45610;gene-Dmel_CG1849;gene-Dmel_CG1324;gene-Dmel_CR45059;gene-Dmel_CG15452;gene-Dmel_CR44710;gene-Dmel_CR43838;gene-Dmel_CG15450;gene-Dmel_CR43193;gene-Dmel_CG42707;gene-Dmel_CG11227;gene-Dmel_CG12092;gene-Dmel_CG2071,GOI_NC_004354.4_20784264;GOI_NC_004354.4_20772583;GOI_NC_004354.4_20792351;GOI_NC_004354.4_20775492,results/innexin_synvoy/dmel_shakB/plot_inputs_synteny_block_locus_2/synteny_block_locus_2.bed
inx-2,Q9U3K5,Caenorhabditis_elegans,synteny_block_locus_1,NC_003284.9,13,1,gene-CELE_F38B2.1;gene-CELE_C03A3.6;gene-CELE_F38B2.2;gene-CELE_F38B2.6;gene-CELE_F38B2.3;gene-CELE_F38B2.4;gene-CELE_F38B2.7;gene-CELE_F08G12.12;gene-CELE_F08G12.2;gene-CELE_F08G12.3;gene-CELE_F08G12.1;gene-CELE_F08G12.4;gene-CELE_F08G12.5,GOI_NC_003284.9_11295185,results/innexin_synvoy/cele_inx-2/plot_inputs_synteny_block_locus_1/synteny_block_locus_1.bed
